Date,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,Active Cases,"Serious,Critical",Total Cases/1M people,Total Death/1M people,Total Tests,Tests/1M people
2020-03-04,1,1,0,0,,,,0.026000000000000002,0.0,0.0,
2020-03-06,0,0,0,0,,,,,,,855.0
2020-03-07,5,4,0,0,,,,0.132,0.0,0.0,
2020-03-08,6,1,0,0,,,,0.159,0.0,0.0,1154.0
2020-03-09,11,5,0,0,,,,0.29100000000000004,0.0,0.0,1384.0
2020-03-10,17,6,0,0,,,,0.449,0.0,0.0,1630.0
2020-03-11,22,5,0,0,,,,0.581,0.0,0.0,2024.0
2020-03-12,31,9,0,0,,,,0.8190000000000001,0.0,0.0,2234.0
2020-03-13,49,18,1,1,,,,1.295,0.026000000000000002,0.026000000000000002,2889.0
2020-03-14,68,19,2,1,,,,1.797,0.053,0.026000000000000002,
2020-03-15,104,36,3,1,,,,2.748,0.079,0.026000000000000002,5493.0
2020-03-16,125,21,3,0,,,,3.303,0.079,0.0,
2020-03-17,177,52,4,1,,,,4.677,0.106,0.026000000000000002,7899.0
2020-03-18,238,61,5,1,,,,6.289,0.132,0.026000000000000002,9515.0
2020-03-19,287,49,5,0,,,,7.582999999999999,0.132,0.0,11196.0
2020-03-20,355,68,5,0,,,,9.38,0.132,0.0,13072.0
2020-03-21,425,70,5,0,,,,11.23,0.132,0.0,15084.0
2020-03-22,536,111,5,0,,,,14.162,0.132,0.0,17607.0
2020-03-23,634,98,7,2,,,,16.752,0.185,0.053,20127.0
2020-03-24,749,115,8,1,,,,19.79,0.21100000000000002,0.026000000000000002,22898.0
2020-03-25,901,152,10,2,,,,23.807,0.264,0.053,26244.0
2020-03-26,1051,150,14,4,,,,27.77,0.37,0.106,29564.0
2020-03-27,1221,170,16,2,,,,32.262,0.423,0.053,34067.0
2020-03-28,1389,168,16,0,,,,36.701,0.423,0.0,38674.0
2020-03-29,1638,249,18,2,,,,43.28,0.47600000000000003,0.053,42783.0
2020-03-30,1862,224,22,4,,,,49.199,0.581,0.106,46607.0
2020-03-31,2055,193,31,9,,,,54.298,0.8190000000000001,0.23800000000000002,51419.0
2020-04-01,2311,256,33,2,,,,61.062,0.872,0.053,55801.0
2020-04-02,2554,243,43,10,,,,67.483,1.136,0.264,61178.0
2020-04-03,2946,392,57,14,,,,77.84100000000001,1.506,0.37,66938.0
2020-04-04,3383,437,71,14,,,,89.387,1.876,0.37,72901.0
2020-04-05,3627,244,79,8,,,,95.834,2.0869999999999997,0.21100000000000002,80757.0
2020-04-06,4102,475,94,15,,,,108.385,2.484,0.396,85467.0
2020-04-07,4413,311,107,13,,,,116.602,2.827,0.34299999999999997,92215.0
2020-04-08,4848,435,129,22,,,,128.096,3.408,0.581,99284.0
2020-04-09,5205,357,159,30,,,,137.529,4.2010000000000005,0.7929999999999999,107597.0
2020-04-10,5575,370,174,15,,,,147.305,4.598,0.396,118295.0
2020-04-11,5955,380,181,7,,,,157.346,4.782,0.185,129560.0
2020-04-12,6356,401,208,27,,,,167.94099999999997,5.496,0.713,138007.0
2020-04-13,6674,318,232,24,,,,176.343,6.13,0.634,143630.0
2020-04-14,6934,260,245,13,,,,183.213,6.474,0.34299999999999997,148321.0
2020-04-15,7202,268,263,18,,,,190.294,6.949,0.47600000000000003,156493.0
2020-04-16,7582,380,286,23,,,,200.335,7.557,0.608,169071.0
2020-04-17,7918,336,314,28,,,,209.213,8.297,0.74,179654.0
2020-04-18,8379,461,332,18,,,,221.394,8.772,0.47600000000000003,192960.0
2020-04-19,8742,363,347,15,,,,230.985,9.169,0.396,204246.0
2020-04-20,9287,545,360,13,,,,245.385,9.512,0.34299999999999997,214236.0
2020-04-21,9593,306,380,20,,,,253.47099999999998,10.041,0.528,224355.0
2020-04-22,9856,263,401,21,,,,260.42,10.595,0.555,238799.0
2020-04-23,10169,313,426,25,,,,268.69,11.255999999999998,0.6609999999999999,250719.0
2020-04-24,10511,342,454,28,,,,277.726,11.995999999999999,0.74,265201.0
2020-04-25,10892,381,494,40,,,,287.793,13.052999999999999,1.057,278994.0
2020-04-26,11273,381,524,30,,,,297.86,13.845,0.7929999999999999,
2020-04-27,11617,344,535,11,,,,306.95,14.136,0.29100000000000004,
2020-04-28,11902,285,562,27,,,,314.48,14.849,0.713,
2020-04-29,12218,316,596,34,,,,322.829,15.748,0.898,
