Date,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,Active Cases,"Serious,Critical",Total Cases/1M people,Total Death/1M people,Total Tests,Tests/1M people
2020-03-01,0,0,0,0,,,,,,,25.0
2020-03-02,0,0,0,0,,,,,,,70.0
2020-03-03,2,2,0,0,,,,0.196,0.0,0.0,131.0
2020-03-04,4,2,0,0,,,,0.392,0.0,0.0,171.0
2020-03-05,5,1,0,0,,,,0.49,0.0,0.0,251.0
2020-03-06,9,4,0,0,,,,0.883,0.0,0.0,332.0
2020-03-07,13,4,0,0,,,,1.275,0.0,0.0,411.0
2020-03-08,21,8,0,0,,,,2.059,0.0,0.0,495.0
2020-03-09,30,9,0,0,,,,2.9419999999999997,0.0,0.0,670.0
2020-03-10,39,9,0,0,,,,3.825,0.0,0.0,976.0
2020-03-11,41,2,0,0,,,,4.021,0.0,0.0,1556.0
2020-03-12,59,18,0,0,,,,5.7860000000000005,0.0,0.0,2494.0
2020-03-13,78,19,0,0,,,,7.65,0.0,0.0,4045.0
2020-03-14,112,34,0,0,,,,10.984000000000002,0.0,0.0,5298.0
2020-03-15,169,57,0,0,,,,16.574,0.0,0.0,6249.0
2020-03-16,245,76,0,0,,,,24.026999999999997,0.0,0.0,7926.0
2020-03-17,331,86,0,0,,,,32.461,0.0,0.0,10230.0
2020-03-18,448,117,1,1,,,,43.93600000000001,0.098,0.098,12688.0
2020-03-19,642,194,2,1,,,,62.961999999999996,0.196,0.098,15178.0
2020-03-20,785,143,3,1,,,,76.986,0.294,0.098,18393.0
2020-03-21,1020,235,6,3,,,,100.03200000000001,0.588,0.294,20909.0
2020-03-22,1280,260,12,6,,,,125.531,1.177,0.588,23018.0
2020-03-23,1600,320,14,2,,,,156.91299999999998,1.3730000000000002,0.196,27199.0
2020-03-24,2060,460,23,9,,,,202.02599999999998,2.256,0.883,32214.0
2020-03-25,2362,302,33,10,,,,231.643,3.236,0.981,37523.0
2020-03-26,2995,633,43,10,,,,293.722,4.217,0.981,44212.0
2020-03-27,3544,549,60,17,,,,347.56300000000005,5.8839999999999995,1.6669999999999998,52089.0
2020-03-28,4268,724,76,16,,,,418.56699999999995,7.452999999999999,1.569,58982.0
2020-03-29,5170,902,100,24,,,,507.026,9.807,2.354,64014.0
2020-03-30,5962,792,119,19,,,,584.6990000000001,11.67,1.8630000000000002,71967.0
2020-03-31,6408,446,140,21,,,,628.438,13.73,2.059,79909.0
2020-04-01,7443,1035,160,20,,,,729.942,15.690999999999999,1.9609999999999999,88539.0
2020-04-02,8251,808,187,27,,,,809.183,18.339000000000002,2.648,97796.0
2020-04-03,9034,783,209,22,,,,885.972,20.497,2.158,107234.0
2020-04-04,9886,852,246,37,,,,969.529,24.125,3.6289999999999996,116289.0
2020-04-05,10524,638,266,20,,,,1032.098,26.087,1.9609999999999999,123005.0
2020-04-06,11278,754,295,29,,,,1106.0430000000001,28.930999999999997,2.844,132191.0
2020-04-07,11730,452,311,16,,,,1150.371,30.5,1.569,142748.0
2020-04-08,12442,712,345,34,,,,1220.198,33.834,3.3339999999999996,154150.0
2020-04-09,13141,699,380,35,,,,1288.749,37.266999999999996,3.432,166359.0
2020-04-10,13956,815,409,29,,,,1368.6770000000001,40.111,2.844,176546.0
2020-04-11,15472,1516,435,26,,,,1517.3529999999998,42.661,2.55,185647.0
2020-04-12,15987,515,470,35,,,,1567.859,46.093,3.432,190857.0
2020-04-13,16585,598,504,34,,,,1626.505,49.428000000000004,3.3339999999999996,199743.0
2020-04-14,16934,349,535,31,,,,1660.7320000000002,52.468,3.04,211663.0
2020-04-15,17448,514,567,32,,,,1711.141,55.606,3.138,225291.0
2020-04-16,18091,643,599,32,,,,1774.2,58.744,3.138,238691.0
2020-04-17,18841,750,629,30,,,,1847.753,61.687,2.9419999999999997,253408.0
2020-04-18,19022,181,657,28,,,,1865.504,64.433,2.7460000000000004,266187.0
2020-04-19,19685,663,687,30,,,,1930.525,67.375,2.9419999999999997,275689.0
2020-04-20,20206,521,714,27,,,,1981.62,70.023,2.648,286690.0
2020-04-21,20863,657,735,21,,,,2046.0529999999999,72.082,2.059,301519.0
2020-04-22,21379,516,762,27,,,,2096.657,74.73,2.648,316951.0
2020-04-23,21982,603,785,23,,,,2155.794,76.986,2.256,332041.0
2020-04-24,22353,371,820,35,,,,2192.178,80.418,3.432,346762.0
2020-04-25,22797,444,854,34,,,,2235.722,83.75299999999999,3.3339999999999996,360195.0
2020-04-26,23392,595,880,26,,,,2294.074,86.302,2.55,368428.0
2020-04-27,23864,472,903,23,,,,2340.363,88.55799999999999,2.256,379551.0
2020-04-28,24027,163,928,25,,,,2356.349,91.01,2.452,
2020-04-29,24322,295,948,20,,,,2385.28,92.971,1.9609999999999999,
