Date,Countries,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,Active Cases,"Serious,Critical",Total Cases/1M people,Total Death/1M people,Total Tests,Tests/1M people,Continent
2020-03-03,Portugal,2,2,0,0,,,,0.196,0.0,0.0,,
2020-03-04,Portugal,4,2,0,0,,,,0.392,0.0,0.0,,
2020-03-05,Portugal,5,1,0,0,,,,0.49,0.0,0.0,,
2020-03-06,Portugal,9,4,0,0,,,,0.883,0.0,0.0,,
2020-03-07,Portugal,13,4,0,0,,,,1.275,0.0,0.0,,
2020-03-08,Portugal,21,8,0,0,,,,2.059,0.0,0.0,,
2020-03-09,Portugal,30,9,0,0,,,,2.9419999999999997,0.0,0.0,,
2020-03-10,Portugal,39,9,0,0,,,,3.825,0.0,0.0,,
2020-03-11,Portugal,41,2,0,0,,,,4.021,0.0,0.0,,
2020-03-12,Portugal,59,18,0,0,,,,5.7860000000000005,0.0,0.0,,
2020-03-13,Portugal,78,19,0,0,,,,7.65,0.0,0.0,,
2020-03-14,Portugal,112,34,0,0,,,,10.984000000000002,0.0,0.0,,
2020-03-15,Portugal,169,57,0,0,,,,16.574,0.0,0.0,1991.0,
2020-03-16,Portugal,245,76,0,0,,,,24.026999999999997,0.0,0.0,2534.0,
2020-03-17,Portugal,331,86,0,0,,,,32.461,0.0,0.0,3707.0,
2020-03-18,Portugal,448,117,1,1,,,,43.93600000000001,0.098,0.098,4716.0,
2020-03-19,Portugal,642,194,2,1,,,,62.961999999999996,0.196,0.098,5573.0,
2020-03-20,Portugal,785,143,3,1,,,,76.986,0.294,0.098,6882.0,
2020-03-21,Portugal,1020,235,6,3,,,,100.03200000000001,0.588,0.294,8795.0,
2020-03-22,Portugal,1280,260,12,6,,,,125.531,1.177,0.588,10627.0,
2020-03-23,Portugal,1600,320,14,2,,,,156.91299999999998,1.3730000000000002,0.196,12272.0,
2020-03-24,Portugal,2060,460,23,9,,,,202.02599999999998,2.256,0.883,13691.0,
2020-03-25,Portugal,2362,302,33,10,,,,231.643,3.236,0.981,19564.0,
2020-03-26,Portugal,2995,633,43,10,,,,293.722,4.217,0.981,20262.0,
2020-03-27,Portugal,3544,549,60,17,,,,347.56300000000005,5.8839999999999995,1.6669999999999998,21436.0,
2020-03-28,Portugal,4268,724,76,16,,,,418.56699999999995,7.452999999999999,1.569,27816.0,
2020-03-29,Portugal,5170,902,100,24,,,,507.026,9.807,2.354,32534.0,
2020-03-30,Portugal,5962,792,119,19,,,,584.6990000000001,11.67,1.8630000000000002,39361.0,
2020-03-31,Portugal,6408,446,140,21,,,,628.438,13.73,2.059,47476.0,
2020-04-01,Portugal,7443,1035,160,20,,,,729.942,15.690999999999999,1.9609999999999999,54500.0,
2020-04-02,Portugal,8251,808,187,27,,,,809.183,18.339000000000002,2.648,61937.0,
2020-04-03,Portugal,9034,783,209,22,,,,885.972,20.497,2.158,68985.0,
2020-04-04,Portugal,9886,852,246,37,,,,969.529,24.125,3.6289999999999996,75569.0,
2020-04-05,Portugal,10524,638,266,20,,,,1032.098,26.087,1.9609999999999999,81408.0,
2020-04-06,Portugal,11278,754,295,29,,,,1106.0430000000001,28.930999999999997,2.844,87294.0,
2020-04-07,Portugal,11730,452,311,16,,,,1150.371,30.5,1.569,95288.0,
2020-04-08,Portugal,12442,712,345,34,,,,1220.198,33.834,3.3339999999999996,98983.0,
2020-04-09,Portugal,13141,699,380,35,,,,1288.749,37.266999999999996,3.432,111357.0,
2020-04-10,Portugal,13956,815,409,29,,,,1368.6770000000001,40.111,2.844,119055.0,
2020-04-11,Portugal,15472,1516,435,26,,,,1517.3529999999998,42.661,2.55,126339.0,
2020-04-12,Portugal,15987,515,470,35,,,,1567.859,46.093,3.432,132632.0,
2020-04-13,Portugal,16585,598,504,34,,,,1626.505,49.428000000000004,3.3339999999999996,135920.0,
2020-04-14,Portugal,16934,349,535,31,,,,1660.7320000000002,52.468,3.04,140040.0,
2020-04-15,Portugal,17448,514,567,32,,,,1711.141,55.606,3.138,146744.0,
2020-04-16,Portugal,18091,643,599,32,,,,1774.2,58.744,3.138,150817.0,
2020-04-17,Portugal,18841,750,629,30,,,,1847.753,61.687,2.9419999999999997,154135.0,
2020-04-18,Portugal,19022,181,657,28,,,,1865.504,64.433,2.7460000000000004,157545.0,
2020-04-19,Portugal,19685,663,687,30,,,,1930.525,67.375,2.9419999999999997,182645.0,
2020-04-20,Portugal,20206,521,714,27,,,,1981.62,70.023,2.648,193614.0,
2020-04-21,Portugal,20863,657,735,21,,,,2046.0529999999999,72.082,2.059,,
