Date,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,Active Cases,"Serious,Critical",Total Cases/1M people,Total Death/1M people,Total Tests,Tests/1M people
2019-12-31,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-01,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-02,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-03,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-04,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-05,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-06,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-07,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-08,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-09,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-10,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-11,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-12,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-13,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-14,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-15,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-16,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-17,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-18,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-19,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-20,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-21,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-22,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-23,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-24,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-25,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-26,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-27,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-28,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-29,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-30,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-31,0,0,0,0,,,,0.0,0.0,0.0,
2020-02-01,0,0,0,0,,,,0.0,0.0,0.0,
2020-02-02,0,0,0,0,,,,0.0,0.0,0.0,
2020-02-03,0,0,0,0,,,,0.0,0.0,0.0,
2020-02-04,0,0,0,0,,,,0.0,0.0,0.0,
2020-02-05,0,0,0,0,,,,0.0,0.0,0.0,
2020-02-06,0,0,0,0,,,,0.0,0.0,0.0,
2020-02-07,0,0,0,0,,,,0.0,0.0,0.0,
2020-02-08,0,0,0,0,,,,0.0,0.0,0.0,
2020-02-09,0,0,0,0,,,,0.0,0.0,0.0,
2020-02-10,0,0,0,0,,,,0.0,0.0,0.0,
2020-02-11,0,0,0,0,,,,0.0,0.0,0.0,
2020-02-12,0,0,0,0,,,,0.0,0.0,0.0,
2020-02-13,0,0,0,0,,,,0.0,0.0,0.0,
2020-02-14,0,0,0,0,,,,0.0,0.0,0.0,
2020-02-15,0,0,0,0,,,,0.0,0.0,0.0,
2020-02-16,0,0,0,0,,,,0.0,0.0,0.0,
2020-02-17,0,0,0,0,,,,0.0,0.0,0.0,
2020-02-18,0,0,0,0,,,,0.0,0.0,0.0,
2020-02-19,0,0,0,0,,,,0.0,0.0,0.0,
2020-02-20,0,0,0,0,,,,0.0,0.0,0.0,
2020-02-21,0,0,0,0,,,,0.0,0.0,0.0,
2020-02-22,0,0,0,0,,,,0.0,0.0,0.0,
2020-02-23,0,0,0,0,,,,0.0,0.0,0.0,
2020-02-24,0,0,0,0,,,,0.0,0.0,0.0,
2020-02-25,0,0,0,0,,,,0.0,0.0,0.0,
2020-02-26,0,0,0,0,,,,0.0,0.0,0.0,
2020-02-27,0,0,0,0,,,,0.0,0.0,0.0,
2020-02-28,0,0,0,0,,,,0.0,0.0,0.0,
2020-02-29,0,0,0,0,,,,0.0,0.0,0.0,
2020-03-01,1,1,0,0,,,,0.34700000000000003,0.0,0.0,
2020-03-02,3,2,0,0,,,,1.041,0.0,0.0,
2020-03-04,8,5,0,0,,,,2.7769999999999997,0.0,0.0,
2020-03-07,11,3,0,0,,,,3.818,0.0,0.0,
2020-03-08,12,1,0,0,,,,4.165,0.0,0.0,
2020-03-09,15,3,0,0,,,,5.206,0.0,0.0,
2020-03-10,18,3,0,0,,,,6.247999999999999,0.0,0.0,
2020-03-11,24,6,0,0,,,,8.33,0.0,0.0,
2020-03-12,262,238,0,0,,,,90.939,0.0,0.0,
2020-03-14,320,58,0,0,,,,111.07,0.0,0.0,6788.0
2020-03-15,337,17,0,0,,,,116.971,0.0,0.0,7950.0
2020-03-16,401,64,0,0,,,,139.185,0.0,0.0,
2020-03-17,439,38,0,0,,,,152.374,0.0,0.0,
2020-03-18,442,3,0,0,,,,153.416,0.0,0.0,8873.0
2020-03-19,452,10,0,0,,,,156.887,0.0,0.0,9460.0
2020-03-20,460,8,0,0,,,,159.66299999999998,0.0,0.0,
2020-03-21,470,10,0,0,,,,163.134,0.0,0.0,10358.0
2020-03-22,481,11,0,0,,,,166.952,0.0,0.0,10857.0
2020-03-23,494,13,0,0,,,,171.465,0.0,0.0,11531.0
2020-03-24,501,7,0,0,,,,173.894,0.0,0.0,
2020-03-25,526,25,0,0,,,,182.572,0.0,0.0,12258.0
2020-03-26,537,11,0,0,,,,186.39,0.0,0.0,13681.0
2020-03-27,549,12,0,0,,,,190.555,0.0,0.0,14845.0
2020-03-28,562,13,0,0,,,,195.067,0.0,0.0,16582.0
2020-03-29,590,28,1,1,,,,204.78599999999997,0.34700000000000003,0.34700000000000003,18877.0
2020-03-30,634,44,1,0,,,,220.058,0.34700000000000003,0.0,20058.0
2020-03-31,693,59,1,0,,,,240.53599999999997,0.34700000000000003,0.0,22394.0
