Date,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,Active Cases,"Serious,Critical",Total Cases/1M people,Total Death/1M people,Total Tests,Tests/1M people
2019-12-31,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-01,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-02,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-03,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-04,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-05,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-06,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-07,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-08,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-09,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-10,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-11,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-12,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-13,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-14,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-15,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-16,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-17,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-18,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-19,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-20,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-21,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-22,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-23,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-24,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-25,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-26,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-27,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-28,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-29,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-30,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-31,0,0,0,0,,,,0.0,0.0,0.0,
2020-02-01,0,0,0,0,,,,0.0,0.0,0.0,
2020-02-02,0,0,0,0,,,,0.0,0.0,0.0,
2020-02-03,0,0,0,0,,,,0.0,0.0,0.0,
2020-02-04,0,0,0,0,,,,0.0,0.0,0.0,
2020-02-05,0,0,0,0,,,,0.0,0.0,0.0,
2020-02-06,0,0,0,0,,,,0.0,0.0,0.0,
2020-02-07,0,0,0,0,,,,0.0,0.0,0.0,
2020-02-08,0,0,0,0,,,,0.0,0.0,0.0,
2020-02-09,0,0,0,0,,,,0.0,0.0,0.0,
2020-02-10,0,0,0,0,,,,0.0,0.0,0.0,
2020-02-11,0,0,0,0,,,,0.0,0.0,0.0,
2020-02-12,0,0,0,0,,,,0.0,0.0,0.0,
2020-02-13,0,0,0,0,,,,0.0,0.0,0.0,
2020-02-14,0,0,0,0,,,,0.0,0.0,0.0,
2020-02-15,0,0,0,0,,,,0.0,0.0,0.0,
2020-02-16,0,0,0,0,,,,0.0,0.0,0.0,
2020-02-17,0,0,0,0,,,,0.0,0.0,0.0,
2020-02-18,0,0,0,0,,,,0.0,0.0,0.0,
2020-02-19,0,0,0,0,,,,0.0,0.0,0.0,
2020-02-20,0,0,0,0,,,,0.0,0.0,0.0,
2020-02-21,0,0,0,0,,,,0.0,0.0,0.0,
2020-02-22,0,0,0,0,,,,0.0,0.0,0.0,
2020-02-23,0,0,0,0,,,,0.0,0.0,0.0,
2020-02-24,0,0,0,0,,,,0.0,0.0,0.0,
2020-02-25,0,0,0,0,,,,0.0,0.0,0.0,
2020-02-26,0,0,0,0,,,,0.0,0.0,0.0,
2020-02-27,1,1,0,0,,,,0.052000000000000005,0.0,0.0,
2020-02-28,1,0,0,0,,,,0.052000000000000005,0.0,0.0,
2020-02-29,3,2,0,0,,,,0.156,0.0,0.0,
2020-03-01,3,0,0,0,,,,0.156,0.0,0.0,
2020-03-02,3,0,0,0,,,,0.156,0.0,0.0,
2020-03-04,4,1,0,0,,,,0.20800000000000002,0.0,0.0,
2020-03-06,6,2,0,0,,,,0.312,0.0,0.0,
2020-03-07,7,1,0,0,,,,0.364,0.0,0.0,
2020-03-08,13,6,0,0,,,,0.6759999999999999,0.0,0.0,
2020-03-09,15,2,0,0,,,,0.78,0.0,0.0,
2020-03-10,17,2,0,0,,,,0.884,0.0,0.0,
2020-03-11,25,8,0,0,,,,1.3,0.0,0.0,
2020-03-12,45,20,0,0,,,,2.339,0.0,0.0,1921.0
2020-03-13,64,19,0,0,,,,3.327,0.0,0.0,2545.0
2020-03-14,89,25,0,0,,,,4.626,0.0,0.0,2929.0
2020-03-15,113,24,0,0,,,,5.874,0.0,0.0,3205.0
2020-03-16,139,26,0,0,,,,7.225,0.0,0.0,3708.0
2020-03-17,184,45,0,0,,,,9.565,0.0,0.0,4150.0
2020-03-18,217,33,0,0,,,,11.28,0.0,0.0,4670.0
2020-03-19,260,43,0,0,,,,13.515,0.0,0.0,4973.0
2020-03-20,277,17,0,0,,,,14.399000000000001,0.0,0.0,8284.0
2020-03-21,308,31,0,0,,,,16.01,0.0,0.0,8915.0
2020-03-22,367,59,0,0,,,,19.077,0.0,0.0,9967.0
2020-03-23,433,66,2,2,,,,22.508000000000003,0.10400000000000001,0.10400000000000001,11223.0
2020-03-24,576,143,7,5,,,,29.941,0.364,0.26,12624.0
2020-03-25,762,186,11,4,,,,39.61,0.5720000000000001,0.20800000000000002,14466.0
2020-03-26,906,144,13,2,,,,47.095,0.6759999999999999,0.10400000000000001,15998.0
2020-03-27,1029,123,17,4,,,,53.489,0.884,0.20800000000000002,17453.0
2020-03-28,1292,263,24,7,,,,67.16,1.248,0.364,19663.0
2020-03-29,1452,160,29,5,,,,75.477,1.507,0.26,21460.0
