Date,Countries,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,Active Cases,"Serious,Critical",Total Cases/1M people,Total Death/1M people,Total Tests,Tests/1M people,Continent
2019-12-31,Romania,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-01,Romania,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-02,Romania,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-03,Romania,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-04,Romania,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-05,Romania,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-06,Romania,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-07,Romania,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-08,Romania,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-09,Romania,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-10,Romania,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-11,Romania,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-12,Romania,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-13,Romania,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-14,Romania,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-15,Romania,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-16,Romania,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-17,Romania,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-18,Romania,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-19,Romania,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-20,Romania,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-21,Romania,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-22,Romania,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-23,Romania,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-24,Romania,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-25,Romania,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-26,Romania,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-27,Romania,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-28,Romania,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-29,Romania,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-30,Romania,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-31,Romania,0,0,0,0,,,,0.0,0.0,0.0,,
2020-02-01,Romania,0,0,0,0,,,,0.0,0.0,0.0,,
