Date,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,Active Cases,"Serious,Critical",Total Cases/1M people,Total Death/1M people,Total Tests,Tests/1M people
2019-12-31,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-01,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-02,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-03,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-04,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-05,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-06,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-07,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-08,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-09,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-10,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-11,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-12,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-13,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-14,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-15,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-16,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-17,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-18,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-19,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-20,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-21,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-22,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-23,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-24,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-25,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-26,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-27,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-28,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-29,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-30,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-31,0,0,0,0,,,,0.0,0.0,0.0,
2020-02-01,2,2,0,0,,,,0.013999999999999999,0.0,0.0,
2020-02-02,2,0,0,0,,,,0.013999999999999999,0.0,0.0,
2020-02-03,2,0,0,0,,,,0.013999999999999999,0.0,0.0,
2020-02-04,2,0,0,0,,,,0.013999999999999999,0.0,0.0,
2020-02-05,2,0,0,0,,,,0.013999999999999999,0.0,0.0,
2020-02-06,2,0,0,0,,,,0.013999999999999999,0.0,0.0,
2020-02-07,2,0,0,0,,,,0.013999999999999999,0.0,0.0,
2020-02-08,2,0,0,0,,,,0.013999999999999999,0.0,0.0,
2020-02-09,2,0,0,0,,,,0.013999999999999999,0.0,0.0,
2020-02-10,2,0,0,0,,,,0.013999999999999999,0.0,0.0,
2020-02-11,2,0,0,0,,,,0.013999999999999999,0.0,0.0,
2020-02-12,2,0,0,0,,,,0.013999999999999999,0.0,0.0,
2020-02-13,2,0,0,0,,,,0.013999999999999999,0.0,0.0,
2020-02-14,2,0,0,0,,,,0.013999999999999999,0.0,0.0,
2020-02-15,2,0,0,0,,,,0.013999999999999999,0.0,0.0,
2020-02-16,2,0,0,0,,,,0.013999999999999999,0.0,0.0,
2020-02-17,2,0,0,0,,,,0.013999999999999999,0.0,0.0,
2020-02-18,2,0,0,0,,,,0.013999999999999999,0.0,0.0,
2020-02-19,2,0,0,0,,,,0.013999999999999999,0.0,0.0,
2020-02-20,2,0,0,0,,,,0.013999999999999999,0.0,0.0,
2020-02-21,2,0,0,0,,,,0.013999999999999999,0.0,0.0,
2020-02-22,2,0,0,0,,,,0.013999999999999999,0.0,0.0,
2020-02-23,2,0,0,0,,,,0.013999999999999999,0.0,0.0,
2020-02-24,2,0,0,0,,,,0.013999999999999999,0.0,0.0,
2020-02-25,2,0,0,0,,,,0.013999999999999999,0.0,0.0,
2020-02-26,2,0,0,0,,,,0.013999999999999999,0.0,0.0,
2020-02-27,2,0,0,0,,,,0.013999999999999999,0.0,0.0,
2020-02-28,2,0,0,0,,,,0.013999999999999999,0.0,0.0,
2020-02-29,2,0,0,0,,,,0.013999999999999999,0.0,0.0,
2020-03-01,2,0,0,0,,,,0.013999999999999999,0.0,0.0,
2020-03-02,2,0,0,0,,,,0.013999999999999999,0.0,0.0,
2020-03-03,3,1,0,0,,,,0.021,0.0,0.0,
2020-03-04,4,1,0,0,,,,0.027000000000000003,0.0,0.0,
2020-03-05,4,0,0,0,,,,0.027000000000000003,0.0,0.0,46414.0
2020-03-06,4,0,0,0,,,,0.027000000000000003,0.0,0.0,51366.0
2020-03-07,10,6,0,0,,,,0.069,0.0,0.0,55688.0
2020-03-08,10,0,0,0,,,,0.069,0.0,0.0,59960.0
2020-03-09,10,0,0,0,,,,0.069,0.0,0.0,63191.0
2020-03-10,10,0,0,0,,,,0.069,0.0,0.0,
2020-03-11,10,0,0,0,,,,0.069,0.0,0.0,70601.0
2020-03-12,25,15,0,0,,,,0.171,0.0,0.0,76963.0
2020-03-13,30,5,0,0,,,,0.20600000000000002,0.0,0.0,
2020-03-14,45,15,0,0,,,,0.308,0.0,0.0,94852.0
2020-03-15,59,14,0,0,,,,0.40399999999999997,0.0,0.0,104883.0
2020-03-16,63,4,0,0,,,,0.43200000000000005,0.0,0.0,109939.0
2020-03-17,93,30,0,0,,,,0.637,0.0,0.0,116061.0
2020-03-18,114,21,0,0,,,,0.7809999999999999,0.0,0.0,122854.0
2020-03-19,147,33,0,0,,,,1.0070000000000001,0.0,0.0,133101.0
2020-03-20,199,52,0,0,,,,1.364,0.0,0.0,143519.0
2020-03-21,253,54,0,0,,,,1.734,0.0,0.0,156016.0
2020-03-22,306,53,0,0,,,,2.097,0.0,0.0,163529.0
2020-03-23,438,132,0,0,,,,3.0010000000000003,0.0,0.0,165772.0
