Date,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,Active Cases,"Serious,Critical",Total Cases/1M people,Total Death/1M people,Total Tests,Tests/1M people
2020-03-15,1,1,0,0,,,,0.077,0.0,0.0,
2020-03-16,5,4,0,0,,,,0.386,0.0,0.0,
2020-03-17,5,0,0,0,,,,0.386,0.0,0.0,
2020-03-18,7,2,0,0,,,,0.54,0.0,0.0,
2020-03-19,11,4,0,0,,,,0.8490000000000001,0.0,0.0,
2020-03-20,11,0,0,0,,,,0.8490000000000001,0.0,0.0,
2020-03-21,17,6,0,0,,,,1.3130000000000002,0.0,0.0,
2020-03-22,17,0,0,0,,,,1.3130000000000002,0.0,0.0,
2020-03-23,19,2,0,0,,,,1.4669999999999999,0.0,0.0,
2020-03-24,36,17,0,0,,,,2.779,0.0,0.0,
2020-03-25,40,4,0,0,,,,3.088,0.0,0.0,
2020-03-26,41,1,0,0,,,,3.165,0.0,0.0,
2020-03-27,50,9,0,0,,,,3.86,0.0,0.0,
2020-03-28,54,4,0,0,,,,4.169,0.0,0.0,
2020-03-29,60,6,0,0,,,,4.632,0.0,0.0,
2020-03-30,70,10,0,0,,,,5.404,0.0,0.0,
2020-03-31,70,0,0,0,,,,5.404,0.0,0.0,
2020-04-01,75,5,0,0,,,,5.791,0.0,0.0,
2020-04-02,82,7,0,0,,,,6.331,0.0,0.0,
2020-04-03,82,0,0,0,,,,6.331,0.0,0.0,
2020-04-04,89,7,0,0,,,,6.871,0.0,0.0,
2020-04-05,102,13,0,0,,,,7.875,0.0,0.0,
2020-04-06,104,2,0,0,,,,8.03,0.0,0.0,105.0
2020-04-07,105,1,0,0,,,,8.107000000000001,0.0,0.0,911.0
2020-04-08,105,0,0,0,,,,8.107000000000001,0.0,0.0,1683.0
2020-04-09,110,5,0,0,,,,8.493,0.0,0.0,2403.0
2020-04-10,113,3,0,0,,,,8.724,0.0,0.0,3439.0
2020-04-11,118,5,0,0,,,,9.11,0.0,0.0,4281.0
2020-04-12,120,2,0,0,,,,9.265,0.0,0.0,5441.0
2020-04-13,126,6,0,0,,,,9.728,0.0,0.0,6342.0
2020-04-14,127,1,0,0,,,,9.805,0.0,0.0,7325.0
2020-04-15,134,7,0,0,,,,10.345999999999998,0.0,0.0,8248.0
2020-04-16,136,2,0,0,,,,10.5,0.0,0.0,8912.0
2020-04-17,138,2,0,0,,,,10.655,0.0,0.0,9672.0
2020-04-18,143,5,0,0,,,,11.040999999999999,0.0,0.0,10384.0
2020-04-19,144,1,0,0,,,,11.118,0.0,0.0,11106.0
2020-04-20,147,3,0,0,,,,11.349,0.0,0.0,12405.0
2020-04-21,147,0,0,0,,,,11.349,0.0,0.0,13854.0
2020-04-22,150,3,0,0,,,,11.581,0.0,0.0,14892.0
2020-04-23,153,3,0,0,,,,11.812999999999999,0.0,0.0,16235.0
2020-04-24,154,1,0,0,,,,11.89,0.0,0.0,17281.0
2020-04-25,176,22,0,0,,,,13.588,0.0,0.0,18556.0
2020-04-26,183,7,0,0,,,,14.129000000000001,0.0,0.0,19581.0
2020-04-27,191,8,0,0,,,,14.747,0.0,0.0,20795.0
2020-04-28,207,16,0,0,,,,15.982000000000001,0.0,0.0,22300.0
2020-04-29,212,5,0,0,,,,16.368,0.0,0.0,
