Date,Countries,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,Active Cases,"Serious,Critical",Total Cases/1M people,Total Death/1M people,Total Tests,Tests/1M people,Continent
2019-12-31,South Korea,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-01,South Korea,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-02,South Korea,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-03,South Korea,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-04,South Korea,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-05,South Korea,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-06,South Korea,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-07,South Korea,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-08,South Korea,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-09,South Korea,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-10,South Korea,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-11,South Korea,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-12,South Korea,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-13,South Korea,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-14,South Korea,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-15,South Korea,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-16,South Korea,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-17,South Korea,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-18,South Korea,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-19,South Korea,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-20,South Korea,1,1,0,0,,,,0.02,0.0,0.0,,
2020-01-21,South Korea,1,0,0,0,,,,0.02,0.0,0.0,11.0,
2020-01-22,South Korea,1,0,0,0,,,,0.02,0.0,0.0,16.0,
2020-01-23,South Korea,1,0,0,0,,,,0.02,0.0,0.0,,
2020-01-24,South Korea,2,1,0,0,,,,0.039,0.0,0.0,25.0,
2020-01-25,South Korea,2,0,0,0,,,,0.039,0.0,0.0,,
2020-01-26,South Korea,3,1,0,0,,,,0.059000000000000004,0.0,0.0,48.0,
2020-01-27,South Korea,4,1,0,0,,,,0.078,0.0,0.0,57.0,
2020-01-28,South Korea,4,0,0,0,,,,0.078,0.0,0.0,187.0,
2020-01-29,South Korea,4,0,0,0,,,,0.078,0.0,0.0,,
2020-01-30,South Korea,4,0,0,0,,,,0.078,0.0,0.0,244.0,
2020-01-31,South Korea,7,3,0,0,,,,0.13699999999999998,0.0,0.0,,
2020-02-01,South Korea,12,5,0,0,,,,0.23399999999999999,0.0,0.0,371.0,
2020-02-02,South Korea,15,3,0,0,,,,0.293,0.0,0.0,429.0,
2020-02-03,South Korea,15,0,0,0,,,,0.293,0.0,0.0,,
2020-02-04,South Korea,16,1,0,0,,,,0.312,0.0,0.0,607.0,
2020-02-05,South Korea,18,2,0,0,,,,0.35100000000000003,0.0,0.0,714.0,
2020-02-06,South Korea,23,5,0,0,,,,0.449,0.0,0.0,885.0,
2020-02-07,South Korea,24,1,0,0,,,,0.46799999999999997,0.0,0.0,1130.0,
2020-02-08,South Korea,24,0,0,0,,,,0.46799999999999997,0.0,0.0,1701.0,
2020-02-09,South Korea,25,1,0,0,,,,0.488,0.0,0.0,2340.0,
