Date,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,Active Cases,"Serious,Critical",Total Cases/1M people,Total Death/1M people,Total Tests,Tests/1M people
2020-03-26,2,2,0,0,,,,37.6,0.0,0.0,
2020-03-27,2,0,0,0,,,,37.6,0.0,0.0,
2020-03-28,2,0,0,0,,,,37.6,0.0,0.0,
2020-03-29,2,0,0,0,,,,37.6,0.0,0.0,
2020-03-30,7,5,0,0,,,,131.599,0.0,0.0,
2020-03-31,7,0,0,0,,,,131.599,0.0,0.0,
2020-04-01,8,1,0,0,,,,150.399,0.0,0.0,
2020-04-02,8,0,0,0,,,,150.399,0.0,0.0,
2020-04-03,8,0,0,0,,,,150.399,0.0,0.0,
2020-04-04,9,1,0,0,,,,169.19799999999998,0.0,0.0,
2020-04-05,10,1,0,0,,,,187.998,0.0,0.0,
2020-04-06,10,0,0,0,,,,187.998,0.0,0.0,
2020-04-07,11,1,0,0,,,,206.798,0.0,0.0,
2020-04-08,11,0,0,0,,,,206.798,0.0,0.0,
2020-04-09,11,0,0,0,,,,206.798,0.0,0.0,
2020-04-10,11,0,0,0,,,,206.798,0.0,0.0,
2020-04-11,12,1,0,0,,,,225.59799999999998,0.0,0.0,
2020-04-12,12,0,0,0,,,,225.59799999999998,0.0,0.0,
2020-04-13,12,0,0,0,,,,225.59799999999998,0.0,0.0,
2020-04-14,12,0,0,0,,,,225.59799999999998,0.0,0.0,
2020-04-15,14,2,0,0,,,,263.197,0.0,0.0,
2020-04-16,14,0,0,0,,,,263.197,0.0,0.0,
2020-04-17,14,0,0,0,,,,263.197,0.0,0.0,
2020-04-18,14,0,0,0,,,,263.197,0.0,0.0,
2020-04-19,14,0,0,0,,,,263.197,0.0,0.0,
2020-04-20,15,1,0,0,,,,281.997,0.0,0.0,
2020-04-21,15,0,0,0,,,,281.997,0.0,0.0,
2020-04-22,15,0,0,0,,,,281.997,0.0,0.0,
2020-04-23,15,0,0,0,,,,281.997,0.0,0.0,
2020-04-24,15,0,0,0,,,,281.997,0.0,0.0,
2020-04-25,15,0,0,0,,,,281.997,0.0,0.0,
2020-04-26,15,0,0,0,,,,281.997,0.0,0.0,
2020-04-27,15,0,0,0,,,,281.997,0.0,0.0,
2020-04-28,15,0,0,0,,,,281.997,0.0,0.0,
2020-04-29,15,0,0,0,,,,281.997,0.0,0.0,
