Date,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,Active Cases,"Serious,Critical",Total Cases/1M people,Total Death/1M people,Total Tests,Tests/1M people
2020-03-15,2,2,0,0,,,,10.892000000000001,0.0,0.0,
2020-03-16,2,0,0,0,,,,10.892000000000001,0.0,0.0,
2020-03-17,2,0,0,0,,,,10.892000000000001,0.0,0.0,
2020-03-18,2,0,0,0,,,,10.892000000000001,0.0,0.0,
2020-03-19,2,0,0,0,,,,10.892000000000001,0.0,0.0,
2020-03-20,2,0,0,0,,,,10.892000000000001,0.0,0.0,
2020-03-21,2,0,0,0,,,,10.892000000000001,0.0,0.0,
2020-03-22,2,0,0,0,,,,10.892000000000001,0.0,0.0,
2020-03-23,2,0,0,0,,,,10.892000000000001,0.0,0.0,
2020-03-24,2,0,0,0,,,,10.892000000000001,0.0,0.0,
2020-03-25,2,0,0,0,,,,10.892000000000001,0.0,0.0,
2020-03-26,3,1,0,0,,,,16.337,0.0,0.0,
2020-03-27,3,0,0,0,,,,16.337,0.0,0.0,
2020-03-28,3,0,0,0,,,,16.337,0.0,0.0,
2020-03-29,4,1,0,0,,,,21.783,0.0,0.0,
2020-03-30,9,5,0,0,,,,49.012,0.0,0.0,
2020-03-31,9,0,0,0,,,,49.012,0.0,0.0,
2020-04-01,13,4,0,0,,,,70.795,0.0,0.0,
2020-04-02,13,0,0,0,,,,70.795,0.0,0.0,
2020-04-03,13,0,0,0,,,,70.795,0.0,0.0,
2020-04-04,13,0,0,0,,,,70.795,0.0,0.0,
2020-04-05,14,1,0,0,,,,76.241,0.0,0.0,
2020-04-06,14,0,0,0,,,,76.241,0.0,0.0,
2020-04-07,14,0,0,0,,,,76.241,0.0,0.0,
2020-04-08,14,0,0,0,,,,76.241,0.0,0.0,
2020-04-09,14,0,0,0,,,,76.241,0.0,0.0,
2020-04-10,14,0,0,0,,,,76.241,0.0,0.0,
2020-04-11,15,1,0,0,,,,81.686,0.0,0.0,
2020-04-12,15,0,0,0,,,,81.686,0.0,0.0,
2020-04-13,15,0,0,0,,,,81.686,0.0,0.0,
2020-04-14,15,0,0,0,,,,81.686,0.0,0.0,
2020-04-15,15,0,0,0,,,,81.686,0.0,0.0,
2020-04-16,15,0,0,0,,,,81.686,0.0,0.0,
2020-04-17,15,0,0,0,,,,81.686,0.0,0.0,
2020-04-18,15,0,0,0,,,,81.686,0.0,0.0,
2020-04-19,15,0,0,0,,,,81.686,0.0,0.0,
2020-04-20,15,0,0,0,,,,81.686,0.0,0.0,
2020-04-21,15,0,0,0,,,,81.686,0.0,0.0,
2020-04-22,15,0,0,0,,,,81.686,0.0,0.0,
2020-04-23,15,0,0,0,,,,81.686,0.0,0.0,
2020-04-24,15,0,0,0,,,,81.686,0.0,0.0,
2020-04-25,15,0,0,0,,,,81.686,0.0,0.0,
2020-04-26,15,0,0,0,,,,81.686,0.0,0.0,
2020-04-27,15,0,0,0,,,,81.686,0.0,0.0,
2020-04-28,15,0,0,0,,,,81.686,0.0,0.0,
2020-04-29,15,0,0,0,,,,81.686,0.0,0.0,
