Date,Countries,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,Active Cases,"Serious,Critical",Total Cases/1M people,Total Death/1M people,Total Tests,Tests/1M people,Continent
2020-03-15,Saint Lucia,2,2,0,0,,,,10.892000000000001,0.0,0.0,,
2020-03-16,Saint Lucia,2,0,0,0,,,,10.892000000000001,0.0,0.0,,
2020-03-17,Saint Lucia,2,0,0,0,,,,10.892000000000001,0.0,0.0,,
2020-03-18,Saint Lucia,2,0,0,0,,,,10.892000000000001,0.0,0.0,,
2020-03-19,Saint Lucia,2,0,0,0,,,,10.892000000000001,0.0,0.0,,
2020-03-20,Saint Lucia,2,0,0,0,,,,10.892000000000001,0.0,0.0,,
2020-03-21,Saint Lucia,2,0,0,0,,,,10.892000000000001,0.0,0.0,,
2020-03-22,Saint Lucia,2,0,0,0,,,,10.892000000000001,0.0,0.0,,
2020-03-23,Saint Lucia,2,0,0,0,,,,10.892000000000001,0.0,0.0,,
2020-03-24,Saint Lucia,2,0,0,0,,,,10.892000000000001,0.0,0.0,,
2020-03-25,Saint Lucia,2,0,0,0,,,,10.892000000000001,0.0,0.0,,
2020-03-26,Saint Lucia,3,1,0,0,,,,16.337,0.0,0.0,,
2020-03-27,Saint Lucia,3,0,0,0,,,,16.337,0.0,0.0,,
2020-03-28,Saint Lucia,3,0,0,0,,,,16.337,0.0,0.0,,
2020-03-29,Saint Lucia,4,1,0,0,,,,21.783,0.0,0.0,,
2020-03-30,Saint Lucia,9,5,0,0,,,,49.012,0.0,0.0,,
2020-03-31,Saint Lucia,9,0,0,0,,,,49.012,0.0,0.0,,
2020-04-01,Saint Lucia,13,4,0,0,,,,70.795,0.0,0.0,,
2020-04-02,Saint Lucia,13,0,0,0,,,,70.795,0.0,0.0,,
2020-04-03,Saint Lucia,13,0,0,0,,,,70.795,0.0,0.0,,
2020-04-04,Saint Lucia,13,0,0,0,,,,70.795,0.0,0.0,,
2020-04-05,Saint Lucia,14,1,0,0,,,,76.241,0.0,0.0,,
2020-04-06,Saint Lucia,14,0,0,0,,,,76.241,0.0,0.0,,
2020-04-07,Saint Lucia,14,0,0,0,,,,76.241,0.0,0.0,,
2020-04-08,Saint Lucia,14,0,0,0,,,,76.241,0.0,0.0,,
2020-04-09,Saint Lucia,14,0,0,0,,,,76.241,0.0,0.0,,
2020-04-10,Saint Lucia,14,0,0,0,,,,76.241,0.0,0.0,,
2020-04-11,Saint Lucia,15,1,0,0,,,,81.686,0.0,0.0,,
2020-04-12,Saint Lucia,15,0,0,0,,,,81.686,0.0,0.0,,
2020-04-13,Saint Lucia,15,0,0,0,,,,81.686,0.0,0.0,,
2020-04-14,Saint Lucia,15,0,0,0,,,,81.686,0.0,0.0,,
2020-04-15,Saint Lucia,15,0,0,0,,,,81.686,0.0,0.0,,
2020-04-16,Saint Lucia,15,0,0,0,,,,81.686,0.0,0.0,,
2020-04-17,Saint Lucia,15,0,0,0,,,,81.686,0.0,0.0,,
2020-04-18,Saint Lucia,15,0,0,0,,,,81.686,0.0,0.0,,
2020-04-19,Saint Lucia,15,0,0,0,,,,81.686,0.0,0.0,,
2020-04-20,Saint Lucia,15,0,0,0,,,,81.686,0.0,0.0,,
2020-04-21,Saint Lucia,15,0,0,0,,,,81.686,0.0,0.0,,
