Date,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,Active Cases,"Serious,Critical",Total Cases/1M people,Total Death/1M people,Total Tests,Tests/1M people
2020-03-03,1,1,0,0,,,,23.32,0.0,0.0,
2020-03-26,2,1,0,0,,,,46.64,0.0,0.0,
2020-03-27,2,0,0,0,,,,46.64,0.0,0.0,
2020-03-28,3,1,0,0,,,,69.959,0.0,0.0,
2020-03-29,3,0,0,0,,,,69.959,0.0,0.0,
2020-03-30,3,0,0,0,,,,69.959,0.0,0.0,
2020-04-01,6,3,0,0,,,,139.91899999999998,0.0,0.0,
2020-04-02,16,10,1,1,,,,373.11699999999996,23.32,23.32,
2020-04-03,23,7,2,1,,,,536.356,46.64,23.32,
2020-04-04,23,0,2,0,,,,536.356,46.64,0.0,
2020-04-05,23,0,2,0,,,,536.356,46.64,0.0,
2020-04-06,25,2,4,2,,,,582.995,93.279,46.64,
2020-04-07,25,0,4,0,,,,582.995,93.279,0.0,
2020-04-08,40,15,8,4,,,,932.7919999999999,186.558,93.279,
2020-04-09,40,0,8,0,,,,932.7919999999999,186.558,0.0,
2020-04-10,50,10,8,0,,,,1165.99,186.558,0.0,
2020-04-11,50,0,9,1,,,,1165.99,209.878,23.32,
2020-04-12,50,0,9,0,,,,1165.99,209.878,0.0,
2020-04-13,50,0,9,0,,,,1165.99,209.878,0.0,
2020-04-14,52,2,9,0,,,,1212.63,209.878,0.0,
2020-04-15,52,0,9,0,,,,1212.63,209.878,0.0,
2020-04-16,57,5,9,0,,,,1329.229,209.878,0.0,
2020-04-17,57,0,9,0,,,,1329.229,209.878,0.0,
2020-04-18,57,0,9,0,,,,1329.229,209.878,0.0,
2020-04-19,64,7,9,0,,,,1492.4679999999998,209.878,0.0,
2020-04-20,67,3,10,1,,,,1562.4270000000001,233.19799999999998,23.32,
2020-04-21,68,1,10,0,,,,1585.747,233.19799999999998,0.0,
2020-04-22,68,0,10,0,,,,1585.747,233.19799999999998,0.0,
2020-04-23,73,5,12,2,,,,1702.346,279.83799999999997,46.64,
2020-04-24,73,0,12,0,,,,1702.346,279.83799999999997,0.0,
2020-04-25,73,0,12,0,,,,1702.346,279.83799999999997,0.0,
2020-04-26,73,0,12,0,,,,1702.346,279.83799999999997,0.0,
2020-04-27,74,1,13,1,,,,1725.6660000000002,303.158,23.32,
2020-04-28,75,1,13,0,,,,1748.986,303.158,0.0,
2020-04-29,75,0,13,0,,,,1748.986,303.158,0.0,
