Date,Countries,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,Active Cases,"Serious,Critical",Total Cases/1M people,Total Death/1M people,Total Tests,Tests/1M people,Continent
2020-03-13,Saint Vincent and the Grenadines,1,1,0,0,,,,9.013,0.0,0.0,,
2020-03-25,Saint Vincent and the Grenadines,1,0,0,0,,,,9.013,0.0,0.0,,
2020-03-26,Saint Vincent and the Grenadines,1,0,0,0,,,,9.013,0.0,0.0,,
2020-03-27,Saint Vincent and the Grenadines,1,0,0,0,,,,9.013,0.0,0.0,,
2020-03-28,Saint Vincent and the Grenadines,1,0,0,0,,,,9.013,0.0,0.0,,
2020-03-29,Saint Vincent and the Grenadines,1,0,0,0,,,,9.013,0.0,0.0,,
2020-03-30,Saint Vincent and the Grenadines,1,0,0,0,,,,9.013,0.0,0.0,,
2020-03-31,Saint Vincent and the Grenadines,1,0,0,0,,,,9.013,0.0,0.0,,
2020-04-01,Saint Vincent and the Grenadines,1,0,0,0,,,,9.013,0.0,0.0,,
2020-04-02,Saint Vincent and the Grenadines,2,1,0,0,,,,18.027,0.0,0.0,,
2020-04-03,Saint Vincent and the Grenadines,2,0,0,0,,,,18.027,0.0,0.0,,
2020-04-04,Saint Vincent and the Grenadines,7,5,0,0,,,,63.093,0.0,0.0,,
2020-04-05,Saint Vincent and the Grenadines,7,0,0,0,,,,63.093,0.0,0.0,,
2020-04-06,Saint Vincent and the Grenadines,7,0,0,0,,,,63.093,0.0,0.0,,
2020-04-07,Saint Vincent and the Grenadines,7,0,0,0,,,,63.093,0.0,0.0,,
2020-04-08,Saint Vincent and the Grenadines,8,1,0,0,,,,72.107,0.0,0.0,,
2020-04-09,Saint Vincent and the Grenadines,8,0,0,0,,,,72.107,0.0,0.0,,
2020-04-10,Saint Vincent and the Grenadines,12,4,0,0,,,,108.16,0.0,0.0,,
2020-04-11,Saint Vincent and the Grenadines,12,0,0,0,,,,108.16,0.0,0.0,,
2020-04-12,Saint Vincent and the Grenadines,12,0,0,0,,,,108.16,0.0,0.0,,
2020-04-13,Saint Vincent and the Grenadines,12,0,0,0,,,,108.16,0.0,0.0,,
2020-04-14,Saint Vincent and the Grenadines,12,0,0,0,,,,108.16,0.0,0.0,,
2020-04-15,Saint Vincent and the Grenadines,12,0,0,0,,,,108.16,0.0,0.0,,
2020-04-16,Saint Vincent and the Grenadines,12,0,0,0,,,,108.16,0.0,0.0,,
2020-04-17,Saint Vincent and the Grenadines,12,0,0,0,,,,108.16,0.0,0.0,,
2020-04-18,Saint Vincent and the Grenadines,12,0,0,0,,,,108.16,0.0,0.0,,
2020-04-19,Saint Vincent and the Grenadines,12,0,0,0,,,,108.16,0.0,0.0,,
2020-04-20,Saint Vincent and the Grenadines,12,0,0,0,,,,108.16,0.0,0.0,,
2020-04-21,Saint Vincent and the Grenadines,12,0,0,0,,,,108.16,0.0,0.0,,
