Date,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,Active Cases,"Serious,Critical",Total Cases/1M people,Total Death/1M people,Total Tests,Tests/1M people
2020-02-28,0,0,0,0,,,,,,,1.0
2020-03-03,1,1,0,0,,,,0.06,0.0,0.0,3.0
2020-03-04,0,0,0,0,,,,,,,5.0
2020-03-05,3,2,0,0,,,,0.179,0.0,0.0,
2020-03-06,4,1,0,0,,,,0.239,0.0,0.0,7.0
2020-03-07,0,0,0,0,,,,,,,9.0
2020-03-08,0,0,0,0,,,,,,,11.0
2020-03-09,0,0,0,0,,,,,,,17.0
2020-03-10,0,0,0,0,,,,,,,18.0
2020-03-11,0,0,0,0,,,,,,,26.0
2020-03-12,0,0,0,0,,,,,,,32.0
2020-03-13,6,2,0,0,,,,0.358,0.0,0.0,43.0
2020-03-14,19,13,0,0,,,,1.135,0.0,0.0,46.0
2020-03-15,21,2,0,0,,,,1.254,0.0,0.0,48.0
2020-03-16,26,5,0,0,,,,1.5530000000000002,0.0,0.0,57.0
2020-03-17,27,1,0,0,,,,1.6130000000000002,0.0,0.0,101.0
2020-03-18,31,4,0,0,,,,1.851,0.0,0.0,128.0
2020-03-19,36,5,0,0,,,,2.15,0.0,0.0,150.0
2020-03-20,36,0,0,0,,,,2.15,0.0,0.0,206.0
2020-03-21,47,11,0,0,,,,2.807,0.0,0.0,237.0
2020-03-22,56,9,0,0,,,,3.344,0.0,0.0,322.0
2020-03-23,67,11,0,0,,,,4.001,0.0,0.0,382.0
2020-03-24,79,12,0,0,,,,4.718,0.0,0.0,441.0
2020-03-25,86,7,0,0,,,,5.136,0.0,0.0,583.0
2020-03-26,99,13,0,0,,,,5.912999999999999,0.0,0.0,713.0
2020-03-27,105,6,0,0,,,,6.271,0.0,0.0,857.0
2020-03-28,119,14,0,0,,,,7.107,0.0,0.0,955.0
2020-03-29,130,11,0,0,,,,7.763999999999999,0.0,0.0,1106.0
2020-03-30,142,12,0,0,,,,8.481,0.0,0.0,1193.0
2020-03-31,162,20,0,0,,,,9.675,0.0,0.0,1290.0
2020-04-01,175,13,0,0,,,,10.452,0.0,0.0,1485.0
2020-04-02,190,15,1,1,,,,11.347000000000001,0.06,0.06,1612.0
2020-04-03,195,5,1,0,,,,11.645999999999999,0.06,0.0,1765.0
2020-04-04,207,12,1,0,,,,12.363,0.06,0.0,1942.0
2020-04-05,219,12,2,1,,,,13.079,0.11900000000000001,0.06,2034.0
2020-04-06,222,3,2,0,,,,13.259,0.11900000000000001,0.0,2129.0
2020-04-07,226,4,2,0,,,,13.497,0.11900000000000001,0.0,2239.0
2020-04-08,237,11,2,0,,,,14.154000000000002,0.11900000000000001,0.0,2347.0
2020-04-09,244,7,2,0,,,,14.572000000000001,0.11900000000000001,0.0,2546.0
2020-04-10,250,6,2,0,,,,14.931,0.11900000000000001,0.0,2741.0
2020-04-11,265,15,2,0,,,,15.827,0.11900000000000001,0.0,2914.0
2020-04-12,278,13,2,0,,,,16.602999999999998,0.11900000000000001,0.0,3018.0
2020-04-13,280,2,2,0,,,,16.722,0.11900000000000001,0.0,3162.0
2020-04-14,291,11,2,0,,,,17.379,0.11900000000000001,0.0,3434.0
2020-04-15,299,8,2,0,,,,17.857,0.11900000000000001,0.0,3661.0
2020-04-16,314,15,2,0,,,,18.753,0.11900000000000001,0.0,4096.0
2020-04-17,335,21,2,0,,,,20.007,0.11900000000000001,0.0,4393.0
2020-04-18,342,7,3,1,,,,20.425,0.179,0.06,4619.0
2020-04-19,350,8,3,0,,,,20.903000000000002,0.179,0.0,4932.0
2020-04-20,367,17,4,1,,,,21.918000000000003,0.239,0.06,5213.0
2020-04-21,377,10,5,1,,,,22.516,0.299,0.06,5679.0
2020-04-22,412,35,5,0,,,,24.605999999999998,0.299,0.0,6161.0
2020-04-23,442,30,6,1,,,,26.398000000000003,0.358,0.06,6548.0
2020-04-24,479,37,6,0,,,,28.607,0.358,0.0,7076.0
2020-04-25,545,66,7,1,,,,32.549,0.418,0.06,7779.0
2020-04-26,614,69,7,0,,,,36.67,0.418,0.0,8358.0
2020-04-27,671,57,9,2,,,,40.074,0.5379999999999999,0.11900000000000001,9035.0
2020-04-28,735,64,9,0,,,,43.897,0.5379999999999999,0.0,9908.0
2020-04-29,823,88,9,0,,,,49.152,0.5379999999999999,0.0,
