Date,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,Active Cases,"Serious,Critical",Total Cases/1M people,Total Death/1M people,Total Tests,Tests/1M people
2020-02-26,0,0,0,0,,,,,,,16.0
2020-02-27,0,0,0,0,,,,,,,20.0
2020-02-28,0,0,0,0,,,,,,,30.0
2020-02-29,0,0,0,0,,,,,,,32.0
2020-03-01,0,0,0,0,,,,,,,36.0
2020-03-02,0,0,0,0,,,,,,,45.0
2020-03-03,0,0,0,0,,,,,,,46.0
2020-03-04,0,0,0,0,,,,,,,50.0
2020-03-06,0,0,0,0,,,,,,,56.0
2020-03-07,1,1,0,0,,,,0.147,0.0,0.0,75.0
2020-03-08,0,0,0,0,,,,,,,91.0
2020-03-09,0,0,0,0,,,,,,,94.0
2020-03-10,0,0,0,0,,,,,,,108.0
2020-03-11,5,4,0,0,,,,0.735,0.0,0.0,130.0
2020-03-12,18,13,0,0,,,,2.645,0.0,0.0,160.0
2020-03-13,24,6,0,0,,,,3.5269999999999997,0.0,0.0,214.0
2020-03-14,41,17,0,0,,,,6.025,0.0,0.0,256.0
2020-03-15,46,5,0,0,,,,6.76,0.0,0.0,268.0
2020-03-16,55,9,0,0,,,,8.083,0.0,0.0,301.0
2020-03-17,57,2,0,0,,,,8.377,0.0,0.0,335.0
2020-03-18,72,15,0,0,,,,10.581,0.0,0.0,421.0
2020-03-19,94,22,0,0,,,,13.814,0.0,0.0,486.0
2020-03-20,126,32,0,0,,,,18.517,0.0,0.0,545.0
2020-03-21,135,9,1,1,,,,19.84,0.147,0.147,624.0
2020-03-22,149,14,1,0,,,,21.897,0.147,0.0,761.0
2020-03-23,188,39,1,0,,,,27.628,0.147,0.0,822.0
2020-03-24,222,34,1,0,,,,32.625,0.147,0.0,916.0
2020-03-25,249,27,1,0,,,,36.593,0.147,0.0,1161.0
2020-03-26,303,54,2,1,,,,44.528999999999996,0.294,0.147,1456.0
2020-03-27,384,81,3,1,,,,56.431999999999995,0.441,0.147,1715.0
2020-03-28,457,73,6,3,,,,67.16,0.882,0.441,2086.0
2020-03-29,659,202,10,4,,,,96.846,1.47,0.588,2462.0
2020-03-30,741,82,13,3,,,,108.897,1.91,0.441,3084.0
2020-03-31,741,0,13,0,,,,108.897,1.91,0.0,3561.0
2020-04-01,900,159,23,10,,,,132.264,3.38,1.47,4371.0
2020-04-02,1060,160,23,0,,,,155.77700000000002,3.38,0.0,5008.0
2020-04-03,1171,111,31,8,,,,172.09,4.556,1.176,5756.0
2020-04-04,1476,305,39,8,,,,216.912,5.731,1.176,6401.0
2020-04-05,1624,148,44,5,,,,238.662,6.466,0.735,7360.0
2020-04-06,1908,284,51,7,,,,280.399,7.495,1.0290000000000001,8552.0
2020-04-07,2200,292,58,7,,,,323.311,8.524,1.0290000000000001,9626.0
2020-04-08,2447,247,61,3,,,,359.61,8.965,0.441,10761.0
2020-04-09,2666,219,65,4,,,,391.79400000000004,9.552,0.588,12347.0
2020-04-10,2867,201,66,1,,,,421.333,9.699,0.147,14240.0
2020-04-11,3105,238,71,5,,,,456.309,10.434000000000001,0.735,16399.0
2020-04-12,3380,275,74,3,,,,496.723,10.875,0.441,18312.0
2020-04-13,3630,250,80,6,,,,533.4630000000001,11.757,0.882,20958.0
2020-04-14,4054,424,85,5,,,,595.774,12.492,0.735,23398.0
2020-04-15,4465,411,94,9,,,,656.174,13.814,1.3230000000000002,26278.0
2020-04-16,4873,408,99,5,,,,716.1339999999999,14.549000000000001,0.735,29472.0
2020-04-17,5318,445,103,4,,,,781.5310000000001,15.137,0.588,32566.0
2020-04-18,5690,372,110,7,,,,836.2,16.166,1.0290000000000001,36028.0
2020-04-19,5994,304,117,7,,,,880.875,17.194000000000003,1.0290000000000001,38701.0
2020-04-20,6318,324,122,5,,,,928.49,17.929000000000002,0.735,41812.0
2020-04-21,6630,312,125,3,,,,974.341,18.37,0.441,45355.0
2020-04-22,6890,260,125,0,,,,1012.551,18.37,0.0,48636.0
2020-04-23,7114,224,134,9,,,,1045.47,19.692999999999998,1.3230000000000002,51324.0
2020-04-24,7276,162,139,5,,,,1069.277,20.427,0.735,54887.0
2020-04-25,7483,207,144,5,,,,1099.698,21.162,0.735,59938.0
2020-04-26,7779,296,151,7,,,,1143.198,22.191,1.0290000000000001,64303.0
2020-04-27,8042,263,156,5,,,,1181.848,22.926,0.735,67917.0
2020-04-28,8275,233,162,6,,,,1216.09,23.807,0.882,73363.0
2020-04-29,8497,222,168,6,,,,1248.715,24.689,0.882,78942.0
