Date,Countries,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,Active Cases,"Serious,Critical",Total Cases/1M people,Total Death/1M people,Total Tests,Tests/1M people,Continent
2020-02-26,Serbia,0,0,0,0,,,,,,,16.0,
2020-02-27,Serbia,0,0,0,0,,,,,,,20.0,
2020-02-28,Serbia,0,0,0,0,,,,,,,30.0,
2020-02-29,Serbia,0,0,0,0,,,,,,,32.0,
2020-03-01,Serbia,0,0,0,0,,,,,,,36.0,
2020-03-02,Serbia,0,0,0,0,,,,,,,45.0,
2020-03-03,Serbia,0,0,0,0,,,,,,,46.0,
2020-03-04,Serbia,0,0,0,0,,,,,,,50.0,
2020-03-06,Serbia,0,0,0,0,,,,,,,56.0,
2020-03-07,Serbia,1,1,0,0,,,,0.147,0.0,0.0,75.0,
2020-03-08,Serbia,0,0,0,0,,,,,,,91.0,
2020-03-09,Serbia,0,0,0,0,,,,,,,94.0,
2020-03-10,Serbia,0,0,0,0,,,,,,,108.0,
2020-03-11,Serbia,5,4,0,0,,,,0.735,0.0,0.0,130.0,
2020-03-12,Serbia,18,13,0,0,,,,2.645,0.0,0.0,160.0,
2020-03-13,Serbia,24,6,0,0,,,,3.5269999999999997,0.0,0.0,214.0,
2020-03-14,Serbia,41,17,0,0,,,,6.025,0.0,0.0,256.0,
2020-03-15,Serbia,46,5,0,0,,,,6.76,0.0,0.0,268.0,
2020-03-16,Serbia,55,9,0,0,,,,8.083,0.0,0.0,301.0,
2020-03-17,Serbia,57,2,0,0,,,,8.377,0.0,0.0,335.0,
2020-03-18,Serbia,72,15,0,0,,,,10.581,0.0,0.0,421.0,
2020-03-19,Serbia,94,22,0,0,,,,13.814,0.0,0.0,486.0,
2020-03-20,Serbia,126,32,0,0,,,,18.517,0.0,0.0,545.0,
2020-03-21,Serbia,135,9,1,1,,,,19.84,0.147,0.147,624.0,
2020-03-22,Serbia,149,14,1,0,,,,21.897,0.147,0.0,761.0,
2020-03-23,Serbia,188,39,1,0,,,,27.628,0.147,0.0,822.0,
2020-03-24,Serbia,222,34,1,0,,,,32.625,0.147,0.0,916.0,
2020-03-25,Serbia,249,27,1,0,,,,36.593,0.147,0.0,1161.0,
2020-03-26,Serbia,303,54,2,1,,,,44.528999999999996,0.294,0.147,1456.0,
2020-03-27,Serbia,384,81,3,1,,,,56.431999999999995,0.441,0.147,1715.0,
2020-03-28,Serbia,457,73,6,3,,,,67.16,0.882,0.441,2086.0,
2020-03-29,Serbia,659,202,10,4,,,,96.846,1.47,0.588,2462.0,
2020-03-30,Serbia,741,82,13,3,,,,108.897,1.91,0.441,3084.0,
2020-03-31,Serbia,741,0,13,0,,,,108.897,1.91,0.0,3561.0,
2020-04-01,Serbia,900,159,23,10,,,,132.264,3.38,1.47,4371.0,
2020-04-02,Serbia,1060,160,23,0,,,,155.77700000000002,3.38,0.0,5008.0,
2020-04-03,Serbia,1171,111,31,8,,,,172.09,4.556,1.176,5756.0,
2020-04-04,Serbia,1476,305,39,8,,,,216.912,5.731,1.176,6401.0,
2020-04-05,Serbia,1624,148,44,5,,,,238.662,6.466,0.735,7360.0,
2020-04-06,Serbia,1908,284,51,7,,,,280.399,7.495,1.0290000000000001,8552.0,
2020-04-07,Serbia,2200,292,58,7,,,,323.311,8.524,1.0290000000000001,9626.0,
2020-04-08,Serbia,2447,247,61,3,,,,359.61,8.965,0.441,10761.0,
2020-04-09,Serbia,2666,219,65,4,,,,391.79400000000004,9.552,0.588,12347.0,
2020-04-10,Serbia,2867,201,66,1,,,,421.333,9.699,0.147,14240.0,
2020-04-11,Serbia,3105,238,71,5,,,,456.309,10.434000000000001,0.735,16399.0,
2020-04-12,Serbia,3380,275,74,3,,,,496.723,10.875,0.441,18312.0,
2020-04-13,Serbia,3630,250,80,6,,,,533.4630000000001,11.757,0.882,20958.0,
2020-04-14,Serbia,4054,424,85,5,,,,595.774,12.492,0.735,23398.0,
2020-04-15,Serbia,4465,411,94,9,,,,656.174,13.814,1.3230000000000002,26278.0,
2020-04-16,Serbia,4873,408,99,5,,,,716.1339999999999,14.549000000000001,0.735,29472.0,
2020-04-17,Serbia,5318,445,103,4,,,,781.5310000000001,15.137,0.588,32566.0,
2020-04-18,Serbia,5690,372,110,7,,,,836.2,16.166,1.0290000000000001,36028.0,
2020-04-19,Serbia,5994,304,117,7,,,,880.875,17.194000000000003,1.0290000000000001,38701.0,
2020-04-20,Serbia,6318,324,122,5,,,,928.49,17.929000000000002,0.735,41812.0,
2020-04-21,Serbia,6630,312,125,3,,,,974.341,18.37,0.441,,
