Date,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,Active Cases,"Serious,Critical",Total Cases/1M people,Total Death/1M people,Total Tests,Tests/1M people
2020-04-01,1,1,0,0,,,,0.125,0.0,0.0,
2020-04-02,1,0,0,0,,,,0.125,0.0,0.0,
2020-04-03,2,1,0,0,,,,0.251,0.0,0.0,
2020-04-04,2,0,0,0,,,,0.251,0.0,0.0,
2020-04-05,4,2,0,0,,,,0.501,0.0,0.0,
2020-04-06,6,2,0,0,,,,0.752,0.0,0.0,
2020-04-07,6,0,0,0,,,,0.752,0.0,0.0,
2020-04-08,6,0,0,0,,,,0.752,0.0,0.0,
2020-04-09,7,1,0,0,,,,0.878,0.0,0.0,
2020-04-10,7,0,0,0,,,,0.878,0.0,0.0,
2020-04-11,8,1,0,0,,,,1.003,0.0,0.0,
2020-04-12,10,2,0,0,,,,1.254,0.0,0.0,
2020-04-13,10,0,0,0,,,,1.254,0.0,0.0,
2020-04-14,11,1,0,0,,,,1.379,0.0,0.0,
2020-04-15,11,0,0,0,,,,1.379,0.0,0.0,
2020-04-16,13,2,0,0,,,,1.63,0.0,0.0,
2020-04-17,15,2,0,0,,,,1.88,0.0,0.0,
2020-04-18,26,11,0,0,,,,3.259,0.0,0.0,
2020-04-19,30,4,0,0,,,,3.761,0.0,0.0,
2020-04-20,35,5,0,0,,,,4.388,0.0,0.0,
2020-04-21,43,8,0,0,,,,5.391,0.0,0.0,
2020-04-22,50,7,0,0,,,,6.268,0.0,0.0,
2020-04-23,61,11,0,0,,,,7.647,0.0,0.0,
2020-04-24,64,3,1,1,,,,8.023,0.125,0.125,
2020-04-25,82,18,3,2,,,,10.28,0.376,0.251,
2020-04-26,82,0,3,0,,,,10.28,0.376,0.0,
2020-04-27,93,11,4,1,,,,11.659,0.501,0.125,
2020-04-28,99,6,4,0,,,,12.411,0.501,0.0,
2020-04-29,104,5,5,1,,,,13.038,0.627,0.125,
