Date,Countries,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,Active Cases,"Serious,Critical",Total Cases/1M people,Total Death/1M people,Total Tests,Tests/1M people,Continent
2020-04-01,Sierra Leone,1,1,0,0,,,,0.125,0.0,0.0,,
2020-04-02,Sierra Leone,1,0,0,0,,,,0.125,0.0,0.0,,
2020-04-03,Sierra Leone,2,1,0,0,,,,0.251,0.0,0.0,,
2020-04-04,Sierra Leone,2,0,0,0,,,,0.251,0.0,0.0,,
2020-04-05,Sierra Leone,4,2,0,0,,,,0.501,0.0,0.0,,
2020-04-06,Sierra Leone,6,2,0,0,,,,0.752,0.0,0.0,,
2020-04-07,Sierra Leone,6,0,0,0,,,,0.752,0.0,0.0,,
2020-04-08,Sierra Leone,6,0,0,0,,,,0.752,0.0,0.0,,
2020-04-09,Sierra Leone,7,1,0,0,,,,0.878,0.0,0.0,,
2020-04-10,Sierra Leone,7,0,0,0,,,,0.878,0.0,0.0,,
2020-04-11,Sierra Leone,8,1,0,0,,,,1.003,0.0,0.0,,
2020-04-12,Sierra Leone,10,2,0,0,,,,1.254,0.0,0.0,,
2020-04-13,Sierra Leone,10,0,0,0,,,,1.254,0.0,0.0,,
2020-04-14,Sierra Leone,11,1,0,0,,,,1.379,0.0,0.0,,
2020-04-15,Sierra Leone,11,0,0,0,,,,1.379,0.0,0.0,,
2020-04-16,Sierra Leone,13,2,0,0,,,,1.63,0.0,0.0,,
2020-04-17,Sierra Leone,15,2,0,0,,,,1.88,0.0,0.0,,
2020-04-18,Sierra Leone,26,11,0,0,,,,3.259,0.0,0.0,,
2020-04-19,Sierra Leone,30,4,0,0,,,,3.761,0.0,0.0,,
2020-04-20,Sierra Leone,35,5,0,0,,,,4.388,0.0,0.0,,
2020-04-21,Sierra Leone,43,8,0,0,,,,5.391,0.0,0.0,,
