Date,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,Active Cases,"Serious,Critical",Total Cases/1M people,Total Death/1M people,Total Tests,Tests/1M people
2019-12-31,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-01,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-02,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-03,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-04,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-05,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-06,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-07,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-08,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-09,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-10,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-11,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-12,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-13,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-14,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-15,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-16,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-17,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-18,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-19,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-20,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-21,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-22,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-23,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-24,3,3,0,0,,,,0.513,0.0,0.0,
2020-01-25,3,0,0,0,,,,0.513,0.0,0.0,
2020-01-26,4,1,0,0,,,,0.684,0.0,0.0,
2020-01-27,4,0,0,0,,,,0.684,0.0,0.0,
2020-01-28,5,1,0,0,,,,0.855,0.0,0.0,
2020-01-29,7,2,0,0,,,,1.197,0.0,0.0,
2020-01-30,10,3,0,0,,,,1.709,0.0,0.0,
2020-01-31,13,3,0,0,,,,2.222,0.0,0.0,
2020-02-01,16,3,0,0,,,,2.735,0.0,0.0,
2020-02-02,18,2,0,0,,,,3.077,0.0,0.0,
2020-02-03,18,0,0,0,,,,3.077,0.0,0.0,
2020-02-04,18,0,0,0,,,,3.077,0.0,0.0,
2020-02-05,24,6,0,0,,,,4.102,0.0,0.0,
2020-02-06,28,4,0,0,,,,4.7860000000000005,0.0,0.0,
2020-02-07,30,2,0,0,,,,5.127999999999999,0.0,0.0,
2020-02-08,33,3,0,0,,,,5.641,0.0,0.0,
2020-02-09,40,7,0,0,,,,6.837000000000001,0.0,0.0,
2020-02-10,43,3,0,0,,,,7.35,0.0,0.0,
2020-02-11,45,2,0,0,,,,7.692,0.0,0.0,
2020-02-12,47,2,0,0,,,,8.033999999999999,0.0,0.0,
2020-02-13,50,3,0,0,,,,8.547,0.0,0.0,
2020-02-14,58,8,0,0,,,,9.914,0.0,0.0,
2020-02-15,67,9,0,0,,,,11.452,0.0,0.0,
2020-02-16,72,5,0,0,,,,12.307,0.0,0.0,
2020-02-17,75,3,0,0,,,,12.82,0.0,0.0,
2020-02-18,77,2,0,0,,,,13.162,0.0,0.0,
2020-02-19,81,4,0,0,,,,13.845,0.0,0.0,
2020-02-20,84,3,0,0,,,,14.357999999999999,0.0,0.0,
2020-02-21,85,1,0,0,,,,14.529000000000002,0.0,0.0,
2020-02-22,86,1,0,0,,,,14.7,0.0,0.0,
2020-02-23,89,3,0,0,,,,15.213,0.0,0.0,
2020-02-24,89,0,0,0,,,,15.213,0.0,0.0,
2020-02-25,90,1,0,0,,,,15.384,0.0,0.0,
2020-02-26,91,1,0,0,,,,15.555,0.0,0.0,
2020-02-27,93,2,0,0,,,,15.897,0.0,0.0,
2020-02-28,96,3,0,0,,,,16.409000000000002,0.0,0.0,
2020-02-29,98,2,0,0,,,,16.750999999999998,0.0,0.0,
2020-03-01,102,4,0,0,,,,17.435,0.0,0.0,
2020-03-02,106,4,0,0,,,,18.119,0.0,0.0,
2020-03-03,108,2,0,0,,,,18.46,0.0,0.0,
2020-03-04,110,2,0,0,,,,18.802,0.0,0.0,
2020-03-05,112,2,0,0,,,,19.144000000000002,0.0,0.0,
2020-03-06,117,5,0,0,,,,19.999000000000002,0.0,0.0,
2020-03-07,130,13,0,0,,,,22.221,0.0,0.0,
2020-03-08,138,8,0,0,,,,23.588,0.0,0.0,
2020-03-09,150,12,0,0,,,,25.64,0.0,0.0,
2020-03-10,160,10,0,0,,,,27.349,0.0,0.0,
2020-03-11,166,6,0,0,,,,28.374000000000002,0.0,0.0,
2020-03-12,178,12,0,0,,,,30.426,0.0,0.0,
2020-03-13,187,9,0,0,,,,31.964000000000002,0.0,0.0,
2020-03-14,200,13,0,0,,,,34.186,0.0,0.0,
2020-03-15,214,14,0,0,,,,36.579,0.0,0.0,
2020-03-16,226,12,0,0,,,,38.63,0.0,0.0,
2020-03-17,243,17,0,0,,,,41.536,0.0,0.0,
2020-03-18,266,23,0,0,,,,45.467,0.0,0.0,
2020-03-19,313,47,0,0,,,,53.501000000000005,0.0,0.0,
2020-03-20,345,32,0,0,,,,58.971000000000004,0.0,0.0,
2020-03-21,385,40,0,0,,,,65.808,0.0,0.0,
2020-03-22,432,47,2,2,,,,73.842,0.342,0.342,
2020-03-23,455,23,2,0,,,,77.773,0.342,0.0,
2020-03-24,509,54,2,0,,,,87.00299999999999,0.342,0.0,
2020-03-25,558,49,2,0,,,,95.37899999999999,0.342,0.0,
2020-03-26,568,10,2,0,,,,97.088,0.342,0.0,
2020-03-27,594,26,2,0,,,,101.53299999999999,0.342,0.0,
2020-03-28,732,138,2,0,,,,125.12100000000001,0.342,0.0,
2020-03-29,803,71,3,1,,,,137.257,0.513,0.171,
