Date,Countries,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,Active Cases,"Serious,Critical",Total Cases/1M people,Total Death/1M people,Total Tests,Tests/1M people,Continent
2019-12-31,Singapore,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-01,Singapore,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-02,Singapore,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-03,Singapore,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-04,Singapore,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-05,Singapore,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-06,Singapore,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-07,Singapore,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-08,Singapore,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-09,Singapore,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-10,Singapore,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-11,Singapore,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-12,Singapore,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-13,Singapore,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-14,Singapore,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-15,Singapore,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-16,Singapore,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-17,Singapore,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-18,Singapore,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-19,Singapore,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-20,Singapore,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-21,Singapore,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-22,Singapore,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-23,Singapore,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-24,Singapore,3,3,0,0,,,,0.513,0.0,0.0,,
2020-01-25,Singapore,3,0,0,0,,,,0.513,0.0,0.0,,
2020-01-26,Singapore,4,1,0,0,,,,0.684,0.0,0.0,,
2020-01-27,Singapore,4,0,0,0,,,,0.684,0.0,0.0,,
2020-01-28,Singapore,5,1,0,0,,,,0.855,0.0,0.0,,
2020-01-29,Singapore,7,2,0,0,,,,1.197,0.0,0.0,,
2020-01-30,Singapore,10,3,0,0,,,,1.709,0.0,0.0,,
2020-01-31,Singapore,13,3,0,0,,,,2.222,0.0,0.0,,
