Date,Countries,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,Active Cases,"Serious,Critical",Total Cases/1M people,Total Death/1M people,Total Tests,Tests/1M people,Continent
2020-03-03,Sint Maarten (Dutch part),1,1,0,0,,,,23.32,0.0,0.0,,
2020-03-26,Sint Maarten (Dutch part),2,1,0,0,,,,46.64,0.0,0.0,,
2020-03-27,Sint Maarten (Dutch part),2,0,0,0,,,,46.64,0.0,0.0,,
2020-03-28,Sint Maarten (Dutch part),3,1,0,0,,,,69.959,0.0,0.0,,
2020-03-29,Sint Maarten (Dutch part),3,0,0,0,,,,69.959,0.0,0.0,,
2020-03-30,Sint Maarten (Dutch part),3,0,0,0,,,,69.959,0.0,0.0,,
2020-04-01,Sint Maarten (Dutch part),6,3,0,0,,,,139.91899999999998,0.0,0.0,,
2020-04-02,Sint Maarten (Dutch part),16,10,1,1,,,,373.11699999999996,23.32,23.32,,
2020-04-03,Sint Maarten (Dutch part),23,7,2,1,,,,536.356,46.64,23.32,,
2020-04-04,Sint Maarten (Dutch part),23,0,2,0,,,,536.356,46.64,0.0,,
2020-04-05,Sint Maarten (Dutch part),23,0,2,0,,,,536.356,46.64,0.0,,
2020-04-06,Sint Maarten (Dutch part),25,2,4,2,,,,582.995,93.279,46.64,,
2020-04-07,Sint Maarten (Dutch part),25,0,4,0,,,,582.995,93.279,0.0,,
2020-04-08,Sint Maarten (Dutch part),40,15,8,4,,,,932.7919999999999,186.558,93.279,,
2020-04-09,Sint Maarten (Dutch part),40,0,8,0,,,,932.7919999999999,186.558,0.0,,
2020-04-10,Sint Maarten (Dutch part),50,10,8,0,,,,1165.99,186.558,0.0,,
2020-04-11,Sint Maarten (Dutch part),50,0,9,1,,,,1165.99,209.878,23.32,,
2020-04-12,Sint Maarten (Dutch part),50,0,9,0,,,,1165.99,209.878,0.0,,
2020-04-13,Sint Maarten (Dutch part),50,0,9,0,,,,1165.99,209.878,0.0,,
2020-04-14,Sint Maarten (Dutch part),52,2,9,0,,,,1212.63,209.878,0.0,,
2020-04-15,Sint Maarten (Dutch part),52,0,9,0,,,,1212.63,209.878,0.0,,
2020-04-16,Sint Maarten (Dutch part),57,5,9,0,,,,1329.229,209.878,0.0,,
2020-04-17,Sint Maarten (Dutch part),57,0,9,0,,,,1329.229,209.878,0.0,,
2020-04-18,Sint Maarten (Dutch part),57,0,9,0,,,,1329.229,209.878,0.0,,
2020-04-19,Sint Maarten (Dutch part),64,7,9,0,,,,1492.4679999999998,209.878,0.0,,
2020-04-20,Sint Maarten (Dutch part),67,3,10,1,,,,1562.4270000000001,233.19799999999998,23.32,,
2020-04-21,Sint Maarten (Dutch part),68,1,10,0,,,,1585.747,233.19799999999998,0.0,,
