Date,Countries,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,Active Cases,"Serious,Critical",Total Cases/1M people,Total Death/1M people,Total Tests,Tests/1M people,Continent
2020-03-17,Somalia,1,1,0,0,,,,0.063,0.0,0.0,,
2020-03-18,Somalia,1,0,0,0,,,,0.063,0.0,0.0,,
2020-03-19,Somalia,1,0,0,0,,,,0.063,0.0,0.0,,
2020-03-20,Somalia,1,0,0,0,,,,0.063,0.0,0.0,,
2020-03-21,Somalia,1,0,0,0,,,,0.063,0.0,0.0,,
2020-03-22,Somalia,1,0,0,0,,,,0.063,0.0,0.0,,
2020-03-23,Somalia,1,0,0,0,,,,0.063,0.0,0.0,,
2020-03-24,Somalia,1,0,0,0,,,,0.063,0.0,0.0,,
2020-03-25,Somalia,1,0,0,0,,,,0.063,0.0,0.0,,
2020-03-26,Somalia,1,0,0,0,,,,0.063,0.0,0.0,,
2020-03-27,Somalia,2,1,0,0,,,,0.126,0.0,0.0,,
2020-03-28,Somalia,3,1,0,0,,,,0.18899999999999997,0.0,0.0,,
2020-03-29,Somalia,3,0,0,0,,,,0.18899999999999997,0.0,0.0,,
2020-03-30,Somalia,3,0,0,0,,,,0.18899999999999997,0.0,0.0,,
2020-03-31,Somalia,3,0,0,0,,,,0.18899999999999997,0.0,0.0,,
2020-04-01,Somalia,3,0,0,0,,,,0.18899999999999997,0.0,0.0,,
2020-04-02,Somalia,5,2,0,0,,,,0.315,0.0,0.0,,
2020-04-03,Somalia,5,0,0,0,,,,0.315,0.0,0.0,,
2020-04-04,Somalia,5,0,0,0,,,,0.315,0.0,0.0,,
2020-04-05,Somalia,7,2,0,0,,,,0.44,0.0,0.0,,
2020-04-06,Somalia,7,0,0,0,,,,0.44,0.0,0.0,,
2020-04-07,Somalia,7,0,0,0,,,,0.44,0.0,0.0,,
2020-04-08,Somalia,8,1,0,0,,,,0.503,0.0,0.0,,
2020-04-09,Somalia,8,0,0,0,,,,0.503,0.0,0.0,,
2020-04-10,Somalia,12,4,1,1,,,,0.755,0.063,0.063,,
2020-04-11,Somalia,21,9,1,0,,,,1.321,0.063,0.0,,
2020-04-12,Somalia,21,0,1,0,,,,1.321,0.063,0.0,,
2020-04-13,Somalia,25,4,2,1,,,,1.5730000000000002,0.126,0.063,,
2020-04-14,Somalia,25,0,2,0,,,,1.5730000000000002,0.126,0.0,,
2020-04-15,Somalia,60,35,2,0,,,,3.775,0.126,0.0,,
2020-04-16,Somalia,80,20,5,3,,,,5.034,0.315,0.18899999999999997,,
2020-04-17,Somalia,80,0,5,0,,,,5.034,0.315,0.0,,
2020-04-18,Somalia,116,36,5,0,,,,7.2989999999999995,0.315,0.0,,
2020-04-19,Somalia,135,19,7,2,,,,8.494,0.44,0.126,,
2020-04-20,Somalia,164,29,7,0,,,,10.319,0.44,0.0,,
2020-04-21,Somalia,237,73,8,1,,,,14.912,0.503,0.063,,
