Date,Countries,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,Active Cases,"Serious,Critical",Total Cases/1M people,Total Death/1M people,Total Tests,Tests/1M people,Continent
2020-04-06,South Sudan,1,1,0,0,,,,0.08900000000000001,0.0,0.0,,
2020-04-07,South Sudan,1,0,0,0,,,,0.08900000000000001,0.0,0.0,,
2020-04-08,South Sudan,1,0,0,0,,,,0.08900000000000001,0.0,0.0,,
2020-04-09,South Sudan,2,1,0,0,,,,0.179,0.0,0.0,,
2020-04-10,South Sudan,2,0,0,0,,,,0.179,0.0,0.0,,
2020-04-11,South Sudan,3,1,0,0,,,,0.268,0.0,0.0,,
2020-04-12,South Sudan,4,1,0,0,,,,0.35700000000000004,0.0,0.0,,
2020-04-13,South Sudan,4,0,0,0,,,,0.35700000000000004,0.0,0.0,,
2020-04-14,South Sudan,4,0,0,0,,,,0.35700000000000004,0.0,0.0,,
2020-04-15,South Sudan,4,0,0,0,,,,0.35700000000000004,0.0,0.0,,
2020-04-16,South Sudan,4,0,0,0,,,,0.35700000000000004,0.0,0.0,,
2020-04-17,South Sudan,4,0,0,0,,,,0.35700000000000004,0.0,0.0,,
2020-04-18,South Sudan,4,0,0,0,,,,0.35700000000000004,0.0,0.0,,
2020-04-19,South Sudan,4,0,0,0,,,,0.35700000000000004,0.0,0.0,,
2020-04-20,South Sudan,4,0,0,0,,,,0.35700000000000004,0.0,0.0,,
2020-04-21,South Sudan,4,0,0,0,,,,0.35700000000000004,0.0,0.0,,
