Date,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,Active Cases,"Serious,Critical",Total Cases/1M people,Total Death/1M people,Total Tests,Tests/1M people
2019-12-31,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-01,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-02,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-03,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-04,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-05,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-06,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-07,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-08,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-09,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-10,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-11,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-12,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-13,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-14,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-15,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-16,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-17,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-18,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-19,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-20,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-21,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-22,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-23,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-24,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-25,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-26,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-27,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-28,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-29,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-30,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-31,0,0,0,0,,,,0.0,0.0,0.0,
2020-02-01,1,1,0,0,,,,0.021,0.0,0.0,
2020-02-02,1,0,0,0,,,,0.021,0.0,0.0,
2020-02-03,1,0,0,0,,,,0.021,0.0,0.0,
2020-02-04,1,0,0,0,,,,0.021,0.0,0.0,
2020-02-05,1,0,0,0,,,,0.021,0.0,0.0,
2020-02-06,1,0,0,0,,,,0.021,0.0,0.0,
2020-02-07,1,0,0,0,,,,0.021,0.0,0.0,
2020-02-08,1,0,0,0,,,,0.021,0.0,0.0,
2020-02-09,1,0,0,0,,,,0.021,0.0,0.0,
2020-02-10,2,1,0,0,,,,0.043,0.0,0.0,
2020-02-11,2,0,0,0,,,,0.043,0.0,0.0,
2020-02-12,2,0,0,0,,,,0.043,0.0,0.0,
2020-02-13,2,0,0,0,,,,0.043,0.0,0.0,
2020-02-14,2,0,0,0,,,,0.043,0.0,0.0,
2020-02-15,2,0,0,0,,,,0.043,0.0,0.0,
2020-02-16,2,0,0,0,,,,0.043,0.0,0.0,
2020-02-17,2,0,0,0,,,,0.043,0.0,0.0,
2020-02-18,2,0,0,0,,,,0.043,0.0,0.0,
2020-02-19,2,0,0,0,,,,0.043,0.0,0.0,
2020-02-20,2,0,0,0,,,,0.043,0.0,0.0,
2020-02-21,2,0,0,0,,,,0.043,0.0,0.0,
2020-02-22,2,0,0,0,,,,0.043,0.0,0.0,
2020-02-23,2,0,0,0,,,,0.043,0.0,0.0,
2020-02-24,2,0,0,0,,,,0.043,0.0,0.0,
2020-02-25,3,1,0,0,,,,0.064,0.0,0.0,
2020-02-26,7,4,0,0,,,,0.15,0.0,0.0,
2020-02-27,12,5,0,0,,,,0.257,0.0,0.0,
2020-02-28,25,13,0,0,,,,0.535,0.0,0.0,
2020-02-29,34,9,0,0,,,,0.727,0.0,0.0,
2020-03-01,66,32,0,0,,,,1.412,0.0,0.0,
2020-03-02,83,17,0,0,,,,1.775,0.0,0.0,
2020-03-03,114,31,0,0,,,,2.438,0.0,0.0,
2020-03-04,151,37,0,0,,,,3.23,0.0,0.0,
2020-03-05,200,49,1,1,,,,4.2780000000000005,0.021,0.021,
2020-03-06,261,61,3,2,,,,5.582000000000001,0.064,0.043,
2020-03-07,374,113,5,2,,,,7.999,0.107,0.043,
2020-03-08,430,56,5,0,,,,9.197000000000001,0.107,0.0,
2020-03-09,589,159,5,0,,,,12.597999999999999,0.107,0.0,
2020-03-10,1204,615,28,23,,,,25.750999999999998,0.599,0.49200000000000005,
2020-03-11,1639,435,35,7,,,,35.055,0.7490000000000001,0.15,
2020-03-12,2140,501,47,12,,,,45.771,1.005,0.257,
2020-03-13,3004,864,84,37,,,,64.25,1.797,0.7909999999999999,
2020-03-14,4231,1227,121,37,,,,90.493,2.588,0.7909999999999999,
2020-03-15,5753,1522,136,15,,,,123.046,2.909,0.321,
2020-03-16,7753,2000,288,152,,,,165.82299999999998,6.16,3.2510000000000003,
2020-03-17,9191,1438,309,21,,,,196.579,6.609,0.449,
2020-03-18,11178,1987,491,182,,,,239.077,10.502,3.8930000000000002,
2020-03-19,13716,2538,598,107,,,,293.36,12.79,2.289,
2020-03-20,17147,3431,767,169,,,,366.74300000000005,16.405,3.615,
2020-03-21,19980,2833,1002,235,,,,427.336,21.430999999999997,5.026,
2020-03-22,24926,4946,1326,324,,,,533.122,28.361,6.93,
2020-03-23,28572,3646,1720,394,,,,611.1030000000001,36.788000000000004,8.427,
2020-03-24,33089,4517,2182,462,,,,707.7139999999999,46.669,9.881,
2020-03-25,39673,6584,2696,514,,,,848.534,57.663000000000004,10.994000000000002,
2020-03-26,47610,7937,3434,738,,,,1018.2919999999999,73.447,15.784,
2020-03-27,56188,8578,4089,655,,,,1201.759,87.456,14.009,
