Date,Countries,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,Active Cases,"Serious,Critical",Total Cases/1M people,Total Death/1M people,Total Tests,Tests/1M people,Continent
2019-12-31,Spain,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-01,Spain,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-02,Spain,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-03,Spain,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-04,Spain,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-05,Spain,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-06,Spain,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-07,Spain,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-08,Spain,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-09,Spain,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-10,Spain,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-11,Spain,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-12,Spain,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-13,Spain,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-14,Spain,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-15,Spain,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-16,Spain,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-17,Spain,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-18,Spain,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-19,Spain,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-20,Spain,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-21,Spain,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-22,Spain,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-23,Spain,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-24,Spain,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-25,Spain,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-26,Spain,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-27,Spain,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-28,Spain,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-29,Spain,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-30,Spain,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-31,Spain,0,0,0,0,,,,0.0,0.0,0.0,,
2020-02-01,Spain,1,1,0,0,,,,0.021,0.0,0.0,,
2020-02-02,Spain,1,0,0,0,,,,0.021,0.0,0.0,,
2020-02-03,Spain,1,0,0,0,,,,0.021,0.0,0.0,,
2020-02-04,Spain,1,0,0,0,,,,0.021,0.0,0.0,,
2020-02-05,Spain,1,0,0,0,,,,0.021,0.0,0.0,,
2020-02-06,Spain,1,0,0,0,,,,0.021,0.0,0.0,,
2020-02-07,Spain,1,0,0,0,,,,0.021,0.0,0.0,,
2020-02-08,Spain,1,0,0,0,,,,0.021,0.0,0.0,,
2020-02-09,Spain,1,0,0,0,,,,0.021,0.0,0.0,,
2020-02-10,Spain,2,1,0,0,,,,0.043,0.0,0.0,,
2020-02-11,Spain,2,0,0,0,,,,0.043,0.0,0.0,,
2020-02-12,Spain,2,0,0,0,,,,0.043,0.0,0.0,,
2020-02-13,Spain,2,0,0,0,,,,0.043,0.0,0.0,,
2020-02-14,Spain,2,0,0,0,,,,0.043,0.0,0.0,,
2020-02-15,Spain,2,0,0,0,,,,0.043,0.0,0.0,,
2020-02-16,Spain,2,0,0,0,,,,0.043,0.0,0.0,,
2020-02-17,Spain,2,0,0,0,,,,0.043,0.0,0.0,,
2020-02-18,Spain,2,0,0,0,,,,0.043,0.0,0.0,,
2020-02-19,Spain,2,0,0,0,,,,0.043,0.0,0.0,,
2020-02-20,Spain,2,0,0,0,,,,0.043,0.0,0.0,,
2020-02-21,Spain,2,0,0,0,,,,0.043,0.0,0.0,,
2020-02-22,Spain,2,0,0,0,,,,0.043,0.0,0.0,,
2020-02-23,Spain,2,0,0,0,,,,0.043,0.0,0.0,,
2020-02-24,Spain,2,0,0,0,,,,0.043,0.0,0.0,,
2020-02-25,Spain,3,1,0,0,,,,0.064,0.0,0.0,,
2020-02-26,Spain,7,4,0,0,,,,0.15,0.0,0.0,,
2020-02-27,Spain,12,5,0,0,,,,0.257,0.0,0.0,,
2020-02-28,Spain,25,13,0,0,,,,0.535,0.0,0.0,,
2020-02-29,Spain,34,9,0,0,,,,0.727,0.0,0.0,,
2020-03-01,Spain,66,32,0,0,,,,1.412,0.0,0.0,,
2020-03-02,Spain,83,17,0,0,,,,1.775,0.0,0.0,,
2020-03-03,Spain,114,31,0,0,,,,2.438,0.0,0.0,,
2020-03-04,Spain,151,37,0,0,,,,3.23,0.0,0.0,,
2020-03-05,Spain,200,49,1,1,,,,4.2780000000000005,0.021,0.021,,
2020-03-06,Spain,261,61,3,2,,,,5.582000000000001,0.064,0.043,,
2020-03-07,Spain,374,113,5,2,,,,7.999,0.107,0.043,,
2020-03-08,Spain,430,56,5,0,,,,9.197000000000001,0.107,0.0,,
2020-03-09,Spain,589,159,5,0,,,,12.597999999999999,0.107,0.0,,
2020-03-10,Spain,1204,615,28,23,,,,25.750999999999998,0.599,0.49200000000000005,,
2020-03-11,Spain,1639,435,35,7,,,,35.055,0.7490000000000001,0.15,,
2020-03-12,Spain,2140,501,47,12,,,,45.771,1.005,0.257,,
2020-03-13,Spain,3004,864,84,37,,,,64.25,1.797,0.7909999999999999,,
2020-03-14,Spain,4231,1227,121,37,,,,90.493,2.588,0.7909999999999999,,
2020-03-15,Spain,5753,1522,136,15,,,,123.046,2.909,0.321,,
2020-03-16,Spain,7753,2000,288,152,,,,165.82299999999998,6.16,3.2510000000000003,,
2020-03-17,Spain,9191,1438,309,21,,,,196.579,6.609,0.449,,
2020-03-18,Spain,11178,1987,491,182,,,,239.077,10.502,3.8930000000000002,,
2020-03-19,Spain,13716,2538,598,107,,,,293.36,12.79,2.289,,
2020-03-20,Spain,17147,3431,767,169,,,,366.74300000000005,16.405,3.615,,
2020-03-21,Spain,19980,2833,1002,235,,,,427.336,21.430999999999997,5.026,,
2020-03-22,Spain,24926,4946,1326,324,,,,533.122,28.361,6.93,,
2020-03-23,Spain,28572,3646,1720,394,,,,611.1030000000001,36.788000000000004,8.427,,
2020-03-24,Spain,33089,4517,2182,462,,,,707.7139999999999,46.669,9.881,,
2020-03-25,Spain,39673,6584,2696,514,,,,848.534,57.663000000000004,10.994000000000002,,
2020-03-26,Spain,47610,7937,3434,738,,,,1018.2919999999999,73.447,15.784,,
2020-03-27,Spain,56188,8578,4089,655,,,,1201.759,87.456,14.009,,
2020-03-28,Spain,64059,7871,4858,769,,,,1370.106,103.904,16.448,,
2020-03-29,Spain,72248,8189,5690,832,,,,1545.254,121.699,17.795,,
2020-03-30,Spain,78797,6549,6528,838,,,,1685.325,139.622,17.923,,
2020-03-31,Spain,85195,6398,7340,812,,,,1822.1670000000001,156.989,17.367,,
2020-04-01,Spain,94417,9222,8189,849,,,,2019.408,175.148,18.159000000000002,,
2020-04-02,Spain,102136,7719,9053,864,,,,2184.504,193.627,18.479,,
2020-04-03,Spain,110238,8102,10003,950,,,,2357.791,213.946,20.319000000000003,,
2020-04-04,Spain,117710,7472,10935,932,,,,2517.603,233.88,19.934,,
2020-04-05,Spain,124736,7026,11744,809,,,,2667.877,251.183,17.303,,
2020-04-06,Spain,130759,6023,12418,674,,,,2796.698,265.598,14.415999999999999,,
2020-04-07,Spain,135032,4273,13055,637,,,,2888.09,279.223,13.624,,
2020-04-08,Spain,140510,5478,13798,743,,,,3005.2540000000004,295.11400000000003,15.890999999999998,,
2020-04-09,Spain,146690,6180,14555,757,,,,3137.433,311.305,16.191,,
2020-04-10,Spain,152446,5756,15238,683,,,,3260.5429999999997,325.913,14.607999999999999,,
2020-04-11,Spain,157022,4576,15843,605,,,,3358.4159999999997,338.853,12.94,,
2020-04-12,Spain,161852,4830,16353,510,,,,3461.7209999999995,349.76099999999997,10.908,,
2020-04-13,Spain,166019,4167,16972,619,,,,3550.845,363.0,13.239,930230.0,
2020-04-14,Spain,169496,3477,17489,517,,,,3625.212,374.05800000000005,11.058,,
2020-04-15,Spain,172541,3045,18056,567,,,,3690.3390000000004,386.185,12.127,,
2020-04-16,Spain,177633,5092,18579,523,,,,3799.248,397.371,11.186,,
2020-04-17,Spain,182816,5183,19130,551,,,,3910.103,409.156,11.785,,
2020-04-18,Spain,188068,5252,19478,348,,,,4022.433,416.599,7.443,,
2020-04-19,Spain,191726,3658,20043,565,,,,4100.670999999999,428.68300000000005,12.084000000000001,,
2020-04-20,Spain,195944,4218,20453,410,,,,4190.887,437.45300000000003,8.769,,
2020-04-21,Spain,200210,4266,20852,399,,,,4282.129,445.986,8.533999999999999,,
