Date,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,Active Cases,"Serious,Critical",Total Cases/1M people,Total Death/1M people,Total Tests,Tests/1M people
2020-03-13,1,1,0,0,,,,9.013,0.0,0.0,
2020-03-25,1,0,0,0,,,,9.013,0.0,0.0,
2020-03-26,1,0,0,0,,,,9.013,0.0,0.0,
2020-03-27,1,0,0,0,,,,9.013,0.0,0.0,
2020-03-28,1,0,0,0,,,,9.013,0.0,0.0,
2020-03-29,1,0,0,0,,,,9.013,0.0,0.0,
2020-03-30,1,0,0,0,,,,9.013,0.0,0.0,
2020-03-31,1,0,0,0,,,,9.013,0.0,0.0,
2020-04-01,1,0,0,0,,,,9.013,0.0,0.0,
2020-04-02,2,1,0,0,,,,18.027,0.0,0.0,
2020-04-03,2,0,0,0,,,,18.027,0.0,0.0,
2020-04-04,7,5,0,0,,,,63.093,0.0,0.0,
2020-04-05,7,0,0,0,,,,63.093,0.0,0.0,
2020-04-06,7,0,0,0,,,,63.093,0.0,0.0,
2020-04-07,7,0,0,0,,,,63.093,0.0,0.0,
2020-04-08,8,1,0,0,,,,72.107,0.0,0.0,
2020-04-09,8,0,0,0,,,,72.107,0.0,0.0,
2020-04-10,12,4,0,0,,,,108.16,0.0,0.0,
2020-04-11,12,0,0,0,,,,108.16,0.0,0.0,
2020-04-12,12,0,0,0,,,,108.16,0.0,0.0,
2020-04-13,12,0,0,0,,,,108.16,0.0,0.0,
2020-04-14,12,0,0,0,,,,108.16,0.0,0.0,
2020-04-15,12,0,0,0,,,,108.16,0.0,0.0,
2020-04-16,12,0,0,0,,,,108.16,0.0,0.0,
2020-04-17,12,0,0,0,,,,108.16,0.0,0.0,
2020-04-18,12,0,0,0,,,,108.16,0.0,0.0,
2020-04-19,12,0,0,0,,,,108.16,0.0,0.0,
2020-04-20,12,0,0,0,,,,108.16,0.0,0.0,
2020-04-21,12,0,0,0,,,,108.16,0.0,0.0,
2020-04-22,12,0,0,0,,,,108.16,0.0,0.0,
2020-04-23,13,1,0,0,,,,117.17299999999999,0.0,0.0,
2020-04-24,13,0,0,0,,,,117.17299999999999,0.0,0.0,
2020-04-25,14,1,0,0,,,,126.186,0.0,0.0,
2020-04-26,14,0,0,0,,,,126.186,0.0,0.0,
2020-04-27,14,0,0,0,,,,126.186,0.0,0.0,
2020-04-28,15,1,0,0,,,,135.2,0.0,0.0,
2020-04-29,16,1,0,0,,,,144.213,0.0,0.0,
