Date,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,Active Cases,"Serious,Critical",Total Cases/1M people,Total Death/1M people,Total Tests,Tests/1M people
2020-03-14,1,1,0,0,,,,0.023,0.0,0.0,
2020-03-15,1,0,1,1,,,,0.023,0.023,0.023,
2020-03-16,1,0,1,0,,,,0.023,0.023,0.0,
2020-03-17,1,0,1,0,,,,0.023,0.023,0.0,
2020-03-18,1,0,1,0,,,,0.023,0.023,0.0,
2020-03-19,2,1,1,0,,,,0.046,0.023,0.0,
2020-03-20,2,0,1,0,,,,0.046,0.023,0.0,
2020-03-21,2,0,1,0,,,,0.046,0.023,0.0,
2020-03-22,2,0,1,0,,,,0.046,0.023,0.0,
2020-03-23,2,0,1,0,,,,0.046,0.023,0.0,
2020-03-24,2,0,1,0,,,,0.046,0.023,0.0,
2020-03-25,3,1,1,0,,,,0.068,0.023,0.0,
2020-03-26,3,0,1,0,,,,0.068,0.023,0.0,
2020-03-27,3,0,1,0,,,,0.068,0.023,0.0,
2020-03-28,3,0,1,0,,,,0.068,0.023,0.0,
2020-03-29,5,2,1,0,,,,0.114,0.023,0.0,
2020-03-30,5,0,1,0,,,,0.114,0.023,0.0,
2020-03-31,6,1,2,1,,,,0.13699999999999998,0.046,0.023,
2020-04-01,7,1,2,0,,,,0.16,0.046,0.0,
2020-04-02,7,0,2,0,,,,0.16,0.046,0.0,
2020-04-03,7,0,2,0,,,,0.16,0.046,0.0,
2020-04-04,7,0,2,0,,,,0.16,0.046,0.0,
2020-04-05,10,3,2,0,,,,0.228,0.046,0.0,
2020-04-06,12,2,2,0,,,,0.27399999999999997,0.046,0.0,
2020-04-07,12,0,2,0,,,,0.27399999999999997,0.046,0.0,
2020-04-08,14,2,2,0,,,,0.319,0.046,0.0,
2020-04-09,14,0,2,0,,,,0.319,0.046,0.0,
2020-04-10,14,0,2,0,,,,0.319,0.046,0.0,
2020-04-11,15,1,2,0,,,,0.342,0.046,0.0,
2020-04-12,19,4,2,0,,,,0.433,0.046,0.0,
2020-04-13,19,0,2,0,,,,0.433,0.046,0.0,
2020-04-14,29,10,4,2,,,,0.6609999999999999,0.091,0.046,
2020-04-15,32,3,5,1,,,,0.73,0.114,0.023,
2020-04-16,32,0,5,0,,,,0.73,0.114,0.0,
2020-04-17,32,0,5,0,,,,0.73,0.114,0.0,
2020-04-18,32,0,5,0,,,,0.73,0.114,0.0,
2020-04-19,66,34,10,5,,,,1.505,0.228,0.114,
2020-04-20,66,0,10,0,,,,1.505,0.228,0.0,
2020-04-21,92,26,12,2,,,,2.0980000000000003,0.27399999999999997,0.046,
2020-04-22,107,15,12,0,,,,2.44,0.27399999999999997,0.0,
2020-04-23,140,33,13,1,,,,3.193,0.29600000000000004,0.023,
2020-04-24,162,22,13,0,,,,3.694,0.29600000000000004,0.0,
2020-04-25,174,12,16,3,,,,3.968,0.365,0.068,
2020-04-26,213,39,17,1,,,,4.8580000000000005,0.38799999999999996,0.023,
2020-04-27,237,24,21,4,,,,5.405,0.479,0.091,
2020-04-28,275,38,22,1,,,,6.271,0.502,0.023,
2020-04-29,318,43,25,3,,,,7.252000000000001,0.57,0.068,
