Date,Countries,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,Active Cases,"Serious,Critical",Total Cases/1M people,Total Death/1M people,Total Tests,Tests/1M people,Continent
2020-03-14,Sudan,1,1,0,0,,,,0.023,0.0,0.0,,
2020-03-15,Sudan,1,0,1,1,,,,0.023,0.023,0.023,,
2020-03-16,Sudan,1,0,1,0,,,,0.023,0.023,0.0,,
2020-03-17,Sudan,1,0,1,0,,,,0.023,0.023,0.0,,
2020-03-18,Sudan,1,0,1,0,,,,0.023,0.023,0.0,,
2020-03-19,Sudan,2,1,1,0,,,,0.046,0.023,0.0,,
2020-03-20,Sudan,2,0,1,0,,,,0.046,0.023,0.0,,
2020-03-21,Sudan,2,0,1,0,,,,0.046,0.023,0.0,,
2020-03-22,Sudan,2,0,1,0,,,,0.046,0.023,0.0,,
2020-03-23,Sudan,2,0,1,0,,,,0.046,0.023,0.0,,
2020-03-24,Sudan,2,0,1,0,,,,0.046,0.023,0.0,,
2020-03-25,Sudan,3,1,1,0,,,,0.068,0.023,0.0,,
2020-03-26,Sudan,3,0,1,0,,,,0.068,0.023,0.0,,
2020-03-27,Sudan,3,0,1,0,,,,0.068,0.023,0.0,,
2020-03-28,Sudan,3,0,1,0,,,,0.068,0.023,0.0,,
2020-03-29,Sudan,5,2,1,0,,,,0.114,0.023,0.0,,
2020-03-30,Sudan,5,0,1,0,,,,0.114,0.023,0.0,,
2020-03-31,Sudan,6,1,2,1,,,,0.13699999999999998,0.046,0.023,,
2020-04-01,Sudan,7,1,2,0,,,,0.16,0.046,0.0,,
2020-04-02,Sudan,7,0,2,0,,,,0.16,0.046,0.0,,
2020-04-03,Sudan,7,0,2,0,,,,0.16,0.046,0.0,,
2020-04-04,Sudan,7,0,2,0,,,,0.16,0.046,0.0,,
2020-04-05,Sudan,10,3,2,0,,,,0.228,0.046,0.0,,
2020-04-06,Sudan,12,2,2,0,,,,0.27399999999999997,0.046,0.0,,
2020-04-07,Sudan,12,0,2,0,,,,0.27399999999999997,0.046,0.0,,
2020-04-08,Sudan,14,2,2,0,,,,0.319,0.046,0.0,,
2020-04-09,Sudan,14,0,2,0,,,,0.319,0.046,0.0,,
2020-04-10,Sudan,14,0,2,0,,,,0.319,0.046,0.0,,
2020-04-11,Sudan,15,1,2,0,,,,0.342,0.046,0.0,,
2020-04-12,Sudan,19,4,2,0,,,,0.433,0.046,0.0,,
2020-04-13,Sudan,19,0,2,0,,,,0.433,0.046,0.0,,
2020-04-14,Sudan,29,10,4,2,,,,0.6609999999999999,0.091,0.046,,
2020-04-15,Sudan,32,3,5,1,,,,0.73,0.114,0.023,,
2020-04-16,Sudan,32,0,5,0,,,,0.73,0.114,0.0,,
2020-04-17,Sudan,32,0,5,0,,,,0.73,0.114,0.0,,
2020-04-18,Sudan,32,0,5,0,,,,0.73,0.114,0.0,,
2020-04-19,Sudan,66,34,10,5,,,,1.505,0.228,0.114,,
2020-04-20,Sudan,66,0,10,0,,,,1.505,0.228,0.0,,
2020-04-21,Sudan,92,26,12,2,,,,2.0980000000000003,0.27399999999999997,0.046,,
