Date,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,Active Cases,"Serious,Critical",Total Cases/1M people,Total Death/1M people,Total Tests,Tests/1M people
2020-03-15,1,1,0,0,,,,1.705,0.0,0.0,
2020-03-21,1,0,0,0,,,,1.705,0.0,0.0,
2020-03-22,5,4,0,0,,,,8.523,0.0,0.0,
2020-03-23,5,0,0,0,,,,8.523,0.0,0.0,
2020-03-24,6,1,0,0,,,,10.228,0.0,0.0,
2020-03-25,8,2,0,0,,,,13.637,0.0,0.0,
2020-03-26,8,0,0,0,,,,13.637,0.0,0.0,
2020-03-27,8,0,0,0,,,,13.637,0.0,0.0,
2020-03-28,8,0,0,0,,,,13.637,0.0,0.0,
2020-03-29,8,0,0,0,,,,13.637,0.0,0.0,
2020-03-30,8,0,0,0,,,,13.637,0.0,0.0,
2020-03-31,8,0,0,0,,,,13.637,0.0,0.0,
2020-04-01,10,2,0,0,,,,17.046,0.0,0.0,
2020-04-02,10,0,0,0,,,,17.046,0.0,0.0,
2020-04-03,10,0,0,0,,,,17.046,0.0,0.0,
2020-04-04,10,0,1,1,,,,17.046,1.705,1.705,
2020-04-05,10,0,1,0,,,,17.046,1.705,0.0,
2020-04-06,10,0,1,0,,,,17.046,1.705,0.0,
2020-04-07,10,0,1,0,,,,17.046,1.705,0.0,
2020-04-08,10,0,1,0,,,,17.046,1.705,0.0,
2020-04-09,10,0,1,0,,,,17.046,1.705,0.0,
2020-04-10,10,0,1,0,,,,17.046,1.705,0.0,
2020-04-11,10,0,1,0,,,,17.046,1.705,0.0,
2020-04-12,10,0,1,0,,,,17.046,1.705,0.0,
2020-04-13,10,0,1,0,,,,17.046,1.705,0.0,
2020-04-14,10,0,1,0,,,,17.046,1.705,0.0,
2020-04-15,10,0,1,0,,,,17.046,1.705,0.0,
2020-04-16,10,0,1,0,,,,17.046,1.705,0.0,
2020-04-17,10,0,1,0,,,,17.046,1.705,0.0,
2020-04-18,10,0,1,0,,,,17.046,1.705,0.0,
2020-04-19,10,0,1,0,,,,17.046,1.705,0.0,
2020-04-20,10,0,1,0,,,,17.046,1.705,0.0,
2020-04-21,10,0,1,0,,,,17.046,1.705,0.0,
2020-04-22,10,0,1,0,,,,17.046,1.705,0.0,
2020-04-23,10,0,1,0,,,,17.046,1.705,0.0,
2020-04-24,10,0,1,0,,,,17.046,1.705,0.0,
2020-04-25,10,0,1,0,,,,17.046,1.705,0.0,
2020-04-26,10,0,1,0,,,,17.046,1.705,0.0,
2020-04-27,10,0,1,0,,,,17.046,1.705,0.0,
2020-04-28,10,0,1,0,,,,17.046,1.705,0.0,
2020-04-29,10,0,1,0,,,,17.046,1.705,0.0,
