Date,Countries,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,Active Cases,"Serious,Critical",Total Cases/1M people,Total Death/1M people,Total Tests,Tests/1M people,Continent
2020-03-15,Suriname,1,1,0,0,,,,1.705,0.0,0.0,,
2020-03-21,Suriname,1,0,0,0,,,,1.705,0.0,0.0,,
2020-03-22,Suriname,5,4,0,0,,,,8.523,0.0,0.0,,
2020-03-23,Suriname,5,0,0,0,,,,8.523,0.0,0.0,,
2020-03-24,Suriname,6,1,0,0,,,,10.228,0.0,0.0,,
2020-03-25,Suriname,8,2,0,0,,,,13.637,0.0,0.0,,
2020-03-26,Suriname,8,0,0,0,,,,13.637,0.0,0.0,,
2020-03-27,Suriname,8,0,0,0,,,,13.637,0.0,0.0,,
2020-03-28,Suriname,8,0,0,0,,,,13.637,0.0,0.0,,
2020-03-29,Suriname,8,0,0,0,,,,13.637,0.0,0.0,,
2020-03-30,Suriname,8,0,0,0,,,,13.637,0.0,0.0,,
2020-03-31,Suriname,8,0,0,0,,,,13.637,0.0,0.0,,
2020-04-01,Suriname,10,2,0,0,,,,17.046,0.0,0.0,,
2020-04-02,Suriname,10,0,0,0,,,,17.046,0.0,0.0,,
2020-04-03,Suriname,10,0,0,0,,,,17.046,0.0,0.0,,
2020-04-04,Suriname,10,0,1,1,,,,17.046,1.705,1.705,,
2020-04-05,Suriname,10,0,1,0,,,,17.046,1.705,0.0,,
2020-04-06,Suriname,10,0,1,0,,,,17.046,1.705,0.0,,
2020-04-07,Suriname,10,0,1,0,,,,17.046,1.705,0.0,,
2020-04-08,Suriname,10,0,1,0,,,,17.046,1.705,0.0,,
2020-04-09,Suriname,10,0,1,0,,,,17.046,1.705,0.0,,
2020-04-10,Suriname,10,0,1,0,,,,17.046,1.705,0.0,,
2020-04-11,Suriname,10,0,1,0,,,,17.046,1.705,0.0,,
2020-04-12,Suriname,10,0,1,0,,,,17.046,1.705,0.0,,
2020-04-13,Suriname,10,0,1,0,,,,17.046,1.705,0.0,,
2020-04-14,Suriname,10,0,1,0,,,,17.046,1.705,0.0,,
2020-04-15,Suriname,10,0,1,0,,,,17.046,1.705,0.0,,
2020-04-16,Suriname,10,0,1,0,,,,17.046,1.705,0.0,,
2020-04-17,Suriname,10,0,1,0,,,,17.046,1.705,0.0,,
2020-04-18,Suriname,10,0,1,0,,,,17.046,1.705,0.0,,
2020-04-19,Suriname,10,0,1,0,,,,17.046,1.705,0.0,,
2020-04-20,Suriname,10,0,1,0,,,,17.046,1.705,0.0,,
2020-04-21,Suriname,10,0,1,0,,,,17.046,1.705,0.0,,
