Date,Countries,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,Active Cases,"Serious,Critical",Total Cases/1M people,Total Death/1M people,Total Tests,Tests/1M people,Continent
2020-03-15,Swaziland,1,1,0,0,,,,0.862,0.0,0.0,,
2020-03-16,Swaziland,1,0,0,0,,,,0.862,0.0,0.0,,
2020-03-17,Swaziland,1,0,0,0,,,,0.862,0.0,0.0,,
2020-03-18,Swaziland,1,0,0,0,,,,0.862,0.0,0.0,,
2020-03-19,Swaziland,1,0,0,0,,,,0.862,0.0,0.0,,
2020-03-20,Swaziland,1,0,0,0,,,,0.862,0.0,0.0,,
2020-03-21,Swaziland,1,0,0,0,,,,0.862,0.0,0.0,,
2020-03-22,Swaziland,1,0,0,0,,,,0.862,0.0,0.0,,
2020-03-23,Swaziland,4,3,0,0,,,,3.448,0.0,0.0,,
2020-03-24,Swaziland,4,0,0,0,,,,3.448,0.0,0.0,,
2020-03-25,Swaziland,4,0,0,0,,,,3.448,0.0,0.0,,
2020-03-26,Swaziland,4,0,0,0,,,,3.448,0.0,0.0,,
2020-03-27,Swaziland,6,2,0,0,,,,5.172000000000001,0.0,0.0,,
2020-03-28,Swaziland,9,3,0,0,,,,7.757999999999999,0.0,0.0,,
2020-03-29,Swaziland,9,0,0,0,,,,7.757999999999999,0.0,0.0,,
2020-03-30,Swaziland,9,0,0,0,,,,7.757999999999999,0.0,0.0,,
2020-03-31,Swaziland,9,0,0,0,,,,7.757999999999999,0.0,0.0,,
2020-04-01,Swaziland,9,0,0,0,,,,7.757999999999999,0.0,0.0,,
2020-04-02,Swaziland,9,0,0,0,,,,7.757999999999999,0.0,0.0,,
2020-04-03,Swaziland,9,0,0,0,,,,7.757999999999999,0.0,0.0,,
2020-04-04,Swaziland,9,0,0,0,,,,7.757999999999999,0.0,0.0,,
2020-04-05,Swaziland,9,0,0,0,,,,7.757999999999999,0.0,0.0,,
2020-04-06,Swaziland,9,0,0,0,,,,7.757999999999999,0.0,0.0,,
2020-04-07,Swaziland,10,1,0,0,,,,8.619,0.0,0.0,,
2020-04-08,Swaziland,10,0,0,0,,,,8.619,0.0,0.0,,
2020-04-09,Swaziland,12,2,0,0,,,,10.343,0.0,0.0,,
2020-04-10,Swaziland,12,0,0,0,,,,10.343,0.0,0.0,,
2020-04-11,Swaziland,12,0,0,0,,,,10.343,0.0,0.0,,
2020-04-12,Swaziland,14,2,0,0,,,,12.067,0.0,0.0,,
2020-04-13,Swaziland,14,0,0,0,,,,12.067,0.0,0.0,,
2020-04-14,Swaziland,15,1,0,0,,,,12.929,0.0,0.0,,
2020-04-15,Swaziland,15,0,0,0,,,,12.929,0.0,0.0,,
2020-04-16,Swaziland,16,1,0,0,,,,13.790999999999999,0.0,0.0,,
2020-04-17,Swaziland,16,0,0,0,,,,13.790999999999999,0.0,0.0,,
2020-04-18,Swaziland,19,3,1,1,,,,16.377,0.862,0.862,,
2020-04-19,Swaziland,19,0,1,0,,,,16.377,0.862,0.0,,
2020-04-20,Swaziland,22,3,1,0,,,,18.963,0.862,0.0,,
2020-04-21,Swaziland,24,2,1,0,,,,20.686999999999998,0.862,0.0,,
