Date,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,Active Cases,"Serious,Critical",Total Cases/1M people,Total Death/1M people,Total Tests,Tests/1M people
2019-12-31,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-01,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-02,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-03,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-04,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-05,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-06,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-07,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-08,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-09,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-10,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-11,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-12,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-13,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-14,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-15,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-16,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-17,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-18,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-19,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-20,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-21,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-22,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-23,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-24,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-25,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-26,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-27,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-28,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-29,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-30,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-31,0,0,0,0,,,,0.0,0.0,0.0,
2020-02-01,1,1,0,0,,,,0.099,0.0,0.0,
2020-02-02,1,0,0,0,,,,0.099,0.0,0.0,
2020-02-03,1,0,0,0,,,,0.099,0.0,0.0,
2020-02-04,1,0,0,0,,,,0.099,0.0,0.0,
2020-02-05,1,0,0,0,,,,0.099,0.0,0.0,
2020-02-06,1,0,0,0,,,,0.099,0.0,0.0,
2020-02-07,1,0,0,0,,,,0.099,0.0,0.0,
2020-02-08,1,0,0,0,,,,0.099,0.0,0.0,
2020-02-09,1,0,0,0,,,,0.099,0.0,0.0,
2020-02-10,1,0,0,0,,,,0.099,0.0,0.0,
2020-02-11,1,0,0,0,,,,0.099,0.0,0.0,
2020-02-12,1,0,0,0,,,,0.099,0.0,0.0,
2020-02-13,1,0,0,0,,,,0.099,0.0,0.0,
2020-02-14,1,0,0,0,,,,0.099,0.0,0.0,
2020-02-15,1,0,0,0,,,,0.099,0.0,0.0,
2020-02-16,1,0,0,0,,,,0.099,0.0,0.0,
2020-02-17,1,0,0,0,,,,0.099,0.0,0.0,
2020-02-18,1,0,0,0,,,,0.099,0.0,0.0,
2020-02-19,1,0,0,0,,,,0.099,0.0,0.0,
2020-02-20,1,0,0,0,,,,0.099,0.0,0.0,
2020-02-21,1,0,0,0,,,,0.099,0.0,0.0,
2020-02-22,1,0,0,0,,,,0.099,0.0,0.0,
2020-02-23,1,0,0,0,,,,0.099,0.0,0.0,
2020-02-24,1,0,0,0,,,,0.099,0.0,0.0,
2020-02-25,1,0,0,0,,,,0.099,0.0,0.0,
2020-02-26,1,0,0,0,,,,0.099,0.0,0.0,
2020-02-27,2,1,0,0,,,,0.198,0.0,0.0,
2020-02-28,7,5,0,0,,,,0.693,0.0,0.0,
2020-02-29,12,5,0,0,,,,1.188,0.0,0.0,
2020-03-01,13,1,0,0,,,,1.287,0.0,0.0,1400.0
2020-03-02,14,1,0,0,,,,1.386,0.0,0.0,
2020-03-03,15,1,0,0,,,,1.485,0.0,0.0,
2020-03-04,24,9,0,0,,,,2.376,0.0,0.0,
2020-03-05,35,11,0,0,,,,3.466,0.0,0.0,
2020-03-06,61,26,0,0,,,,6.04,0.0,0.0,
2020-03-07,137,76,0,0,,,,13.565,0.0,0.0,
2020-03-08,161,24,0,0,,,,15.942,0.0,0.0,5700.0
2020-03-09,203,42,0,0,,,,20.1,0.0,0.0,
2020-03-10,248,45,0,0,,,,24.555999999999997,0.0,0.0,
2020-03-11,326,78,0,0,,,,32.28,0.0,0.0,
2020-03-12,462,136,1,1,,,,45.746,0.099,0.099,
2020-03-13,620,158,1,0,,,,61.391000000000005,0.099,0.0,
2020-03-14,775,155,1,0,,,,76.738,0.099,0.0,
2020-03-15,924,149,1,0,,,,91.492,0.099,0.0,14700.0
2020-03-16,1032,108,3,2,,,,102.186,0.297,0.198,
2020-03-17,1121,89,7,4,,,,110.99799999999999,0.693,0.396,
2020-03-18,1167,46,8,1,,,,115.553,0.792,0.099,
2020-03-19,1301,134,10,2,,,,128.821,0.99,0.198,
2020-03-20,1423,122,10,0,,,,140.901,0.99,0.0,
2020-03-21,1623,200,16,6,,,,160.705,1.584,0.594,
2020-03-22,1746,123,20,4,,,,172.88400000000001,1.98,0.396,25000.0
2020-03-23,1906,160,21,1,,,,188.727,2.079,0.099,
2020-03-24,2016,110,25,4,,,,199.618,2.475,0.396,
2020-03-25,2272,256,36,11,,,,224.967,3.565,1.089,
2020-03-26,2510,238,42,6,,,,248.533,4.159,0.594,
2020-03-27,2806,296,66,24,,,,277.842,6.535,2.376,
2020-03-28,3046,240,92,26,,,,301.606,9.11,2.574,
2020-03-29,3447,401,102,10,,,,341.31199999999995,10.1,0.99,37300.0
