Date,Countries,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,Active Cases,"Serious,Critical",Total Cases/1M people,Total Death/1M people,Total Tests,Tests/1M people,Continent
2019-12-31,Switzerland,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-01,Switzerland,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-02,Switzerland,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-03,Switzerland,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-04,Switzerland,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-05,Switzerland,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-06,Switzerland,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-07,Switzerland,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-08,Switzerland,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-09,Switzerland,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-10,Switzerland,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-11,Switzerland,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-12,Switzerland,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-13,Switzerland,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-14,Switzerland,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-15,Switzerland,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-16,Switzerland,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-17,Switzerland,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-18,Switzerland,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-19,Switzerland,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-20,Switzerland,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-21,Switzerland,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-22,Switzerland,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-23,Switzerland,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-24,Switzerland,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-25,Switzerland,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-26,Switzerland,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-27,Switzerland,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-28,Switzerland,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-29,Switzerland,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-30,Switzerland,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-31,Switzerland,0,0,0,0,,,,0.0,0.0,0.0,,
2020-02-01,Switzerland,0,0,0,0,,,,0.0,0.0,0.0,,
2020-02-02,Switzerland,0,0,0,0,,,,0.0,0.0,0.0,,
2020-02-03,Switzerland,0,0,0,0,,,,0.0,0.0,0.0,,
2020-02-04,Switzerland,0,0,0,0,,,,0.0,0.0,0.0,,
2020-02-05,Switzerland,0,0,0,0,,,,0.0,0.0,0.0,,
2020-02-06,Switzerland,0,0,0,0,,,,0.0,0.0,0.0,,
2020-02-07,Switzerland,0,0,0,0,,,,0.0,0.0,0.0,,
2020-02-08,Switzerland,0,0,0,0,,,,0.0,0.0,0.0,,
2020-02-09,Switzerland,0,0,0,0,,,,0.0,0.0,0.0,,
2020-02-10,Switzerland,0,0,0,0,,,,0.0,0.0,0.0,,
2020-02-11,Switzerland,0,0,0,0,,,,0.0,0.0,0.0,,
2020-02-12,Switzerland,0,0,0,0,,,,0.0,0.0,0.0,,
2020-02-13,Switzerland,0,0,0,0,,,,0.0,0.0,0.0,,
2020-02-14,Switzerland,0,0,0,0,,,,0.0,0.0,0.0,,
2020-02-15,Switzerland,0,0,0,0,,,,0.0,0.0,0.0,,
2020-02-16,Switzerland,0,0,0,0,,,,0.0,0.0,0.0,,
2020-02-17,Switzerland,0,0,0,0,,,,0.0,0.0,0.0,,
2020-02-18,Switzerland,0,0,0,0,,,,0.0,0.0,0.0,,
2020-02-19,Switzerland,0,0,0,0,,,,0.0,0.0,0.0,,
2020-02-20,Switzerland,0,0,0,0,,,,0.0,0.0,0.0,,
2020-02-21,Switzerland,0,0,0,0,,,,0.0,0.0,0.0,,
2020-02-22,Switzerland,0,0,0,0,,,,0.0,0.0,0.0,,
2020-02-23,Switzerland,0,0,0,0,,,,0.0,0.0,0.0,,
2020-02-24,Switzerland,0,0,0,0,,,,0.0,0.0,0.0,,
2020-02-25,Switzerland,0,0,0,0,,,,0.0,0.0,0.0,,
2020-02-26,Switzerland,1,1,0,0,,,,0.11599999999999999,0.0,0.0,,
2020-02-27,Switzerland,1,0,0,0,,,,0.11599999999999999,0.0,0.0,,
2020-02-28,Switzerland,8,7,0,0,,,,0.924,0.0,0.0,,
2020-02-29,Switzerland,12,4,0,0,,,,1.3869999999999998,0.0,0.0,,
2020-03-01,Switzerland,18,6,0,0,,,,2.08,0.0,0.0,,
2020-03-02,Switzerland,24,6,0,0,,,,2.773,0.0,0.0,,
2020-03-03,Switzerland,30,6,0,0,,,,3.466,0.0,0.0,,
2020-03-04,Switzerland,37,7,0,0,,,,4.275,0.0,0.0,,
2020-03-05,Switzerland,57,20,0,0,,,,6.586,0.0,0.0,,
2020-03-06,Switzerland,87,30,1,1,,,,10.052,0.11599999999999999,0.11599999999999999,,
2020-03-07,Switzerland,209,122,1,0,,,,24.149,0.11599999999999999,0.0,,
2020-03-08,Switzerland,264,55,1,0,,,,30.504,0.11599999999999999,0.0,,
2020-03-09,Switzerland,332,68,2,1,,,,38.361,0.231,0.11599999999999999,,
2020-03-10,Switzerland,374,42,2,0,,,,43.214,0.231,0.0,,
