Date,Countries,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,Active Cases,"Serious,Critical",Total Cases/1M people,Total Death/1M people,Total Tests,Tests/1M people,Continent
2020-03-23,Syria,1,1,0,0,,,,0.057,0.0,0.0,,
2020-03-24,Syria,1,0,0,0,,,,0.057,0.0,0.0,,
2020-03-25,Syria,1,0,0,0,,,,0.057,0.0,0.0,,
2020-03-26,Syria,1,0,0,0,,,,0.057,0.0,0.0,,
2020-03-27,Syria,5,4,0,0,,,,0.28600000000000003,0.0,0.0,,
2020-03-28,Syria,5,0,0,0,,,,0.28600000000000003,0.0,0.0,,
2020-03-29,Syria,5,0,0,0,,,,0.28600000000000003,0.0,0.0,,
2020-03-30,Syria,9,4,1,1,,,,0.514,0.057,0.057,,
2020-03-31,Syria,10,1,2,1,,,,0.5710000000000001,0.114,0.057,,
2020-04-01,Syria,10,0,2,0,,,,0.5710000000000001,0.114,0.0,,
2020-04-02,Syria,10,0,2,0,,,,0.5710000000000001,0.114,0.0,,
2020-04-03,Syria,16,6,2,0,,,,0.914,0.114,0.0,,
2020-04-04,Syria,16,0,2,0,,,,0.914,0.114,0.0,,
2020-04-05,Syria,16,0,2,0,,,,0.914,0.114,0.0,,
2020-04-06,Syria,19,3,2,0,,,,1.0859999999999999,0.114,0.0,,
2020-04-07,Syria,19,0,2,0,,,,1.0859999999999999,0.114,0.0,,
2020-04-08,Syria,19,0,2,0,,,,1.0859999999999999,0.114,0.0,,
2020-04-09,Syria,19,0,2,0,,,,1.0859999999999999,0.114,0.0,,
2020-04-10,Syria,19,0,2,0,,,,1.0859999999999999,0.114,0.0,,
2020-04-11,Syria,19,0,2,0,,,,1.0859999999999999,0.114,0.0,,
2020-04-12,Syria,25,6,2,0,,,,1.429,0.114,0.0,,
2020-04-13,Syria,25,0,2,0,,,,1.429,0.114,0.0,,
2020-04-14,Syria,25,0,2,0,,,,1.429,0.114,0.0,,
2020-04-15,Syria,29,4,2,0,,,,1.6569999999999998,0.114,0.0,,
2020-04-16,Syria,33,4,2,0,,,,1.886,0.114,0.0,,
2020-04-17,Syria,33,0,2,0,,,,1.886,0.114,0.0,,
2020-04-18,Syria,38,5,2,0,,,,2.171,0.114,0.0,,
2020-04-19,Syria,38,0,2,0,,,,2.171,0.114,0.0,,
2020-04-20,Syria,39,1,3,1,,,,2.228,0.171,0.057,,
2020-04-21,Syria,39,0,3,0,,,,2.228,0.171,0.0,,
