Date,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,Active Cases,"Serious,Critical",Total Cases/1M people,Total Death/1M people,Total Tests,Tests/1M people
2019-12-31,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-01,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-02,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-03,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-04,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-05,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-06,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-07,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-08,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-09,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-10,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-11,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-12,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-13,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-14,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-15,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-16,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-17,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-18,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-19,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-20,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-21,1,1,0,0,,,,0.042,0.0,0.0,
2020-01-22,1,0,0,0,,,,0.042,0.0,0.0,
2020-01-23,1,0,0,0,,,,0.042,0.0,0.0,
2020-01-24,1,0,0,0,,,,0.042,0.0,0.0,
2020-01-25,3,2,0,0,,,,0.126,0.0,0.0,
2020-01-26,3,0,0,0,,,,0.126,0.0,0.0,
2020-01-27,5,2,0,0,,,,0.21,0.0,0.0,
2020-01-28,7,2,0,0,,,,0.294,0.0,0.0,
2020-01-29,8,1,0,0,,,,0.336,0.0,0.0,
2020-01-30,8,0,0,0,,,,0.336,0.0,0.0,
2020-01-31,9,1,0,0,,,,0.37799999999999995,0.0,0.0,
2020-02-01,10,1,0,0,,,,0.42,0.0,0.0,
2020-02-02,10,0,0,0,,,,0.42,0.0,0.0,
2020-02-03,10,0,0,0,,,,0.42,0.0,0.0,
2020-02-04,10,0,0,0,,,,0.42,0.0,0.0,
2020-02-05,11,1,0,0,,,,0.462,0.0,0.0,
2020-02-06,11,0,0,0,,,,0.462,0.0,0.0,
2020-02-07,16,5,0,0,,,,0.672,0.0,0.0,
2020-02-08,17,1,0,0,,,,0.7140000000000001,0.0,0.0,
2020-02-09,18,1,0,0,,,,0.7559999999999999,0.0,0.0,
2020-02-10,18,0,0,0,,,,0.7559999999999999,0.0,0.0,
2020-02-11,18,0,0,0,,,,0.7559999999999999,0.0,0.0,
2020-02-12,18,0,0,0,,,,0.7559999999999999,0.0,0.0,
2020-02-13,18,0,0,0,,,,0.7559999999999999,0.0,0.0,
2020-02-14,18,0,0,0,,,,0.7559999999999999,0.0,0.0,
2020-02-15,18,0,0,0,,,,0.7559999999999999,0.0,0.0,
2020-02-16,18,0,0,0,,,,0.7559999999999999,0.0,0.0,
2020-02-17,20,2,1,1,,,,0.84,0.042,0.042,
2020-02-18,22,2,1,0,,,,0.924,0.042,0.0,
2020-02-19,22,0,1,0,,,,0.924,0.042,0.0,
2020-02-20,24,2,1,0,,,,1.008,0.042,0.0,
2020-02-21,24,0,1,0,,,,1.008,0.042,0.0,
2020-02-22,26,2,1,0,,,,1.092,0.042,0.0,
2020-02-23,26,0,1,0,,,,1.092,0.042,0.0,
2020-02-24,28,2,1,0,,,,1.176,0.042,0.0,
2020-02-25,30,2,1,0,,,,1.26,0.042,0.0,
2020-02-26,31,1,1,0,,,,1.3019999999999998,0.042,0.0,
2020-02-27,32,1,1,0,,,,1.344,0.042,0.0,
2020-02-28,34,2,1,0,,,,1.4280000000000002,0.042,0.0,
2020-02-29,39,5,1,0,,,,1.6380000000000001,0.042,0.0,
2020-03-01,40,1,1,0,,,,1.679,0.042,0.0,
2020-03-02,40,0,1,0,,,,1.679,0.042,0.0,
2020-03-03,41,1,1,0,,,,1.7209999999999999,0.042,0.0,
2020-03-04,42,1,1,0,,,,1.7630000000000001,0.042,0.0,
2020-03-06,44,2,1,0,,,,1.847,0.042,0.0,13555.0
2020-03-07,45,1,1,0,,,,1.889,0.042,0.0,13855.0
2020-03-08,45,0,1,0,,,,1.889,0.042,0.0,14154.0
2020-03-09,45,0,1,0,,,,1.889,0.042,0.0,14635.0
2020-03-10,0,0,0,0,,,,,,,14970.0
2020-03-11,48,3,1,0,,,,2.015,0.042,0.0,15413.0
2020-03-12,48,0,1,0,,,,2.015,0.042,0.0,16089.0
2020-03-13,49,1,1,0,,,,2.057,0.042,0.0,16530.0
2020-03-14,53,4,1,0,,,,2.225,0.042,0.0,16911.0
2020-03-15,59,6,1,0,,,,2.477,0.042,0.0,17219.0
2020-03-16,59,0,1,0,,,,2.477,0.042,0.0,17935.0
2020-03-17,67,8,1,0,,,,2.813,0.042,0.0,18812.0
2020-03-18,77,10,1,0,,,,3.233,0.042,0.0,20014.0
2020-03-19,108,31,1,0,,,,4.535,0.042,0.0,21376.0
2020-03-20,108,0,1,0,,,,4.535,0.042,0.0,22743.0
2020-03-21,135,27,2,1,,,,5.667999999999999,0.084,0.042,23805.0
2020-03-22,153,18,2,0,,,,6.4239999999999995,0.084,0.0,24609.0
2020-03-23,165,12,2,0,,,,6.928,0.084,0.0,25746.0
2020-03-24,195,30,2,0,,,,8.187999999999999,0.084,0.0,26660.0
2020-03-25,216,21,2,0,,,,9.068999999999999,0.084,0.0,27532.0
2020-03-26,235,19,2,0,,,,9.867,0.084,0.0,28507.0
2020-03-27,252,17,2,0,,,,10.581,0.084,0.0,29389.0
