Date,Countries,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,Active Cases,"Serious,Critical",Total Cases/1M people,Total Death/1M people,Total Tests,Tests/1M people,Continent
2019-12-31,Taiwan,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-01,Taiwan,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-02,Taiwan,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-03,Taiwan,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-04,Taiwan,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-05,Taiwan,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-06,Taiwan,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-07,Taiwan,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-08,Taiwan,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-09,Taiwan,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-10,Taiwan,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-11,Taiwan,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-12,Taiwan,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-13,Taiwan,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-14,Taiwan,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-15,Taiwan,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-16,Taiwan,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-17,Taiwan,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-18,Taiwan,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-19,Taiwan,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-20,Taiwan,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-21,Taiwan,1,1,0,0,,,,0.042,0.0,0.0,,
2020-01-22,Taiwan,1,0,0,0,,,,0.042,0.0,0.0,,
2020-01-23,Taiwan,1,0,0,0,,,,0.042,0.0,0.0,,
2020-01-24,Taiwan,1,0,0,0,,,,0.042,0.0,0.0,,
2020-01-25,Taiwan,3,2,0,0,,,,0.126,0.0,0.0,,
2020-01-26,Taiwan,3,0,0,0,,,,0.126,0.0,0.0,,
2020-01-27,Taiwan,5,2,0,0,,,,0.21,0.0,0.0,,
2020-01-28,Taiwan,7,2,0,0,,,,0.294,0.0,0.0,,
2020-01-29,Taiwan,8,1,0,0,,,,0.336,0.0,0.0,,
2020-01-30,Taiwan,8,0,0,0,,,,0.336,0.0,0.0,,
2020-01-31,Taiwan,9,1,0,0,,,,0.37799999999999995,0.0,0.0,,
2020-02-01,Taiwan,10,1,0,0,,,,0.42,0.0,0.0,,
2020-02-02,Taiwan,10,0,0,0,,,,0.42,0.0,0.0,,
2020-02-03,Taiwan,10,0,0,0,,,,0.42,0.0,0.0,,
2020-02-04,Taiwan,10,0,0,0,,,,0.42,0.0,0.0,,
2020-02-05,Taiwan,11,1,0,0,,,,0.462,0.0,0.0,,
2020-02-06,Taiwan,11,0,0,0,,,,0.462,0.0,0.0,,
2020-02-07,Taiwan,16,5,0,0,,,,0.672,0.0,0.0,,
2020-02-08,Taiwan,17,1,0,0,,,,0.7140000000000001,0.0,0.0,,
2020-02-09,Taiwan,18,1,0,0,,,,0.7559999999999999,0.0,0.0,,
2020-02-10,Taiwan,18,0,0,0,,,,0.7559999999999999,0.0,0.0,,
2020-02-11,Taiwan,18,0,0,0,,,,0.7559999999999999,0.0,0.0,,
2020-02-12,Taiwan,18,0,0,0,,,,0.7559999999999999,0.0,0.0,,
2020-02-13,Taiwan,18,0,0,0,,,,0.7559999999999999,0.0,0.0,,
2020-02-14,Taiwan,18,0,0,0,,,,0.7559999999999999,0.0,0.0,,
2020-02-15,Taiwan,18,0,0,0,,,,0.7559999999999999,0.0,0.0,,
2020-02-16,Taiwan,18,0,0,0,,,,0.7559999999999999,0.0,0.0,,
2020-02-17,Taiwan,20,2,1,1,,,,0.84,0.042,0.042,,
2020-02-18,Taiwan,22,2,1,0,,,,0.924,0.042,0.0,,
2020-02-19,Taiwan,22,0,1,0,,,,0.924,0.042,0.0,,
2020-02-20,Taiwan,24,2,1,0,,,,1.008,0.042,0.0,,
2020-02-21,Taiwan,24,0,1,0,,,,1.008,0.042,0.0,,
2020-02-22,Taiwan,26,2,1,0,,,,1.092,0.042,0.0,,
2020-02-23,Taiwan,26,0,1,0,,,,1.092,0.042,0.0,,
2020-02-24,Taiwan,28,2,1,0,,,,1.176,0.042,0.0,,
2020-02-25,Taiwan,30,2,1,0,,,,1.26,0.042,0.0,,
2020-02-26,Taiwan,31,1,1,0,,,,1.3019999999999998,0.042,0.0,,
2020-02-27,Taiwan,32,1,1,0,,,,1.344,0.042,0.0,,
2020-02-28,Taiwan,34,2,1,0,,,,1.4280000000000002,0.042,0.0,,
2020-02-29,Taiwan,39,5,1,0,,,,1.6380000000000001,0.042,0.0,,
2020-03-01,Taiwan,40,1,1,0,,,,1.679,0.042,0.0,,
2020-03-02,Taiwan,40,0,1,0,,,,1.679,0.042,0.0,,
2020-03-03,Taiwan,41,1,1,0,,,,1.7209999999999999,0.042,0.0,,
2020-03-04,Taiwan,42,1,1,0,,,,1.7630000000000001,0.042,0.0,,
2020-03-06,Taiwan,44,2,1,0,,,,1.847,0.042,0.0,13555.0,
2020-03-07,Taiwan,45,1,1,0,,,,1.889,0.042,0.0,13855.0,
2020-03-08,Taiwan,45,0,1,0,,,,1.889,0.042,0.0,14154.0,
2020-03-09,Taiwan,45,0,1,0,,,,1.889,0.042,0.0,14635.0,
2020-03-10,Taiwan,0,0,0,0,,,,,,,14970.0,
2020-03-11,Taiwan,48,3,1,0,,,,2.015,0.042,0.0,15413.0,
2020-03-12,Taiwan,48,0,1,0,,,,2.015,0.042,0.0,16089.0,
2020-03-13,Taiwan,49,1,1,0,,,,2.057,0.042,0.0,16530.0,
2020-03-14,Taiwan,53,4,1,0,,,,2.225,0.042,0.0,16911.0,
2020-03-15,Taiwan,59,6,1,0,,,,2.477,0.042,0.0,17219.0,
2020-03-16,Taiwan,59,0,1,0,,,,2.477,0.042,0.0,17935.0,
2020-03-17,Taiwan,67,8,1,0,,,,2.813,0.042,0.0,18812.0,
2020-03-18,Taiwan,77,10,1,0,,,,3.233,0.042,0.0,20014.0,
2020-03-19,Taiwan,108,31,1,0,,,,4.535,0.042,0.0,21376.0,
2020-03-20,Taiwan,108,0,1,0,,,,4.535,0.042,0.0,22743.0,
2020-03-21,Taiwan,135,27,2,1,,,,5.667999999999999,0.084,0.042,23805.0,
2020-03-22,Taiwan,153,18,2,0,,,,6.4239999999999995,0.084,0.0,24609.0,
2020-03-23,Taiwan,165,12,2,0,,,,6.928,0.084,0.0,25746.0,
2020-03-24,Taiwan,195,30,2,0,,,,8.187999999999999,0.084,0.0,26660.0,
2020-03-25,Taiwan,216,21,2,0,,,,9.068999999999999,0.084,0.0,27532.0,
2020-03-26,Taiwan,235,19,2,0,,,,9.867,0.084,0.0,28507.0,
2020-03-27,Taiwan,252,17,2,0,,,,10.581,0.084,0.0,29389.0,
2020-03-28,Taiwan,267,15,2,0,,,,11.210999999999999,0.084,0.0,29915.0,
2020-03-29,Taiwan,283,16,2,0,,,,11.882,0.084,0.0,30777.0,
2020-03-30,Taiwan,306,23,5,3,,,,12.847999999999999,0.21,0.126,31800.0,
2020-03-31,Taiwan,306,0,5,0,,,,12.847999999999999,0.21,0.0,32726.0,
