Date,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,Active Cases,"Serious,Critical",Total Cases/1M people,Total Death/1M people,Total Tests,Tests/1M people
2020-03-17,1,1,0,0,,,,0.017,0.0,0.0,
2020-03-18,1,0,0,0,,,,0.017,0.0,0.0,
2020-03-19,3,2,0,0,,,,0.05,0.0,0.0,
2020-03-20,3,0,0,0,,,,0.05,0.0,0.0,
2020-03-21,3,0,0,0,,,,0.05,0.0,0.0,
2020-03-22,6,3,0,0,,,,0.1,0.0,0.0,
2020-03-23,12,6,0,0,,,,0.201,0.0,0.0,
2020-03-24,12,0,0,0,,,,0.201,0.0,0.0,
2020-03-25,12,0,0,0,,,,0.201,0.0,0.0,
2020-03-26,12,0,0,0,,,,0.201,0.0,0.0,
2020-03-27,13,1,0,0,,,,0.218,0.0,0.0,
2020-03-28,13,0,0,0,,,,0.218,0.0,0.0,
2020-03-29,13,0,1,1,,,,0.218,0.017,0.017,
2020-03-30,14,1,1,0,,,,0.23399999999999999,0.017,0.0,
2020-03-31,19,5,1,0,,,,0.318,0.017,0.0,
2020-04-01,19,0,1,0,,,,0.318,0.017,0.0,
2020-04-02,20,1,1,0,,,,0.335,0.017,0.0,
2020-04-03,21,1,1,0,,,,0.35200000000000004,0.017,0.0,
2020-04-04,21,0,1,0,,,,0.35200000000000004,0.017,0.0,
2020-04-05,21,0,1,0,,,,0.35200000000000004,0.017,0.0,
2020-04-06,22,1,1,0,,,,0.368,0.017,0.0,
2020-04-07,24,2,1,0,,,,0.402,0.017,0.0,
2020-04-08,24,0,1,0,,,,0.402,0.017,0.0,
2020-04-09,25,1,1,0,,,,0.419,0.017,0.0,
2020-04-10,25,0,1,0,,,,0.419,0.017,0.0,
2020-04-11,32,7,3,2,,,,0.536,0.05,0.033,
2020-04-12,32,0,3,0,,,,0.536,0.05,0.0,
2020-04-13,32,0,3,0,,,,0.536,0.05,0.0,
2020-04-14,46,14,3,0,,,,0.77,0.05,0.0,
2020-04-15,53,7,3,0,,,,0.887,0.05,0.0,
2020-04-16,88,35,4,1,,,,1.473,0.067,0.017,
2020-04-17,94,6,4,0,,,,1.574,0.067,0.0,
2020-04-18,147,53,5,1,,,,2.461,0.084,0.017,
2020-04-19,148,1,5,0,,,,2.478,0.084,0.0,
2020-04-20,170,22,5,0,,,,2.846,0.084,0.0,
2020-04-21,170,0,5,0,,,,2.846,0.084,0.0,
2020-04-22,254,84,8,3,,,,4.252,0.134,0.05,
2020-04-23,285,31,10,2,,,,4.771,0.16699999999999998,0.033,
2020-04-24,285,0,10,0,,,,4.771,0.16699999999999998,0.0,
2020-04-25,300,15,10,0,,,,5.022,0.16699999999999998,0.0,
2020-04-26,300,0,10,0,,,,5.022,0.16699999999999998,0.0,
2020-04-27,300,0,10,0,,,,5.022,0.16699999999999998,0.0,
2020-04-28,300,0,10,0,,,,5.022,0.16699999999999998,0.0,
2020-04-29,306,6,10,0,,,,5.122999999999999,0.16699999999999998,0.0,
