Date,Countries,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,Active Cases,"Serious,Critical",Total Cases/1M people,Total Death/1M people,Total Tests,Tests/1M people,Continent
2020-03-17,Tanzania,1,1,0,0,,,,0.017,0.0,0.0,,
2020-03-18,Tanzania,1,0,0,0,,,,0.017,0.0,0.0,,
2020-03-19,Tanzania,3,2,0,0,,,,0.05,0.0,0.0,,
2020-03-20,Tanzania,3,0,0,0,,,,0.05,0.0,0.0,,
2020-03-21,Tanzania,3,0,0,0,,,,0.05,0.0,0.0,,
2020-03-22,Tanzania,6,3,0,0,,,,0.1,0.0,0.0,,
2020-03-23,Tanzania,12,6,0,0,,,,0.201,0.0,0.0,,
2020-03-24,Tanzania,12,0,0,0,,,,0.201,0.0,0.0,,
2020-03-25,Tanzania,12,0,0,0,,,,0.201,0.0,0.0,,
2020-03-26,Tanzania,12,0,0,0,,,,0.201,0.0,0.0,,
2020-03-27,Tanzania,13,1,0,0,,,,0.218,0.0,0.0,,
2020-03-28,Tanzania,13,0,0,0,,,,0.218,0.0,0.0,,
2020-03-29,Tanzania,13,0,1,1,,,,0.218,0.017,0.017,,
2020-03-30,Tanzania,14,1,1,0,,,,0.23399999999999999,0.017,0.0,,
2020-03-31,Tanzania,19,5,1,0,,,,0.318,0.017,0.0,,
2020-04-01,Tanzania,19,0,1,0,,,,0.318,0.017,0.0,,
2020-04-02,Tanzania,20,1,1,0,,,,0.335,0.017,0.0,,
2020-04-03,Tanzania,21,1,1,0,,,,0.35200000000000004,0.017,0.0,,
2020-04-04,Tanzania,21,0,1,0,,,,0.35200000000000004,0.017,0.0,,
2020-04-05,Tanzania,21,0,1,0,,,,0.35200000000000004,0.017,0.0,,
2020-04-06,Tanzania,22,1,1,0,,,,0.368,0.017,0.0,,
2020-04-07,Tanzania,24,2,1,0,,,,0.402,0.017,0.0,,
2020-04-08,Tanzania,24,0,1,0,,,,0.402,0.017,0.0,,
2020-04-09,Tanzania,25,1,1,0,,,,0.419,0.017,0.0,,
2020-04-10,Tanzania,25,0,1,0,,,,0.419,0.017,0.0,,
2020-04-11,Tanzania,32,7,3,2,,,,0.536,0.05,0.033,,
2020-04-12,Tanzania,32,0,3,0,,,,0.536,0.05,0.0,,
2020-04-13,Tanzania,32,0,3,0,,,,0.536,0.05,0.0,,
2020-04-14,Tanzania,46,14,3,0,,,,0.77,0.05,0.0,,
2020-04-15,Tanzania,53,7,3,0,,,,0.887,0.05,0.0,,
2020-04-16,Tanzania,88,35,4,1,,,,1.473,0.067,0.017,,
2020-04-17,Tanzania,94,6,4,0,,,,1.574,0.067,0.0,,
2020-04-18,Tanzania,147,53,5,1,,,,2.461,0.084,0.017,,
2020-04-19,Tanzania,148,1,5,0,,,,2.478,0.084,0.0,,
2020-04-20,Tanzania,170,22,5,0,,,,2.846,0.084,0.0,,
2020-04-21,Tanzania,170,0,5,0,,,,2.846,0.084,0.0,,
