Date,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,Active Cases,"Serious,Critical",Total Cases/1M people,Total Death/1M people,Total Tests,Tests/1M people
2019-12-31,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-01,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-02,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-03,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-04,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-05,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-06,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-07,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-08,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-09,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-10,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-11,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-12,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-13,1,1,0,0,,,,0.013999999999999999,0.0,0.0,
2020-01-14,1,0,0,0,,,,0.013999999999999999,0.0,0.0,
2020-01-15,1,0,0,0,,,,0.013999999999999999,0.0,0.0,
2020-01-16,1,0,0,0,,,,0.013999999999999999,0.0,0.0,
2020-01-17,2,1,0,0,,,,0.028999999999999998,0.0,0.0,
2020-01-18,2,0,0,0,,,,0.028999999999999998,0.0,0.0,
2020-01-19,2,0,0,0,,,,0.028999999999999998,0.0,0.0,
2020-01-20,2,0,0,0,,,,0.028999999999999998,0.0,0.0,
2020-01-21,2,0,0,0,,,,0.028999999999999998,0.0,0.0,
2020-01-22,4,2,0,0,,,,0.057,0.0,0.0,
2020-01-23,4,0,0,0,,,,0.057,0.0,0.0,
2020-01-24,4,0,0,0,,,,0.057,0.0,0.0,
2020-01-25,5,1,0,0,,,,0.07200000000000001,0.0,0.0,
2020-01-26,5,0,0,0,,,,0.07200000000000001,0.0,0.0,
2020-01-27,8,3,0,0,,,,0.115,0.0,0.0,
2020-01-28,14,6,0,0,,,,0.201,0.0,0.0,
2020-01-29,14,0,0,0,,,,0.201,0.0,0.0,
2020-01-30,14,0,0,0,,,,0.201,0.0,0.0,
2020-01-31,14,0,0,0,,,,0.201,0.0,0.0,
2020-02-01,19,5,0,0,,,,0.272,0.0,0.0,
2020-02-02,19,0,0,0,,,,0.272,0.0,0.0,
2020-02-03,19,0,0,0,,,,0.272,0.0,0.0,
2020-02-04,19,0,0,0,,,,0.272,0.0,0.0,
2020-02-05,25,6,0,0,,,,0.358,0.0,0.0,
2020-02-06,25,0,0,0,,,,0.358,0.0,0.0,
2020-02-07,25,0,0,0,,,,0.358,0.0,0.0,
2020-02-08,32,7,0,0,,,,0.45799999999999996,0.0,0.0,
2020-02-09,32,0,0,0,,,,0.45799999999999996,0.0,0.0,
2020-02-10,32,0,0,0,,,,0.45799999999999996,0.0,0.0,
2020-02-11,32,0,0,0,,,,0.45799999999999996,0.0,0.0,
2020-02-12,33,1,0,0,,,,0.473,0.0,0.0,
2020-02-13,33,0,0,0,,,,0.473,0.0,0.0,
2020-02-14,33,0,0,0,,,,0.473,0.0,0.0,
2020-02-15,34,1,0,0,,,,0.48700000000000004,0.0,0.0,
2020-02-16,34,0,0,0,,,,0.48700000000000004,0.0,0.0,
2020-02-17,34,0,0,0,,,,0.48700000000000004,0.0,0.0,
2020-02-18,35,1,0,0,,,,0.501,0.0,0.0,
2020-02-19,35,0,0,0,,,,0.501,0.0,0.0,
2020-02-20,35,0,0,0,,,,0.501,0.0,0.0,
2020-02-21,35,0,0,0,,,,0.501,0.0,0.0,
2020-02-22,35,0,0,0,,,,0.501,0.0,0.0,
2020-02-23,35,0,0,0,,,,0.501,0.0,0.0,
2020-02-24,35,0,0,0,,,,0.501,0.0,0.0,
2020-02-25,37,2,0,0,,,,0.53,0.0,0.0,
2020-02-26,40,3,0,0,,,,0.573,0.0,0.0,
2020-02-27,40,0,0,0,,,,0.573,0.0,0.0,
2020-02-28,40,0,0,0,,,,0.573,0.0,0.0,
2020-02-29,42,2,0,0,,,,0.602,0.0,0.0,
2020-03-01,42,0,1,1,,,,0.602,0.013999999999999999,0.013999999999999999,
2020-03-02,43,1,1,0,,,,0.616,0.013999999999999999,0.0,
2020-03-03,0,0,0,0,,,,,,,3680.0
2020-03-04,0,0,0,0,,,,,,,3895.0
2020-03-05,47,4,1,0,,,,0.6729999999999999,0.013999999999999999,0.0,4023.0
2020-03-06,0,0,0,0,,,,,,,4234.0
2020-03-07,50,3,1,0,,,,0.716,0.013999999999999999,0.0,4366.0
2020-03-08,0,0,0,0,,,,,,,4518.0
2020-03-09,0,0,0,0,,,,,,,4682.0
2020-03-10,0,0,0,0,,,,,,,4848.0
2020-03-11,59,9,1,0,,,,0.845,0.013999999999999999,0.0,5232.0
2020-03-12,70,11,1,0,,,,1.003,0.013999999999999999,0.0,5496.0
2020-03-13,0,0,0,0,,,,,,,5713.0
2020-03-14,82,12,1,0,,,,1.175,0.013999999999999999,0.0,
2020-03-15,82,0,1,0,,,,1.175,0.013999999999999999,0.0,6545.0
2020-03-16,114,32,1,0,,,,1.633,0.013999999999999999,0.0,7045.0
2020-03-17,177,63,1,0,,,,2.536,0.013999999999999999,0.0,
2020-03-18,177,0,1,0,,,,2.536,0.013999999999999999,0.0,8157.0
2020-03-19,177,0,1,0,,,,2.536,0.013999999999999999,0.0,8729.0
2020-03-20,212,35,1,0,,,,3.037,0.013999999999999999,0.0,9670.0
2020-03-21,366,154,1,0,,,,5.244,0.013999999999999999,0.0,10343.0
2020-03-22,599,233,1,0,,,,8.582,0.013999999999999999,0.0,10925.0
2020-03-23,721,122,1,0,,,,10.33,0.013999999999999999,0.0,11807.0
2020-03-24,827,106,4,3,,,,11.847999999999999,0.057,0.043,13027.0
