Date,Countries,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,Active Cases,"Serious,Critical",Total Cases/1M people,Total Death/1M people,Total Tests,Tests/1M people,Continent
2019-12-31,Thailand,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-01,Thailand,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-02,Thailand,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-03,Thailand,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-04,Thailand,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-05,Thailand,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-06,Thailand,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-07,Thailand,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-08,Thailand,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-09,Thailand,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-10,Thailand,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-11,Thailand,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-12,Thailand,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-13,Thailand,1,1,0,0,,,,0.013999999999999999,0.0,0.0,,
2020-01-14,Thailand,1,0,0,0,,,,0.013999999999999999,0.0,0.0,,
2020-01-15,Thailand,1,0,0,0,,,,0.013999999999999999,0.0,0.0,,
2020-01-16,Thailand,1,0,0,0,,,,0.013999999999999999,0.0,0.0,,
2020-01-17,Thailand,2,1,0,0,,,,0.028999999999999998,0.0,0.0,,
2020-01-18,Thailand,2,0,0,0,,,,0.028999999999999998,0.0,0.0,,
2020-01-19,Thailand,2,0,0,0,,,,0.028999999999999998,0.0,0.0,,
2020-01-20,Thailand,2,0,0,0,,,,0.028999999999999998,0.0,0.0,,
2020-01-21,Thailand,2,0,0,0,,,,0.028999999999999998,0.0,0.0,,
2020-01-22,Thailand,4,2,0,0,,,,0.057,0.0,0.0,,
2020-01-23,Thailand,4,0,0,0,,,,0.057,0.0,0.0,,
2020-01-24,Thailand,4,0,0,0,,,,0.057,0.0,0.0,,
2020-01-25,Thailand,5,1,0,0,,,,0.07200000000000001,0.0,0.0,,
2020-01-26,Thailand,5,0,0,0,,,,0.07200000000000001,0.0,0.0,,
