Date,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,Active Cases,"Serious,Critical",Total Cases/1M people,Total Death/1M people,Total Tests,Tests/1M people
2020-03-22,1,1,0,0,,,,0.758,0.0,0.0,
2020-03-23,1,0,0,0,,,,0.758,0.0,0.0,
2020-03-24,1,0,0,0,,,,0.758,0.0,0.0,
2020-03-25,1,0,0,0,,,,0.758,0.0,0.0,
2020-03-26,1,0,0,0,,,,0.758,0.0,0.0,
2020-03-27,1,0,0,0,,,,0.758,0.0,0.0,
2020-03-28,1,0,0,0,,,,0.758,0.0,0.0,
2020-03-29,1,0,0,0,,,,0.758,0.0,0.0,
2020-03-30,1,0,0,0,,,,0.758,0.0,0.0,
2020-03-31,1,0,0,0,,,,0.758,0.0,0.0,
2020-04-01,1,0,0,0,,,,0.758,0.0,0.0,
2020-04-02,1,0,0,0,,,,0.758,0.0,0.0,
2020-04-03,1,0,0,0,,,,0.758,0.0,0.0,
2020-04-04,1,0,0,0,,,,0.758,0.0,0.0,
2020-04-05,1,0,0,0,,,,0.758,0.0,0.0,
2020-04-06,1,0,0,0,,,,0.758,0.0,0.0,
2020-04-07,1,0,0,0,,,,0.758,0.0,0.0,
2020-04-08,1,0,0,0,,,,0.758,0.0,0.0,
2020-04-09,1,0,0,0,,,,0.758,0.0,0.0,
2020-04-10,2,1,0,0,,,,1.517,0.0,0.0,
2020-04-11,2,0,0,0,,,,1.517,0.0,0.0,
2020-04-12,2,0,0,0,,,,1.517,0.0,0.0,
2020-04-13,2,0,0,0,,,,1.517,0.0,0.0,
2020-04-14,4,2,0,0,,,,3.034,0.0,0.0,
2020-04-15,6,2,0,0,,,,4.551,0.0,0.0,
2020-04-16,6,0,0,0,,,,4.551,0.0,0.0,
2020-04-17,18,12,0,0,,,,13.652000000000001,0.0,0.0,
2020-04-18,18,0,0,0,,,,13.652000000000001,0.0,0.0,
2020-04-19,18,0,0,0,,,,13.652000000000001,0.0,0.0,
2020-04-20,19,1,0,0,,,,14.411,0.0,0.0,
2020-04-21,22,3,0,0,,,,16.686,0.0,0.0,
2020-04-22,23,1,0,0,,,,17.445,0.0,0.0,
2020-04-23,23,0,0,0,,,,17.445,0.0,0.0,
2020-04-24,23,0,0,0,,,,17.445,0.0,0.0,
2020-04-25,24,1,0,0,,,,18.203,0.0,0.0,
2020-04-26,24,0,0,0,,,,18.203,0.0,0.0,
2020-04-27,24,0,0,0,,,,18.203,0.0,0.0,
2020-04-28,24,0,0,0,,,,18.203,0.0,0.0,
2020-04-29,24,0,0,0,,,,18.203,0.0,0.0,
