Date,Countries,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,Active Cases,"Serious,Critical",Total Cases/1M people,Total Death/1M people,Total Tests,Tests/1M people,Continent
2020-03-22,Timor,1,1,0,0,,,,0.758,0.0,0.0,,
2020-03-23,Timor,1,0,0,0,,,,0.758,0.0,0.0,,
2020-03-24,Timor,1,0,0,0,,,,0.758,0.0,0.0,,
2020-03-25,Timor,1,0,0,0,,,,0.758,0.0,0.0,,
2020-03-26,Timor,1,0,0,0,,,,0.758,0.0,0.0,,
2020-03-27,Timor,1,0,0,0,,,,0.758,0.0,0.0,,
2020-03-28,Timor,1,0,0,0,,,,0.758,0.0,0.0,,
2020-03-29,Timor,1,0,0,0,,,,0.758,0.0,0.0,,
2020-03-30,Timor,1,0,0,0,,,,0.758,0.0,0.0,,
2020-03-31,Timor,1,0,0,0,,,,0.758,0.0,0.0,,
2020-04-01,Timor,1,0,0,0,,,,0.758,0.0,0.0,,
2020-04-02,Timor,1,0,0,0,,,,0.758,0.0,0.0,,
2020-04-03,Timor,1,0,0,0,,,,0.758,0.0,0.0,,
2020-04-04,Timor,1,0,0,0,,,,0.758,0.0,0.0,,
2020-04-05,Timor,1,0,0,0,,,,0.758,0.0,0.0,,
2020-04-06,Timor,1,0,0,0,,,,0.758,0.0,0.0,,
2020-04-07,Timor,1,0,0,0,,,,0.758,0.0,0.0,,
2020-04-08,Timor,1,0,0,0,,,,0.758,0.0,0.0,,
2020-04-09,Timor,1,0,0,0,,,,0.758,0.0,0.0,,
2020-04-10,Timor,2,1,0,0,,,,1.517,0.0,0.0,,
2020-04-11,Timor,2,0,0,0,,,,1.517,0.0,0.0,,
2020-04-12,Timor,2,0,0,0,,,,1.517,0.0,0.0,,
2020-04-13,Timor,2,0,0,0,,,,1.517,0.0,0.0,,
2020-04-14,Timor,4,2,0,0,,,,3.034,0.0,0.0,,
2020-04-15,Timor,6,2,0,0,,,,4.551,0.0,0.0,,
2020-04-16,Timor,6,0,0,0,,,,4.551,0.0,0.0,,
2020-04-17,Timor,18,12,0,0,,,,13.652000000000001,0.0,0.0,,
2020-04-18,Timor,18,0,0,0,,,,13.652000000000001,0.0,0.0,,
2020-04-19,Timor,18,0,0,0,,,,13.652000000000001,0.0,0.0,,
2020-04-20,Timor,19,1,0,0,,,,14.411,0.0,0.0,,
2020-04-21,Timor,22,3,0,0,,,,16.686,0.0,0.0,,
