Date,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,Active Cases,"Serious,Critical",Total Cases/1M people,Total Death/1M people,Total Tests,Tests/1M people
2020-03-07,1,1,0,0,,,,0.121,0.0,0.0,
2020-03-15,1,0,0,0,,,,0.121,0.0,0.0,
2020-03-16,1,0,0,0,,,,0.121,0.0,0.0,
2020-03-17,1,0,0,0,,,,0.121,0.0,0.0,
2020-03-18,1,0,0,0,,,,0.121,0.0,0.0,
2020-03-19,1,0,0,0,,,,0.121,0.0,0.0,
2020-03-20,1,0,0,0,,,,0.121,0.0,0.0,
2020-03-21,9,8,0,0,,,,1.087,0.0,0.0,
2020-03-22,15,6,0,0,,,,1.8119999999999998,0.0,0.0,
2020-03-23,15,0,0,0,,,,1.8119999999999998,0.0,0.0,
2020-03-24,18,3,0,0,,,,2.174,0.0,0.0,
2020-03-25,18,0,0,0,,,,2.174,0.0,0.0,
2020-03-26,23,5,0,0,,,,2.778,0.0,0.0,
2020-03-27,24,1,0,0,,,,2.8989999999999996,0.0,0.0,
2020-03-28,25,1,1,1,,,,3.02,0.121,0.121,
2020-03-29,28,3,1,0,,,,3.3819999999999997,0.121,0.0,
2020-03-30,30,2,1,0,,,,3.6239999999999997,0.121,0.0,
2020-03-31,34,4,1,0,,,,4.107,0.121,0.0,
2020-04-01,34,0,1,0,,,,4.107,0.121,0.0,
2020-04-02,36,2,2,1,,,,4.348,0.242,0.121,
2020-04-03,39,3,2,0,,,,4.711,0.242,0.0,
2020-04-04,40,1,3,1,,,,4.832,0.36200000000000004,0.121,
2020-04-05,41,1,3,0,,,,4.952,0.36200000000000004,0.0,
2020-04-06,44,3,3,0,,,,5.315,0.36200000000000004,0.0,
2020-04-07,58,14,3,0,,,,7.006,0.36200000000000004,0.0,
2020-04-08,65,7,3,0,,,,7.851,0.36200000000000004,0.0,
2020-04-09,70,5,3,0,,,,8.455,0.36200000000000004,0.0,
2020-04-10,73,3,3,0,,,,8.818,0.36200000000000004,0.0,
2020-04-11,76,3,3,0,,,,9.18,0.36200000000000004,0.0,
2020-04-12,76,0,3,0,,,,9.18,0.36200000000000004,0.0,
2020-04-13,76,0,3,0,,,,9.18,0.36200000000000004,0.0,
2020-04-14,77,1,3,0,,,,9.301,0.36200000000000004,0.0,
2020-04-15,77,0,3,0,,,,9.301,0.36200000000000004,0.0,
2020-04-16,81,4,3,0,,,,9.783999999999999,0.36200000000000004,0.0,
2020-04-17,81,0,5,2,,,,9.783999999999999,0.604,0.242,
2020-04-18,83,2,5,0,,,,10.026,0.604,0.0,
2020-04-19,84,1,5,0,,,,10.146,0.604,0.0,
2020-04-20,84,0,5,0,,,,10.146,0.604,0.0,
2020-04-21,84,0,6,1,,,,10.146,0.725,0.121,
2020-04-22,86,2,6,0,,,,10.388,0.725,0.0,
2020-04-23,88,2,6,0,,,,10.63,0.725,0.0,
2020-04-24,88,0,6,0,,,,10.63,0.725,0.0,
2020-04-25,90,2,6,0,,,,10.870999999999999,0.725,0.0,
2020-04-26,96,6,6,0,,,,11.595999999999998,0.725,0.0,
2020-04-27,98,2,6,0,,,,11.838,0.725,0.0,
2020-04-28,99,1,6,0,,,,11.958,0.725,0.0,
2020-04-29,99,0,6,0,,,,11.958,0.725,0.0,
