Date,Countries,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,Active Cases,"Serious,Critical",Total Cases/1M people,Total Death/1M people,Total Tests,Tests/1M people,Continent
2020-03-07,Togo,1,1,0,0,,,,0.121,0.0,0.0,,
2020-03-15,Togo,1,0,0,0,,,,0.121,0.0,0.0,,
2020-03-16,Togo,1,0,0,0,,,,0.121,0.0,0.0,,
2020-03-17,Togo,1,0,0,0,,,,0.121,0.0,0.0,,
2020-03-18,Togo,1,0,0,0,,,,0.121,0.0,0.0,,
2020-03-19,Togo,1,0,0,0,,,,0.121,0.0,0.0,,
2020-03-20,Togo,1,0,0,0,,,,0.121,0.0,0.0,,
2020-03-21,Togo,9,8,0,0,,,,1.087,0.0,0.0,,
2020-03-22,Togo,15,6,0,0,,,,1.8119999999999998,0.0,0.0,,
2020-03-23,Togo,15,0,0,0,,,,1.8119999999999998,0.0,0.0,,
2020-03-24,Togo,18,3,0,0,,,,2.174,0.0,0.0,,
2020-03-25,Togo,18,0,0,0,,,,2.174,0.0,0.0,,
2020-03-26,Togo,23,5,0,0,,,,2.778,0.0,0.0,,
2020-03-27,Togo,24,1,0,0,,,,2.8989999999999996,0.0,0.0,,
2020-03-28,Togo,25,1,1,1,,,,3.02,0.121,0.121,,
2020-03-29,Togo,28,3,1,0,,,,3.3819999999999997,0.121,0.0,,
2020-03-30,Togo,30,2,1,0,,,,3.6239999999999997,0.121,0.0,,
2020-03-31,Togo,34,4,1,0,,,,4.107,0.121,0.0,,
2020-04-01,Togo,34,0,1,0,,,,4.107,0.121,0.0,,
2020-04-02,Togo,36,2,2,1,,,,4.348,0.242,0.121,,
2020-04-03,Togo,39,3,2,0,,,,4.711,0.242,0.0,,
2020-04-04,Togo,40,1,3,1,,,,4.832,0.36200000000000004,0.121,,
2020-04-05,Togo,41,1,3,0,,,,4.952,0.36200000000000004,0.0,,
2020-04-06,Togo,44,3,3,0,,,,5.315,0.36200000000000004,0.0,,
2020-04-07,Togo,58,14,3,0,,,,7.006,0.36200000000000004,0.0,,
2020-04-08,Togo,65,7,3,0,,,,7.851,0.36200000000000004,0.0,,
2020-04-09,Togo,70,5,3,0,,,,8.455,0.36200000000000004,0.0,,
2020-04-10,Togo,73,3,3,0,,,,8.818,0.36200000000000004,0.0,,
2020-04-11,Togo,76,3,3,0,,,,9.18,0.36200000000000004,0.0,,
2020-04-12,Togo,76,0,3,0,,,,9.18,0.36200000000000004,0.0,,
2020-04-13,Togo,76,0,3,0,,,,9.18,0.36200000000000004,0.0,,
2020-04-14,Togo,77,1,3,0,,,,9.301,0.36200000000000004,0.0,,
2020-04-15,Togo,77,0,3,0,,,,9.301,0.36200000000000004,0.0,,
2020-04-16,Togo,81,4,3,0,,,,9.783999999999999,0.36200000000000004,0.0,,
2020-04-17,Togo,81,0,5,2,,,,9.783999999999999,0.604,0.242,,
2020-04-18,Togo,83,2,5,0,,,,10.026,0.604,0.0,,
2020-04-19,Togo,84,1,5,0,,,,10.146,0.604,0.0,,
2020-04-20,Togo,84,0,5,0,,,,10.146,0.604,0.0,,
2020-04-21,Togo,84,0,6,1,,,,10.146,0.725,0.121,,
