Date,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,Active Cases,"Serious,Critical",Total Cases/1M people,Total Death/1M people,Total Tests,Tests/1M people
2020-03-13,1,1,0,0,,,,0.715,0.0,0.0,
2020-03-14,2,1,0,0,,,,1.429,0.0,0.0,
2020-03-15,2,0,0,0,,,,1.429,0.0,0.0,
2020-03-16,4,2,0,0,,,,2.858,0.0,0.0,
2020-03-17,5,1,0,0,,,,3.573,0.0,0.0,
2020-03-18,7,2,0,0,,,,5.002,0.0,0.0,
2020-03-19,9,2,0,0,,,,6.431,0.0,0.0,
2020-03-20,9,0,0,0,,,,6.431,0.0,0.0,
2020-03-21,9,0,0,0,,,,6.431,0.0,0.0,
2020-03-22,49,40,0,0,,,,35.013000000000005,0.0,0.0,
2020-03-23,50,1,0,0,,,,35.727,0.0,0.0,
2020-03-24,51,1,0,0,,,,36.442,0.0,0.0,
2020-03-25,57,6,0,0,,,,40.729,0.0,0.0,
2020-03-26,60,3,1,1,,,,42.873000000000005,0.715,0.715,
2020-03-27,65,5,1,0,,,,46.445,0.715,0.0,
2020-03-28,66,1,2,1,,,,47.16,1.429,0.715,
2020-03-29,74,8,2,0,,,,52.876000000000005,1.429,0.0,
2020-03-30,78,4,3,1,,,,55.735,2.144,0.715,
2020-03-31,85,7,3,0,,,,60.736000000000004,2.144,0.0,
2020-04-01,87,2,3,0,,,,62.165,2.144,0.0,
2020-04-02,89,2,5,2,,,,63.595,3.573,1.429,
2020-04-03,97,8,6,1,,,,69.311,4.287,0.715,
2020-04-04,100,3,6,0,,,,71.455,4.287,0.0,
2020-04-05,103,3,6,0,,,,73.598,4.287,0.0,
2020-04-06,104,1,7,1,,,,74.313,5.002,0.715,
2020-04-07,105,1,8,1,,,,75.027,5.716,0.715,
2020-04-08,107,2,8,0,,,,76.456,5.716,0.0,
2020-04-09,107,0,8,0,,,,76.456,5.716,0.0,
2020-04-10,109,2,8,0,,,,77.885,5.716,0.0,
2020-04-11,109,0,8,0,,,,77.885,5.716,0.0,
2020-04-12,112,3,8,0,,,,80.029,5.716,0.0,
2020-04-13,113,1,8,0,,,,80.744,5.716,0.0,
2020-04-14,113,0,8,0,,,,80.744,5.716,0.0,
2020-04-15,113,0,8,0,,,,80.744,5.716,0.0,
2020-04-16,114,1,8,0,,,,81.458,5.716,0.0,
2020-04-17,114,0,8,0,,,,81.458,5.716,0.0,
2020-04-18,114,0,8,0,,,,81.458,5.716,0.0,
2020-04-19,114,0,8,0,,,,81.458,5.716,0.0,
2020-04-20,114,0,8,0,,,,81.458,5.716,0.0,
2020-04-21,114,0,8,0,,,,81.458,5.716,0.0,
2020-04-22,115,1,8,0,,,,82.17299999999999,5.716,0.0,
2020-04-23,115,0,8,0,,,,82.17299999999999,5.716,0.0,
2020-04-24,115,0,8,0,,,,82.17299999999999,5.716,0.0,
2020-04-25,115,0,8,0,,,,82.17299999999999,5.716,0.0,
2020-04-26,115,0,8,0,,,,82.17299999999999,5.716,0.0,
2020-04-27,116,1,8,0,,,,82.887,5.716,0.0,
2020-04-28,116,0,8,0,,,,82.887,5.716,0.0,
2020-04-29,116,0,8,0,,,,82.887,5.716,0.0,
