Date,Countries,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,Active Cases,"Serious,Critical",Total Cases/1M people,Total Death/1M people,Total Tests,Tests/1M people,Continent
2020-03-13,Trinidad and Tobago,1,1,0,0,,,,0.715,0.0,0.0,,
2020-03-14,Trinidad and Tobago,2,1,0,0,,,,1.429,0.0,0.0,,
2020-03-15,Trinidad and Tobago,2,0,0,0,,,,1.429,0.0,0.0,,
2020-03-16,Trinidad and Tobago,4,2,0,0,,,,2.858,0.0,0.0,,
2020-03-17,Trinidad and Tobago,5,1,0,0,,,,3.573,0.0,0.0,,
2020-03-18,Trinidad and Tobago,7,2,0,0,,,,5.002,0.0,0.0,,
2020-03-19,Trinidad and Tobago,9,2,0,0,,,,6.431,0.0,0.0,,
2020-03-20,Trinidad and Tobago,9,0,0,0,,,,6.431,0.0,0.0,,
2020-03-21,Trinidad and Tobago,9,0,0,0,,,,6.431,0.0,0.0,,
2020-03-22,Trinidad and Tobago,49,40,0,0,,,,35.013000000000005,0.0,0.0,,
2020-03-23,Trinidad and Tobago,50,1,0,0,,,,35.727,0.0,0.0,,
2020-03-24,Trinidad and Tobago,51,1,0,0,,,,36.442,0.0,0.0,,
2020-03-25,Trinidad and Tobago,57,6,0,0,,,,40.729,0.0,0.0,,
2020-03-26,Trinidad and Tobago,60,3,1,1,,,,42.873000000000005,0.715,0.715,,
2020-03-27,Trinidad and Tobago,65,5,1,0,,,,46.445,0.715,0.0,,
2020-03-28,Trinidad and Tobago,66,1,2,1,,,,47.16,1.429,0.715,,
2020-03-29,Trinidad and Tobago,74,8,2,0,,,,52.876000000000005,1.429,0.0,,
2020-03-30,Trinidad and Tobago,78,4,3,1,,,,55.735,2.144,0.715,,
2020-03-31,Trinidad and Tobago,85,7,3,0,,,,60.736000000000004,2.144,0.0,,
2020-04-01,Trinidad and Tobago,87,2,3,0,,,,62.165,2.144,0.0,,
2020-04-02,Trinidad and Tobago,89,2,5,2,,,,63.595,3.573,1.429,,
2020-04-03,Trinidad and Tobago,97,8,6,1,,,,69.311,4.287,0.715,,
2020-04-04,Trinidad and Tobago,100,3,6,0,,,,71.455,4.287,0.0,,
2020-04-05,Trinidad and Tobago,103,3,6,0,,,,73.598,4.287,0.0,,
2020-04-06,Trinidad and Tobago,104,1,7,1,,,,74.313,5.002,0.715,,
2020-04-07,Trinidad and Tobago,105,1,8,1,,,,75.027,5.716,0.715,,
2020-04-08,Trinidad and Tobago,107,2,8,0,,,,76.456,5.716,0.0,,
2020-04-09,Trinidad and Tobago,107,0,8,0,,,,76.456,5.716,0.0,,
2020-04-10,Trinidad and Tobago,109,2,8,0,,,,77.885,5.716,0.0,,
2020-04-11,Trinidad and Tobago,109,0,8,0,,,,77.885,5.716,0.0,,
2020-04-12,Trinidad and Tobago,112,3,8,0,,,,80.029,5.716,0.0,,
2020-04-13,Trinidad and Tobago,113,1,8,0,,,,80.744,5.716,0.0,,
2020-04-14,Trinidad and Tobago,113,0,8,0,,,,80.744,5.716,0.0,,
2020-04-15,Trinidad and Tobago,113,0,8,0,,,,80.744,5.716,0.0,,
2020-04-16,Trinidad and Tobago,114,1,8,0,,,,81.458,5.716,0.0,,
2020-04-17,Trinidad and Tobago,114,0,8,0,,,,81.458,5.716,0.0,,
2020-04-18,Trinidad and Tobago,114,0,8,0,,,,81.458,5.716,0.0,,
2020-04-19,Trinidad and Tobago,114,0,8,0,,,,81.458,5.716,0.0,,
2020-04-20,Trinidad and Tobago,114,0,8,0,,,,81.458,5.716,0.0,,
2020-04-21,Trinidad and Tobago,114,0,8,0,,,,81.458,5.716,0.0,,
