Date,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,Active Cases,"Serious,Critical",Total Cases/1M people,Total Death/1M people,Total Tests,Tests/1M people
2020-03-03,1,1,0,0,,,,0.085,0.0,0.0,
2020-03-10,2,1,0,0,,,,0.16899999999999998,0.0,0.0,28.0
2020-03-11,5,3,0,0,,,,0.423,0.0,0.0,99.0
2020-03-12,7,2,0,0,,,,0.5920000000000001,0.0,0.0,141.0
2020-03-13,13,6,0,0,,,,1.1,0.0,0.0,211.0
2020-03-14,16,3,0,0,,,,1.354,0.0,0.0,242.0
2020-03-15,16,0,0,0,,,,1.354,0.0,0.0,312.0
2020-03-16,18,2,0,0,,,,1.5230000000000001,0.0,0.0,379.0
2020-03-17,20,2,0,0,,,,1.692,0.0,0.0,449.0
2020-03-18,24,4,0,0,,,,2.031,0.0,0.0,535.0
2020-03-19,29,5,0,0,,,,2.454,0.0,0.0,614.0
2020-03-20,39,10,0,0,,,,3.3,0.0,0.0,740.0
2020-03-21,54,15,1,1,,,,4.569,0.085,0.085,875.0
2020-03-22,60,6,1,0,,,,5.077,0.085,0.0,1007.0
2020-03-23,75,15,3,2,,,,6.346,0.254,0.16899999999999998,1145.0
2020-03-24,89,14,3,0,,,,7.53,0.254,0.0,1374.0
2020-03-25,114,25,3,0,,,,9.646,0.254,0.0,1683.0
2020-03-26,173,59,5,2,,,,14.638,0.423,0.16899999999999998,1965.0
2020-03-27,173,0,5,0,,,,14.638,0.423,0.0,2689.0
2020-03-28,227,54,6,1,,,,19.207,0.508,0.085,3225.0
2020-03-29,227,0,6,0,,,,19.207,0.508,0.0,3672.0
2020-03-30,278,51,8,2,,,,23.522,0.677,0.16899999999999998,4114.0
2020-03-31,312,34,8,0,,,,26.399,0.677,0.0,4664.0
2020-04-01,362,50,9,1,,,,30.63,0.762,0.085,5338.0
2020-04-02,394,32,10,1,,,,33.336999999999996,0.846,0.085,5944.0
2020-04-03,455,61,13,3,,,,38.499,1.1,0.254,6693.0
2020-04-04,455,0,13,0,,,,38.499,1.1,0.0,7351.0
2020-04-05,495,40,18,5,,,,41.883,1.5230000000000001,0.423,7931.0
2020-04-06,553,58,19,1,,,,46.791000000000004,1.608,0.085,8480.0
2020-04-07,574,21,22,3,,,,48.567,1.861,0.254,9084.0
2020-04-08,596,22,22,0,,,,50.428999999999995,1.861,0.0,9776.0
2020-04-09,623,27,23,1,,,,52.713,1.946,0.085,10347.0
2020-04-10,643,20,25,2,,,,54.406000000000006,2.115,0.16899999999999998,10936.0
2020-04-11,671,28,25,0,,,,56.775,2.115,0.0,11498.0
2020-04-12,685,14,28,3,,,,57.958999999999996,2.369,0.254,12085.0
2020-04-13,707,22,31,3,,,,59.821000000000005,2.623,0.254,12675.0
2020-04-14,726,19,34,3,,,,61.428999999999995,2.877,0.254,13397.0
2020-04-15,747,21,34,0,,,,63.205,2.877,0.0,14190.0
2020-04-16,780,33,35,1,,,,65.998,2.9610000000000003,0.085,14900.0
2020-04-17,822,42,37,2,,,,69.551,3.1310000000000002,0.16899999999999998,15592.0
2020-04-18,864,42,37,0,,,,73.105,3.1310000000000002,0.0,16358.0
2020-04-19,866,2,37,0,,,,73.274,3.1310000000000002,0.0,17558.0
2020-04-20,879,13,38,1,,,,74.374,3.215,0.085,18436.0
2020-04-21,884,5,38,0,,,,74.797,3.215,0.0,18861.0
2020-04-22,901,17,38,0,,,,76.236,3.215,0.0,19411.0
2020-04-23,901,0,38,0,,,,76.236,3.215,0.0,19849.0
2020-04-24,918,17,38,0,,,,77.67399999999999,3.215,0.0,20408.0
2020-04-25,922,4,38,0,,,,78.013,3.215,0.0,20818.0
2020-04-26,939,17,38,0,,,,79.45100000000001,3.215,0.0,21081.0
2020-04-27,949,10,38,0,,,,80.297,3.215,0.0,21477.0
2020-04-28,967,18,39,1,,,,81.82,3.3,0.085,
2020-04-29,975,8,40,1,,,,82.49700000000001,3.384,0.085,
