Date,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,Active Cases,"Serious,Critical",Total Cases/1M people,Total Death/1M people,Total Tests,Tests/1M people
2020-03-25,1,1,0,0,,,,25.828000000000003,0.0,0.0,
2020-03-26,1,0,0,0,,,,25.828000000000003,0.0,0.0,
2020-03-27,2,1,0,0,,,,51.656000000000006,0.0,0.0,
2020-03-28,2,0,0,0,,,,51.656000000000006,0.0,0.0,
2020-03-29,5,3,0,0,,,,129.139,0.0,0.0,
2020-03-30,5,0,0,0,,,,129.139,0.0,0.0,
2020-03-31,5,0,0,0,,,,129.139,0.0,0.0,
2020-04-01,5,0,0,0,,,,129.139,0.0,0.0,
2020-04-02,5,0,0,0,,,,129.139,0.0,0.0,
2020-04-03,5,0,0,0,,,,129.139,0.0,0.0,
2020-04-04,5,0,0,0,,,,129.139,0.0,0.0,
2020-04-05,5,0,0,0,,,,129.139,0.0,0.0,
2020-04-06,5,0,1,1,,,,129.139,25.828000000000003,25.828000000000003,
2020-04-07,8,3,1,0,,,,206.622,25.828000000000003,0.0,
2020-04-08,8,0,1,0,,,,206.622,25.828000000000003,0.0,
2020-04-09,8,0,1,0,,,,206.622,25.828000000000003,0.0,
2020-04-10,8,0,1,0,,,,206.622,25.828000000000003,0.0,
2020-04-11,9,1,1,0,,,,232.45,25.828000000000003,0.0,
2020-04-12,9,0,1,0,,,,232.45,25.828000000000003,0.0,
2020-04-13,9,0,1,0,,,,232.45,25.828000000000003,0.0,
2020-04-14,10,1,1,0,,,,258.278,25.828000000000003,0.0,
2020-04-15,10,0,1,0,,,,258.278,25.828000000000003,0.0,
2020-04-16,11,1,1,0,,,,284.106,25.828000000000003,0.0,
2020-04-17,11,0,1,0,,,,284.106,25.828000000000003,0.0,
2020-04-18,11,0,1,0,,,,284.106,25.828000000000003,0.0,
2020-04-19,11,0,1,0,,,,284.106,25.828000000000003,0.0,
2020-04-20,11,0,1,0,,,,284.106,25.828000000000003,0.0,
2020-04-21,11,0,1,0,,,,284.106,25.828000000000003,0.0,
2020-04-22,11,0,1,0,,,,284.106,25.828000000000003,0.0,
2020-04-23,11,0,1,0,,,,284.106,25.828000000000003,0.0,
2020-04-24,11,0,1,0,,,,284.106,25.828000000000003,0.0,
2020-04-25,11,0,1,0,,,,284.106,25.828000000000003,0.0,
2020-04-26,11,0,1,0,,,,284.106,25.828000000000003,0.0,
2020-04-27,11,0,1,0,,,,284.106,25.828000000000003,0.0,
2020-04-28,12,1,1,0,,,,309.933,25.828000000000003,0.0,
2020-04-29,12,0,1,0,,,,309.933,25.828000000000003,0.0,
