Date,Countries,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,Active Cases,"Serious,Critical",Total Cases/1M people,Total Death/1M people,Total Tests,Tests/1M people,Continent
2020-03-25,Turks and Caicos Islands,1,1,0,0,,,,25.828000000000003,0.0,0.0,,
2020-03-26,Turks and Caicos Islands,1,0,0,0,,,,25.828000000000003,0.0,0.0,,
2020-03-27,Turks and Caicos Islands,2,1,0,0,,,,51.656000000000006,0.0,0.0,,
2020-03-28,Turks and Caicos Islands,2,0,0,0,,,,51.656000000000006,0.0,0.0,,
2020-03-29,Turks and Caicos Islands,5,3,0,0,,,,129.139,0.0,0.0,,
2020-03-30,Turks and Caicos Islands,5,0,0,0,,,,129.139,0.0,0.0,,
2020-03-31,Turks and Caicos Islands,5,0,0,0,,,,129.139,0.0,0.0,,
2020-04-01,Turks and Caicos Islands,5,0,0,0,,,,129.139,0.0,0.0,,
2020-04-02,Turks and Caicos Islands,5,0,0,0,,,,129.139,0.0,0.0,,
2020-04-03,Turks and Caicos Islands,5,0,0,0,,,,129.139,0.0,0.0,,
2020-04-04,Turks and Caicos Islands,5,0,0,0,,,,129.139,0.0,0.0,,
2020-04-05,Turks and Caicos Islands,5,0,0,0,,,,129.139,0.0,0.0,,
2020-04-06,Turks and Caicos Islands,5,0,1,1,,,,129.139,25.828000000000003,25.828000000000003,,
2020-04-07,Turks and Caicos Islands,8,3,1,0,,,,206.622,25.828000000000003,0.0,,
2020-04-08,Turks and Caicos Islands,8,0,1,0,,,,206.622,25.828000000000003,0.0,,
2020-04-09,Turks and Caicos Islands,8,0,1,0,,,,206.622,25.828000000000003,0.0,,
2020-04-10,Turks and Caicos Islands,8,0,1,0,,,,206.622,25.828000000000003,0.0,,
2020-04-11,Turks and Caicos Islands,9,1,1,0,,,,232.45,25.828000000000003,0.0,,
2020-04-12,Turks and Caicos Islands,9,0,1,0,,,,232.45,25.828000000000003,0.0,,
2020-04-13,Turks and Caicos Islands,9,0,1,0,,,,232.45,25.828000000000003,0.0,,
2020-04-14,Turks and Caicos Islands,10,1,1,0,,,,258.278,25.828000000000003,0.0,,
2020-04-15,Turks and Caicos Islands,10,0,1,0,,,,258.278,25.828000000000003,0.0,,
2020-04-16,Turks and Caicos Islands,11,1,1,0,,,,284.106,25.828000000000003,0.0,,
2020-04-17,Turks and Caicos Islands,11,0,1,0,,,,284.106,25.828000000000003,0.0,,
2020-04-18,Turks and Caicos Islands,11,0,1,0,,,,284.106,25.828000000000003,0.0,,
2020-04-19,Turks and Caicos Islands,11,0,1,0,,,,284.106,25.828000000000003,0.0,,
2020-04-20,Turks and Caicos Islands,11,0,1,0,,,,284.106,25.828000000000003,0.0,,
2020-04-21,Turks and Caicos Islands,11,0,1,0,,,,284.106,25.828000000000003,0.0,,
