Date,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,Active Cases,"Serious,Critical",Total Cases/1M people,Total Death/1M people,Total Tests,Tests/1M people
2019-12-31,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-01,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-02,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-03,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-04,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-05,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-06,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-07,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-08,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-09,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-10,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-11,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-12,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-13,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-14,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-15,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-16,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-17,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-18,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-19,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-20,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-21,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-22,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-23,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-24,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-25,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-26,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-27,1,1,0,0,,,,0.10099999999999999,0.0,0.0,
2020-01-28,1,0,0,0,,,,0.10099999999999999,0.0,0.0,
2020-01-29,1,0,0,0,,,,0.10099999999999999,0.0,0.0,
2020-01-30,4,3,0,0,,,,0.40399999999999997,0.0,0.0,
2020-01-31,4,0,0,0,,,,0.40399999999999997,0.0,0.0,
2020-02-01,4,0,0,0,,,,0.40399999999999997,0.0,0.0,
2020-02-02,5,1,0,0,,,,0.506,0.0,0.0,
2020-02-03,5,0,0,0,,,,0.506,0.0,0.0,
2020-02-04,5,0,0,0,,,,0.506,0.0,0.0,
2020-02-05,5,0,0,0,,,,0.506,0.0,0.0,
2020-02-06,5,0,0,0,,,,0.506,0.0,0.0,
2020-02-07,5,0,0,0,,,,0.506,0.0,0.0,
2020-02-08,7,2,0,0,,,,0.708,0.0,0.0,
2020-02-09,7,0,0,0,,,,0.708,0.0,0.0,
2020-02-10,7,0,0,0,,,,0.708,0.0,0.0,
2020-02-11,8,1,0,0,,,,0.809,0.0,0.0,
2020-02-12,8,0,0,0,,,,0.809,0.0,0.0,
2020-02-13,8,0,0,0,,,,0.809,0.0,0.0,
2020-02-14,8,0,0,0,,,,0.809,0.0,0.0,
2020-02-15,8,0,0,0,,,,0.809,0.0,0.0,
2020-02-16,8,0,0,0,,,,0.809,0.0,0.0,
2020-02-17,9,1,0,0,,,,0.91,0.0,0.0,
2020-02-18,9,0,0,0,,,,0.91,0.0,0.0,
2020-02-19,9,0,0,0,,,,0.91,0.0,0.0,
2020-02-20,9,0,0,0,,,,0.91,0.0,0.0,
2020-02-21,9,0,0,0,,,,0.91,0.0,0.0,
2020-02-22,11,2,0,0,,,,1.112,0.0,0.0,
2020-02-23,13,2,0,0,,,,1.314,0.0,0.0,
2020-02-24,13,0,0,0,,,,1.314,0.0,0.0,
2020-02-25,13,0,0,0,,,,1.314,0.0,0.0,
2020-02-26,13,0,0,0,,,,1.314,0.0,0.0,
2020-02-27,13,0,0,0,,,,1.314,0.0,0.0,
2020-02-28,19,6,0,0,,,,1.921,0.0,0.0,
2020-02-29,19,0,0,0,,,,1.921,0.0,0.0,
2020-03-01,21,2,0,0,,,,2.123,0.0,0.0,
2020-03-02,21,0,0,0,,,,2.123,0.0,0.0,
2020-03-04,27,6,0,0,,,,2.73,0.0,0.0,
2020-03-06,29,2,0,0,,,,2.932,0.0,0.0,
2020-03-08,45,16,0,0,,,,4.55,0.0,0.0,
2020-03-10,59,14,0,0,,,,5.965,0.0,0.0,
2020-03-11,74,15,0,0,,,,7.482,0.0,0.0,
2020-03-13,85,11,0,0,,,,8.594,0.0,0.0,
2020-03-15,85,0,0,0,,,,8.594,0.0,0.0,
2020-03-16,86,1,0,0,,,,8.695,0.0,0.0,
2020-03-17,98,12,0,0,,,,9.908999999999999,0.0,0.0,
2020-03-18,113,15,0,0,,,,11.425,0.0,0.0,
2020-03-19,113,0,0,0,,,,11.425,0.0,0.0,
2020-03-20,140,27,0,0,,,,14.155,0.0,0.0,
2020-03-21,140,0,0,0,,,,14.155,0.0,0.0,
2020-03-22,153,13,2,2,,,,15.47,0.20199999999999999,0.20199999999999999,
2020-03-23,153,0,2,0,,,,15.47,0.20199999999999999,0.0,
2020-03-24,198,45,2,0,,,,20.019000000000002,0.20199999999999999,0.0,
2020-03-25,248,50,2,0,,,,25.075,0.20199999999999999,0.0,
2020-03-26,333,85,2,0,,,,33.669000000000004,0.20199999999999999,0.0,
2020-03-27,333,0,2,0,,,,33.669000000000004,0.20199999999999999,0.0,
2020-03-28,405,72,2,0,,,,40.949,0.20199999999999999,0.0,
2020-03-29,468,63,2,0,,,,47.318999999999996,0.20199999999999999,0.0,
2020-03-30,468,0,2,0,,,,47.318999999999996,0.20199999999999999,0.0,
2020-03-31,611,143,5,3,,,,61.777,0.506,0.303,
2020-04-01,664,53,6,1,,,,67.13600000000001,0.607,0.10099999999999999,
2020-04-02,664,0,6,0,,,,67.13600000000001,0.607,0.0,
