Date,Countries,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,Active Cases,"Serious,Critical",Total Cases/1M people,Total Death/1M people,Total Tests,Tests/1M people,Continent
2019-12-31,United Arab Emirates,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-01,United Arab Emirates,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-02,United Arab Emirates,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-03,United Arab Emirates,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-04,United Arab Emirates,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-05,United Arab Emirates,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-06,United Arab Emirates,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-07,United Arab Emirates,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-08,United Arab Emirates,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-09,United Arab Emirates,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-10,United Arab Emirates,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-11,United Arab Emirates,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-12,United Arab Emirates,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-13,United Arab Emirates,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-14,United Arab Emirates,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-15,United Arab Emirates,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-16,United Arab Emirates,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-17,United Arab Emirates,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-18,United Arab Emirates,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-19,United Arab Emirates,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-20,United Arab Emirates,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-21,United Arab Emirates,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-22,United Arab Emirates,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-23,United Arab Emirates,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-24,United Arab Emirates,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-25,United Arab Emirates,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-26,United Arab Emirates,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-27,United Arab Emirates,1,1,0,0,,,,0.10099999999999999,0.0,0.0,,
2020-01-28,United Arab Emirates,1,0,0,0,,,,0.10099999999999999,0.0,0.0,,
2020-01-29,United Arab Emirates,1,0,0,0,,,,0.10099999999999999,0.0,0.0,,
2020-01-30,United Arab Emirates,4,3,0,0,,,,0.40399999999999997,0.0,0.0,,
2020-01-31,United Arab Emirates,4,0,0,0,,,,0.40399999999999997,0.0,0.0,,
2020-02-01,United Arab Emirates,4,0,0,0,,,,0.40399999999999997,0.0,0.0,,
2020-02-02,United Arab Emirates,5,1,0,0,,,,0.506,0.0,0.0,,
2020-02-03,United Arab Emirates,5,0,0,0,,,,0.506,0.0,0.0,,
2020-02-04,United Arab Emirates,5,0,0,0,,,,0.506,0.0,0.0,,
2020-02-05,United Arab Emirates,5,0,0,0,,,,0.506,0.0,0.0,,
2020-02-06,United Arab Emirates,5,0,0,0,,,,0.506,0.0,0.0,,
2020-02-07,United Arab Emirates,5,0,0,0,,,,0.506,0.0,0.0,,
2020-02-08,United Arab Emirates,7,2,0,0,,,,0.708,0.0,0.0,,
2020-02-09,United Arab Emirates,7,0,0,0,,,,0.708,0.0,0.0,,
2020-02-10,United Arab Emirates,7,0,0,0,,,,0.708,0.0,0.0,,
2020-02-11,United Arab Emirates,8,1,0,0,,,,0.809,0.0,0.0,,
2020-02-12,United Arab Emirates,8,0,0,0,,,,0.809,0.0,0.0,,
2020-02-13,United Arab Emirates,8,0,0,0,,,,0.809,0.0,0.0,,
2020-02-14,United Arab Emirates,8,0,0,0,,,,0.809,0.0,0.0,,
2020-02-15,United Arab Emirates,8,0,0,0,,,,0.809,0.0,0.0,,
2020-02-16,United Arab Emirates,8,0,0,0,,,,0.809,0.0,0.0,,
2020-02-17,United Arab Emirates,9,1,0,0,,,,0.91,0.0,0.0,,
2020-02-18,United Arab Emirates,9,0,0,0,,,,0.91,0.0,0.0,,
2020-02-19,United Arab Emirates,9,0,0,0,,,,0.91,0.0,0.0,,
2020-02-20,United Arab Emirates,9,0,0,0,,,,0.91,0.0,0.0,,
2020-02-21,United Arab Emirates,9,0,0,0,,,,0.91,0.0,0.0,,
2020-02-22,United Arab Emirates,11,2,0,0,,,,1.112,0.0,0.0,,
2020-02-23,United Arab Emirates,13,2,0,0,,,,1.314,0.0,0.0,,
2020-02-24,United Arab Emirates,13,0,0,0,,,,1.314,0.0,0.0,,
2020-02-25,United Arab Emirates,13,0,0,0,,,,1.314,0.0,0.0,,
2020-02-26,United Arab Emirates,13,0,0,0,,,,1.314,0.0,0.0,,
2020-02-27,United Arab Emirates,13,0,0,0,,,,1.314,0.0,0.0,,
2020-02-28,United Arab Emirates,19,6,0,0,,,,1.921,0.0,0.0,,
2020-02-29,United Arab Emirates,19,0,0,0,,,,1.921,0.0,0.0,,
2020-03-01,United Arab Emirates,21,2,0,0,,,,2.123,0.0,0.0,,
2020-03-02,United Arab Emirates,21,0,0,0,,,,2.123,0.0,0.0,,
2020-03-04,United Arab Emirates,27,6,0,0,,,,2.73,0.0,0.0,,
2020-03-06,United Arab Emirates,29,2,0,0,,,,2.932,0.0,0.0,,
2020-03-08,United Arab Emirates,45,16,0,0,,,,4.55,0.0,0.0,,
2020-03-10,United Arab Emirates,59,14,0,0,,,,5.965,0.0,0.0,,
2020-03-11,United Arab Emirates,74,15,0,0,,,,7.482,0.0,0.0,,
2020-03-13,United Arab Emirates,85,11,0,0,,,,8.594,0.0,0.0,,
2020-03-15,United Arab Emirates,85,0,0,0,,,,8.594,0.0,0.0,,
2020-03-16,United Arab Emirates,86,1,0,0,,,,8.695,0.0,0.0,,
2020-03-17,United Arab Emirates,98,12,0,0,,,,9.908999999999999,0.0,0.0,,
2020-03-18,United Arab Emirates,113,15,0,0,,,,11.425,0.0,0.0,,
2020-03-19,United Arab Emirates,113,0,0,0,,,,11.425,0.0,0.0,,
2020-03-20,United Arab Emirates,140,27,0,0,,,,14.155,0.0,0.0,,
2020-03-21,United Arab Emirates,140,0,0,0,,,,14.155,0.0,0.0,,
2020-03-22,United Arab Emirates,153,13,2,2,,,,15.47,0.20199999999999999,0.20199999999999999,,
2020-03-23,United Arab Emirates,153,0,2,0,,,,15.47,0.20199999999999999,0.0,,
2020-03-24,United Arab Emirates,198,45,2,0,,,,20.019000000000002,0.20199999999999999,0.0,,
2020-03-25,United Arab Emirates,248,50,2,0,,,,25.075,0.20199999999999999,0.0,,
2020-03-26,United Arab Emirates,333,85,2,0,,,,33.669000000000004,0.20199999999999999,0.0,,
2020-03-27,United Arab Emirates,333,0,2,0,,,,33.669000000000004,0.20199999999999999,0.0,,
2020-03-28,United Arab Emirates,405,72,2,0,,,,40.949,0.20199999999999999,0.0,,
2020-03-29,United Arab Emirates,468,63,2,0,,,,47.318999999999996,0.20199999999999999,0.0,,
2020-03-30,United Arab Emirates,468,0,2,0,,,,47.318999999999996,0.20199999999999999,0.0,,
2020-03-31,United Arab Emirates,611,143,5,3,,,,61.777,0.506,0.303,,
2020-04-01,United Arab Emirates,664,53,6,1,,,,67.13600000000001,0.607,0.10099999999999999,,
2020-04-02,United Arab Emirates,664,0,6,0,,,,67.13600000000001,0.607,0.0,,
2020-04-03,United Arab Emirates,1024,360,8,2,,,,103.535,0.809,0.20199999999999999,,
2020-04-04,United Arab Emirates,1024,0,8,0,,,,103.535,0.809,0.0,,
2020-04-05,United Arab Emirates,1505,481,10,2,,,,152.168,1.011,0.20199999999999999,,
2020-04-06,United Arab Emirates,1799,294,10,0,,,,181.894,1.011,0.0,,
2020-04-07,United Arab Emirates,2076,277,11,1,,,,209.90099999999998,1.112,0.10099999999999999,,
