Date,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,Active Cases,"Serious,Critical",Total Cases/1M people,Total Death/1M people,Total Tests,Tests/1M people
2019-12-31,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-01,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-02,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-03,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-04,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-05,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-06,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-07,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-08,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-09,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-10,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-11,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-12,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-13,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-14,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-15,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-16,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-17,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-18,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-19,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-20,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-21,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-22,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-23,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-24,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-25,0,0,0,0,,,,0.0,0.0,0.0,31.0
2020-01-26,0,0,0,0,,,,0.0,0.0,0.0,52.0
2020-01-27,0,0,0,0,,,,0.0,0.0,0.0,73.0
2020-01-28,0,0,0,0,,,,0.0,0.0,0.0,97.0
2020-01-29,0,0,0,0,,,,0.0,0.0,0.0,130.0
2020-01-30,0,0,0,0,,,,0.0,0.0,0.0,161.0
2020-01-31,2,2,0,0,,,,0.028999999999999998,0.0,0.0,177.0
2020-02-01,2,0,0,0,,,,0.028999999999999998,0.0,0.0,203.0
2020-02-02,2,0,0,0,,,,0.028999999999999998,0.0,0.0,266.0
2020-02-03,2,0,0,0,,,,0.028999999999999998,0.0,0.0,326.0
2020-02-04,2,0,0,0,,,,0.028999999999999998,0.0,0.0,416.0
2020-02-05,2,0,0,0,,,,0.028999999999999998,0.0,0.0,468.0
2020-02-06,2,0,0,0,,,,0.028999999999999998,0.0,0.0,566.0
2020-02-07,3,1,0,0,,,,0.044000000000000004,0.0,0.0,620.0
2020-02-08,3,0,0,0,,,,0.044000000000000004,0.0,0.0,686.0
2020-02-09,4,1,0,0,,,,0.059000000000000004,0.0,0.0,795.0
2020-02-10,4,0,0,0,,,,0.059000000000000004,0.0,0.0,1114.0
2020-02-11,8,4,0,0,,,,0.11800000000000001,0.0,0.0,1358.0
2020-02-12,8,0,0,0,,,,0.11800000000000001,0.0,0.0,1758.0
2020-02-13,9,1,0,0,,,,0.133,0.0,0.0,2521.0
2020-02-14,9,0,0,0,,,,0.133,0.0,0.0,2964.0
2020-02-15,9,0,0,0,,,,0.133,0.0,0.0,2992.0
2020-02-16,9,0,0,0,,,,0.133,0.0,0.0,3109.0
2020-02-17,9,0,0,0,,,,0.133,0.0,0.0,4501.0
2020-02-18,9,0,0,0,,,,0.133,0.0,0.0,4916.0
2020-02-19,9,0,0,0,,,,0.133,0.0,0.0,5207.0
2020-02-20,9,0,0,0,,,,0.133,0.0,0.0,5549.0
2020-02-21,9,0,0,0,,,,0.133,0.0,0.0,5885.0
2020-02-22,9,0,0,0,,,,0.133,0.0,0.0,6152.0
2020-02-23,9,0,0,0,,,,0.133,0.0,0.0,6324.0
2020-02-24,13,4,0,0,,,,0.191,0.0,0.0,6536.0
2020-02-25,13,0,0,0,,,,0.191,0.0,0.0,6795.0
2020-02-26,13,0,0,0,,,,0.191,0.0,0.0,7132.0
2020-02-27,13,0,0,0,,,,0.191,0.0,0.0,7690.0
2020-02-28,16,3,0,0,,,,0.23600000000000002,0.0,0.0,8986.0
2020-02-29,18,2,0,0,,,,0.265,0.0,0.0,10483.0
2020-03-01,23,5,0,0,,,,0.33899999999999997,0.0,0.0,11750.0
2020-03-02,36,13,0,0,,,,0.53,0.0,0.0,13525.0
2020-03-03,40,4,0,0,,,,0.589,0.0,0.0,13911.0
2020-03-04,51,11,0,0,,,,0.7509999999999999,0.0,0.0,16659.0
2020-03-05,85,34,0,0,,,,1.252,0.0,0.0,18083.0
2020-03-06,115,30,1,1,,,,1.694,0.015,0.015,20338.0
2020-03-07,163,48,1,0,,,,2.401,0.015,0.0,21460.0
2020-03-08,206,43,2,1,,,,3.034,0.028999999999999998,0.015,23513.0
2020-03-09,273,67,3,1,,,,4.021,0.044000000000000004,0.015,24960.0
2020-03-10,321,48,5,2,,,,4.729,0.07400000000000001,0.028999999999999998,26261.0
2020-03-11,373,52,6,1,,,,5.495,0.08800000000000001,0.015,27476.0
2020-03-12,456,83,6,0,,,,6.7170000000000005,0.08800000000000001,0.0,29764.0
2020-03-13,590,134,10,4,,,,8.691,0.147,0.059000000000000004,32771.0
2020-03-14,707,117,10,0,,,,10.415,0.147,0.0,37746.0
2020-03-15,1140,433,21,11,,,,16.793,0.309,0.162,40279.0
2020-03-16,1391,251,35,14,,,,20.49,0.516,0.20600000000000002,44105.0
2020-03-17,1543,152,55,20,,,,22.729,0.81,0.295,50442.0
2020-03-18,1950,407,60,5,,,,28.725,0.884,0.07400000000000001,56221.0
2020-03-19,2630,680,103,43,,,,38.741,1.517,0.633,64621.0
2020-03-20,3277,647,144,41,,,,48.272,2.121,0.604,66976.0
