Date,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,Active Cases,"Serious,Critical",Total Cases/1M people,Total Death/1M people,Total Tests,Tests/1M people
2020-03-22,1,1,0,0,,,,0.022000000000000002,0.0,0.0,
2020-03-23,1,0,0,0,,,,0.022000000000000002,0.0,0.0,
2020-03-24,9,8,0,0,,,,0.19699999999999998,0.0,0.0,
2020-03-25,9,0,0,0,,,,0.19699999999999998,0.0,0.0,
2020-03-26,14,5,0,0,,,,0.306,0.0,0.0,
2020-03-27,14,0,0,0,,,,0.306,0.0,0.0,
2020-03-28,14,0,0,0,,,,0.306,0.0,0.0,
2020-03-29,30,16,0,0,,,,0.6559999999999999,0.0,0.0,
2020-03-30,33,3,0,0,,,,0.721,0.0,0.0,
2020-03-31,33,0,0,0,,,,0.721,0.0,0.0,
2020-04-01,44,11,0,0,,,,0.9620000000000001,0.0,0.0,
2020-04-02,44,0,0,0,,,,0.9620000000000001,0.0,0.0,
2020-04-03,45,1,0,0,,,,0.9840000000000001,0.0,0.0,
2020-04-04,48,3,0,0,,,,1.0490000000000002,0.0,0.0,
2020-04-05,48,0,0,0,,,,1.0490000000000002,0.0,0.0,
2020-04-06,52,4,0,0,,,,1.137,0.0,0.0,3160.0
2020-04-07,52,0,0,0,,,,1.137,0.0,0.0,3310.0
2020-04-08,52,0,0,0,,,,1.137,0.0,0.0,3524.0
2020-04-09,53,1,0,0,,,,1.159,0.0,0.0,3862.0
2020-04-10,53,0,0,0,,,,1.159,0.0,0.0,4301.0
2020-04-11,53,0,0,0,,,,1.159,0.0,0.0,
2020-04-12,53,0,0,0,,,,1.159,0.0,0.0,5025.0
2020-04-13,54,1,0,0,,,,1.181,0.0,0.0,5664.0
2020-04-14,54,0,0,0,,,,1.181,0.0,0.0,6661.0
2020-04-15,55,1,0,0,,,,1.202,0.0,0.0,7693.0
2020-04-16,55,0,0,0,,,,1.202,0.0,0.0,8855.0
2020-04-17,55,0,0,0,,,,1.202,0.0,0.0,9975.0
2020-04-18,55,0,0,0,,,,1.202,0.0,0.0,11101.0
2020-04-19,55,0,0,0,,,,1.202,0.0,0.0,12565.0
2020-04-20,55,0,0,0,,,,1.202,0.0,0.0,13742.0
2020-04-21,56,1,0,0,,,,1.224,0.0,0.0,14761.0
2020-04-22,58,2,0,0,,,,1.268,0.0,0.0,16057.0
2020-04-23,61,3,0,0,,,,1.334,0.0,0.0,17388.0
2020-04-24,74,13,0,0,,,,1.618,0.0,0.0,18921.0
2020-04-25,75,1,0,0,,,,1.64,0.0,0.0,20329.0
2020-04-26,75,0,0,0,,,,1.64,0.0,0.0,22318.0
2020-04-27,79,4,0,0,,,,1.7269999999999999,0.0,0.0,24875.0
2020-04-28,79,0,0,0,,,,1.7269999999999999,0.0,0.0,27275.0
2020-04-29,79,0,0,0,,,,1.7269999999999999,0.0,0.0,
