Date,Countries,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,Active Cases,"Serious,Critical",Total Cases/1M people,Total Death/1M people,Total Tests,Tests/1M people,Continent
2020-03-22,Uganda,1,1,0,0,,,,0.022000000000000002,0.0,0.0,,
2020-03-23,Uganda,1,0,0,0,,,,0.022000000000000002,0.0,0.0,,
2020-03-24,Uganda,9,8,0,0,,,,0.19699999999999998,0.0,0.0,,
2020-03-25,Uganda,9,0,0,0,,,,0.19699999999999998,0.0,0.0,,
2020-03-26,Uganda,14,5,0,0,,,,0.306,0.0,0.0,,
2020-03-27,Uganda,14,0,0,0,,,,0.306,0.0,0.0,,
2020-03-28,Uganda,14,0,0,0,,,,0.306,0.0,0.0,,
2020-03-29,Uganda,30,16,0,0,,,,0.6559999999999999,0.0,0.0,,
2020-03-30,Uganda,33,3,0,0,,,,0.721,0.0,0.0,,
2020-03-31,Uganda,33,0,0,0,,,,0.721,0.0,0.0,,
2020-04-01,Uganda,44,11,0,0,,,,0.9620000000000001,0.0,0.0,,
2020-04-02,Uganda,44,0,0,0,,,,0.9620000000000001,0.0,0.0,,
2020-04-03,Uganda,45,1,0,0,,,,0.9840000000000001,0.0,0.0,,
2020-04-04,Uganda,48,3,0,0,,,,1.0490000000000002,0.0,0.0,,
2020-04-05,Uganda,48,0,0,0,,,,1.0490000000000002,0.0,0.0,,
2020-04-06,Uganda,52,4,0,0,,,,1.137,0.0,0.0,3160.0,
2020-04-07,Uganda,52,0,0,0,,,,1.137,0.0,0.0,3310.0,
2020-04-08,Uganda,52,0,0,0,,,,1.137,0.0,0.0,3524.0,
2020-04-09,Uganda,53,1,0,0,,,,1.159,0.0,0.0,3862.0,
2020-04-10,Uganda,53,0,0,0,,,,1.159,0.0,0.0,4301.0,
2020-04-11,Uganda,53,0,0,0,,,,1.159,0.0,0.0,,
2020-04-12,Uganda,53,0,0,0,,,,1.159,0.0,0.0,5025.0,
2020-04-13,Uganda,54,1,0,0,,,,1.181,0.0,0.0,5664.0,
2020-04-14,Uganda,54,0,0,0,,,,1.181,0.0,0.0,6661.0,
2020-04-15,Uganda,55,1,0,0,,,,1.202,0.0,0.0,,
2020-04-16,Uganda,55,0,0,0,,,,1.202,0.0,0.0,,
2020-04-17,Uganda,55,0,0,0,,,,1.202,0.0,0.0,,
2020-04-18,Uganda,55,0,0,0,,,,1.202,0.0,0.0,,
2020-04-19,Uganda,55,0,0,0,,,,1.202,0.0,0.0,,
2020-04-20,Uganda,55,0,0,0,,,,1.202,0.0,0.0,,
2020-04-21,Uganda,56,1,0,0,,,,1.224,0.0,0.0,,
