Date,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,Active Cases,"Serious,Critical",Total Cases/1M people,Total Death/1M people,Total Tests,Tests/1M people
2020-03-04,1,1,0,0,,,,0.023,0.0,0.0,
2020-03-13,3,2,0,0,,,,0.069,0.0,0.0,
2020-03-16,3,0,0,0,,,,0.069,0.0,0.0,
2020-03-17,5,2,0,0,,,,0.114,0.0,0.0,
2020-03-18,14,9,0,0,,,,0.32,0.0,0.0,
2020-03-19,19,5,2,2,,,,0.434,0.046,0.046,
2020-03-20,26,7,2,0,,,,0.595,0.046,0.0,
2020-03-21,26,0,3,1,,,,0.595,0.069,0.023,
2020-03-22,41,15,3,0,,,,0.937,0.069,0.0,
2020-03-23,47,6,3,0,,,,1.075,0.069,0.0,
2020-03-24,73,26,3,0,,,,1.669,0.069,0.0,
2020-03-25,84,11,3,0,,,,1.921,0.069,0.0,
2020-03-26,113,29,4,1,,,,2.5839999999999996,0.091,0.023,
2020-03-27,156,43,5,1,,,,3.5669999999999997,0.114,0.023,
2020-03-28,218,62,5,0,,,,4.985,0.114,0.0,
2020-03-29,311,93,8,3,,,,7.111000000000001,0.183,0.069,
2020-03-30,418,107,9,1,,,,9.558,0.20600000000000002,0.023,
2020-03-31,480,62,11,2,,,,10.975999999999999,0.252,0.046,
2020-04-01,549,69,13,2,,,,12.552999999999999,0.297,0.046,
2020-04-02,794,245,20,7,,,,18.155,0.457,0.16,
2020-04-03,804,10,20,0,,,,18.384,0.457,0.0,
2020-04-04,987,183,23,3,,,,22.568,0.526,0.069,
2020-04-05,1096,109,28,5,,,,25.061,0.64,0.114,
2020-04-06,1251,155,32,4,,,,28.605,0.732,0.091,
2020-04-07,1319,68,38,6,,,,30.16,0.8690000000000001,0.13699999999999998,
2020-04-08,1462,143,45,7,,,,33.43,1.0290000000000001,0.16,
2020-04-09,1668,206,52,7,,,,38.14,1.189,0.16,20608.0
2020-04-10,1892,224,57,5,,,,43.262,1.3030000000000002,0.114,23522.0
2020-04-11,2203,311,69,12,,,,50.373000000000005,1.578,0.27399999999999997,
2020-04-12,2511,308,73,4,,,,57.416000000000004,1.669,0.091,
2020-04-13,2777,266,83,10,,,,63.498000000000005,1.8980000000000001,0.22899999999999998,35153.0
2020-04-14,3102,325,93,10,,,,70.929,2.127,0.22899999999999998,
2020-04-15,3372,270,98,5,,,,77.10300000000001,2.241,0.114,
2020-04-16,4161,789,116,18,,,,95.14399999999999,2.6519999999999997,0.41200000000000003,42823.0
2020-04-17,4462,301,125,9,,,,102.02600000000001,2.858,0.20600000000000002,47096.0
2020-04-18,5106,644,133,8,,,,116.75200000000001,3.0410000000000004,0.183,
2020-04-19,5449,343,141,8,,,,124.595,3.2239999999999998,0.183,57111.0
2020-04-20,5710,261,151,10,,,,130.563,3.4530000000000003,0.22899999999999998,
2020-04-21,6125,415,161,10,,,,140.05200000000002,3.681,0.22899999999999998,
2020-04-22,6592,467,174,13,,,,150.73,3.9789999999999996,0.297,
2020-04-23,7170,578,187,13,,,,163.947,4.276,0.297,72296.0
2020-04-24,7647,477,193,6,,,,174.85299999999998,4.413,0.13699999999999998,
2020-04-25,8125,478,201,8,,,,185.783,4.596,0.183,
2020-04-26,8617,492,209,8,,,,197.033,4.779,0.183,89373.0
2020-04-27,9009,392,220,11,,,,205.99599999999998,5.03,0.252,93519.0
2020-04-28,9009,0,220,0,,,,205.99599999999998,5.03,0.0,98719.0
2020-04-29,9410,401,239,19,,,,215.166,5.465,0.434,104544.0
