Date,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,Active Cases,"Serious,Critical",Total Cases/1M people,Total Death/1M people,Total Tests,Tests/1M people
2020-03-24,17,17,0,0,,,,162.799,0.0,0.0,
2020-03-25,17,0,0,0,,,,162.799,0.0,0.0,
2020-03-26,17,0,0,0,,,,162.799,0.0,0.0,
2020-03-27,17,0,0,0,,,,162.799,0.0,0.0,
2020-03-28,19,2,0,0,,,,181.952,0.0,0.0,
2020-03-29,22,3,0,0,,,,210.68200000000002,0.0,0.0,
2020-03-30,30,8,0,0,,,,287.293,0.0,0.0,
2020-04-01,30,0,0,0,,,,287.293,0.0,0.0,
2020-04-02,30,0,0,0,,,,287.293,0.0,0.0,
2020-04-03,33,3,0,0,,,,316.022,0.0,0.0,
2020-04-04,40,7,0,0,,,,383.05699999999996,0.0,0.0,
2020-04-05,40,0,0,0,,,,383.05699999999996,0.0,0.0,
2020-04-06,42,2,1,1,,,,402.21,9.576,9.576,
2020-04-07,42,0,1,0,,,,402.21,9.576,0.0,
2020-04-08,45,3,1,0,,,,430.94,9.576,0.0,
2020-04-09,45,0,1,0,,,,430.94,9.576,0.0,
2020-04-10,50,5,1,0,,,,478.82199999999995,9.576,0.0,
2020-04-11,50,0,1,0,,,,478.82199999999995,9.576,0.0,
2020-04-12,51,1,1,0,,,,488.398,9.576,0.0,
2020-04-13,51,0,1,0,,,,488.398,9.576,0.0,
2020-04-14,51,0,1,0,,,,488.398,9.576,0.0,
2020-04-15,51,0,1,0,,,,488.398,9.576,0.0,
2020-04-16,51,0,1,0,,,,488.398,9.576,0.0,
2020-04-17,51,0,1,0,,,,488.398,9.576,0.0,
2020-04-18,51,0,2,1,,,,488.398,19.153,9.576,
2020-04-19,53,2,3,1,,,,507.551,28.729,9.576,
2020-04-20,53,0,3,0,,,,507.551,28.729,0.0,
2020-04-21,54,1,3,0,,,,517.127,28.729,0.0,
2020-04-22,54,0,3,0,,,,517.127,28.729,0.0,
2020-04-23,54,0,3,0,,,,517.127,28.729,0.0,
2020-04-24,54,0,3,0,,,,517.127,28.729,0.0,
2020-04-25,54,0,3,0,,,,517.127,28.729,0.0,
2020-04-26,55,1,3,0,,,,526.7040000000001,28.729,0.0,
2020-04-27,55,0,3,0,,,,526.7040000000001,28.729,0.0,
2020-04-28,59,4,4,1,,,,565.01,38.306,9.576,
2020-04-29,59,0,4,0,,,,565.01,38.306,0.0,
