Date,Countries,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,Active Cases,"Serious,Critical",Total Cases/1M people,Total Death/1M people,Total Tests,Tests/1M people,Continent
2020-03-24,United States Virgin Islands,17,17,0,0,,,,162.799,0.0,0.0,,
2020-03-25,United States Virgin Islands,17,0,0,0,,,,162.799,0.0,0.0,,
2020-03-26,United States Virgin Islands,17,0,0,0,,,,162.799,0.0,0.0,,
2020-03-27,United States Virgin Islands,17,0,0,0,,,,162.799,0.0,0.0,,
2020-03-28,United States Virgin Islands,19,2,0,0,,,,181.952,0.0,0.0,,
2020-03-29,United States Virgin Islands,22,3,0,0,,,,210.68200000000002,0.0,0.0,,
2020-03-30,United States Virgin Islands,30,8,0,0,,,,287.293,0.0,0.0,,
2020-04-01,United States Virgin Islands,30,0,0,0,,,,287.293,0.0,0.0,,
2020-04-02,United States Virgin Islands,30,0,0,0,,,,287.293,0.0,0.0,,
2020-04-03,United States Virgin Islands,33,3,0,0,,,,316.022,0.0,0.0,,
2020-04-04,United States Virgin Islands,40,7,0,0,,,,383.05699999999996,0.0,0.0,,
2020-04-05,United States Virgin Islands,40,0,0,0,,,,383.05699999999996,0.0,0.0,,
2020-04-06,United States Virgin Islands,42,2,1,1,,,,402.21,9.576,9.576,,
2020-04-07,United States Virgin Islands,42,0,1,0,,,,402.21,9.576,0.0,,
2020-04-08,United States Virgin Islands,45,3,1,0,,,,430.94,9.576,0.0,,
2020-04-09,United States Virgin Islands,45,0,1,0,,,,430.94,9.576,0.0,,
2020-04-10,United States Virgin Islands,50,5,1,0,,,,478.82199999999995,9.576,0.0,,
2020-04-11,United States Virgin Islands,50,0,1,0,,,,478.82199999999995,9.576,0.0,,
2020-04-12,United States Virgin Islands,51,1,1,0,,,,488.398,9.576,0.0,,
2020-04-13,United States Virgin Islands,51,0,1,0,,,,488.398,9.576,0.0,,
2020-04-14,United States Virgin Islands,51,0,1,0,,,,488.398,9.576,0.0,,
2020-04-15,United States Virgin Islands,51,0,1,0,,,,488.398,9.576,0.0,,
2020-04-16,United States Virgin Islands,51,0,1,0,,,,488.398,9.576,0.0,,
2020-04-17,United States Virgin Islands,51,0,1,0,,,,488.398,9.576,0.0,,
2020-04-18,United States Virgin Islands,51,0,2,1,,,,488.398,19.153,9.576,,
2020-04-19,United States Virgin Islands,53,2,3,1,,,,507.551,28.729,9.576,,
2020-04-20,United States Virgin Islands,53,0,3,0,,,,507.551,28.729,0.0,,
2020-04-21,United States Virgin Islands,54,1,3,0,,,,517.127,28.729,0.0,,
