Date,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,Active Cases,"Serious,Critical",Total Cases/1M people,Total Death/1M people,Total Tests,Tests/1M people
2020-03-15,6,6,0,0,,,,1.7269999999999999,0.0,0.0,
2020-03-16,8,2,0,0,,,,2.303,0.0,0.0,
2020-03-17,29,21,0,0,,,,8.347999999999999,0.0,0.0,
2020-03-18,50,21,0,0,,,,14.394,0.0,0.0,
2020-03-19,79,29,0,0,,,,22.741999999999997,0.0,0.0,
2020-03-20,94,15,0,0,,,,27.06,0.0,0.0,
2020-03-21,110,16,0,0,,,,31.666,0.0,0.0,
2020-03-22,135,25,0,0,,,,38.863,0.0,0.0,
2020-03-23,158,23,0,0,,,,45.483999999999995,0.0,0.0,
2020-03-24,162,4,0,0,,,,46.636,0.0,0.0,
2020-03-25,189,27,0,0,,,,54.408,0.0,0.0,
2020-03-26,217,28,0,0,,,,62.468999999999994,0.0,0.0,
2020-03-27,238,21,0,0,,,,68.514,0.0,0.0,
2020-03-28,238,0,0,0,,,,68.514,0.0,0.0,2926.0
2020-03-29,259,21,0,0,,,,74.56,0.0,0.0,3126.0
2020-03-30,295,36,1,1,,,,84.92299999999999,0.28800000000000003,0.28800000000000003,3425.0
2020-03-31,324,29,1,0,,,,93.272,0.28800000000000003,0.0,3819.0
2020-04-01,330,6,1,0,,,,94.999,0.28800000000000003,0.0,4108.0
2020-04-02,341,11,2,1,,,,98.165,0.5760000000000001,0.28800000000000003,4464.0
2020-04-03,359,18,4,2,,,,103.34700000000001,1.1520000000000001,0.5760000000000001,4786.0
2020-04-04,371,12,4,0,,,,106.802,1.1520000000000001,0.0,5063.0
2020-04-05,390,19,5,1,,,,112.271,1.439,0.28800000000000003,5208.0
2020-04-06,407,17,6,1,,,,117.165,1.7269999999999999,0.28800000000000003,5385.0
2020-04-07,411,4,6,0,,,,118.31700000000001,1.7269999999999999,0.0,5727.0
2020-04-08,417,6,7,1,,,,120.044,2.015,0.28800000000000003,6175.0
2020-04-09,426,9,7,0,,,,122.635,2.015,0.0,6856.0
2020-04-10,433,7,7,0,,,,124.65,2.015,0.0,7496.0
2020-04-11,446,13,7,0,,,,128.392,2.015,0.0,8114.0
2020-04-12,453,7,7,0,,,,130.407,2.015,0.0,8774.0
2020-04-13,465,12,8,1,,,,133.862,2.303,0.28800000000000003,9236.0
2020-04-14,472,7,8,0,,,,135.877,2.303,0.0,9929.0
2020-04-15,483,11,8,0,,,,139.04399999999998,2.303,0.0,10448.0
2020-04-16,493,10,9,1,,,,141.922,2.591,0.28800000000000003,11239.0
2020-04-17,502,9,9,0,,,,144.513,2.591,0.0,11749.0
2020-04-18,508,6,9,0,,,,146.241,2.591,0.0,12478.0
2020-04-19,517,9,9,0,,,,148.83100000000002,2.591,0.0,12826.0
2020-04-20,528,11,10,1,,,,151.998,2.8789999999999996,0.28800000000000003,
2020-04-21,535,7,10,0,,,,154.013,2.8789999999999996,0.0,13396.0
2020-04-22,543,8,12,2,,,,156.316,3.455,0.5760000000000001,13923.0
2020-04-23,549,6,12,0,,,,158.04399999999998,3.455,0.0,14532.0
2020-04-24,557,8,12,0,,,,160.347,3.455,0.0,15142.0
2020-04-25,563,6,12,0,,,,162.07399999999998,3.455,0.0,15834.0
2020-04-26,596,33,14,2,,,,171.574,4.03,0.5760000000000001,16496.0
2020-04-27,606,10,15,1,,,,174.452,4.3180000000000005,0.28800000000000003,17063.0
2020-04-28,620,14,15,0,,,,178.483,4.3180000000000005,0.0,17505.0
2020-04-29,625,5,15,0,,,,179.922,4.3180000000000005,0.0,18140.0
