Date,Countries,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,Active Cases,"Serious,Critical",Total Cases/1M people,Total Death/1M people,Total Tests,Tests/1M people,Continent
2020-03-15,Uruguay,6,6,0,0,,,,1.7269999999999999,0.0,0.0,,
2020-03-16,Uruguay,8,2,0,0,,,,2.303,0.0,0.0,,
2020-03-17,Uruguay,29,21,0,0,,,,8.347999999999999,0.0,0.0,,
2020-03-18,Uruguay,50,21,0,0,,,,14.394,0.0,0.0,,
2020-03-19,Uruguay,79,29,0,0,,,,22.741999999999997,0.0,0.0,,
2020-03-20,Uruguay,94,15,0,0,,,,27.06,0.0,0.0,,
2020-03-21,Uruguay,110,16,0,0,,,,31.666,0.0,0.0,,
2020-03-22,Uruguay,135,25,0,0,,,,38.863,0.0,0.0,,
2020-03-23,Uruguay,158,23,0,0,,,,45.483999999999995,0.0,0.0,,
2020-03-24,Uruguay,162,4,0,0,,,,46.636,0.0,0.0,,
2020-03-25,Uruguay,189,27,0,0,,,,54.408,0.0,0.0,,
2020-03-26,Uruguay,217,28,0,0,,,,62.468999999999994,0.0,0.0,,
2020-03-27,Uruguay,238,21,0,0,,,,68.514,0.0,0.0,,
2020-03-28,Uruguay,238,0,0,0,,,,68.514,0.0,0.0,2926.0,
2020-03-29,Uruguay,304,66,0,0,,,,87.514,0.0,0.0,3126.0,
2020-03-30,Uruguay,309,5,1,1,,,,88.95299999999999,0.28800000000000003,0.28800000000000003,3425.0,
2020-03-31,Uruguay,320,11,1,0,,,,92.12,0.28800000000000003,0.0,3819.0,
2020-04-01,Uruguay,338,18,1,0,,,,97.302,0.28800000000000003,0.0,4108.0,
2020-04-02,Uruguay,338,0,2,1,,,,97.302,0.5760000000000001,0.28800000000000003,4464.0,
2020-04-03,Uruguay,369,31,4,2,,,,106.226,1.1520000000000001,0.5760000000000001,4786.0,
2020-04-04,Uruguay,386,17,4,0,,,,111.12,1.1520000000000001,0.0,5063.0,
2020-04-05,Uruguay,400,14,5,1,,,,115.15,1.439,0.28800000000000003,5208.0,
2020-04-06,Uruguay,406,6,6,1,,,,116.87700000000001,1.7269999999999999,0.28800000000000003,5385.0,
2020-04-07,Uruguay,415,9,6,0,,,,119.46799999999999,1.7269999999999999,0.0,5727.0,
2020-04-08,Uruguay,424,9,7,1,,,,122.059,2.015,0.28800000000000003,6175.0,
2020-04-09,Uruguay,456,32,7,0,,,,131.27100000000002,2.015,0.0,6856.0,
2020-04-10,Uruguay,473,17,7,0,,,,136.165,2.015,0.0,7496.0,
2020-04-11,Uruguay,494,21,7,0,,,,142.21,2.015,0.0,8114.0,
2020-04-12,Uruguay,501,7,7,0,,,,144.225,2.015,0.0,8774.0,
2020-04-13,Uruguay,512,11,8,1,,,,147.392,2.303,0.28800000000000003,9236.0,
2020-04-14,Uruguay,521,9,8,0,,,,149.983,2.303,0.0,9929.0,
2020-04-15,Uruguay,533,12,8,0,,,,153.438,2.303,0.0,10448.0,
2020-04-16,Uruguay,539,6,9,1,,,,155.165,2.591,0.28800000000000003,11239.0,
2020-04-17,Uruguay,552,13,9,0,,,,158.907,2.591,0.0,11749.0,
2020-04-18,Uruguay,570,18,9,0,,,,164.08900000000003,2.591,0.0,12478.0,
2020-04-19,Uruguay,588,18,9,0,,,,169.271,2.591,0.0,12826.0,
2020-04-20,Uruguay,592,4,10,1,,,,170.422,2.8789999999999996,0.28800000000000003,,
2020-04-21,Uruguay,602,10,10,0,,,,173.301,2.8789999999999996,0.0,13396.0,
