Date,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,Active Cases,"Serious,Critical",Total Cases/1M people,Total Death/1M people,Total Tests,Tests/1M people
2020-03-16,6,6,0,0,,,,0.179,0.0,0.0,
2020-03-17,8,2,0,0,,,,0.239,0.0,0.0,
2020-03-18,16,8,0,0,,,,0.478,0.0,0.0,
2020-03-19,23,7,0,0,,,,0.687,0.0,0.0,
2020-03-20,23,0,0,0,,,,0.687,0.0,0.0,
2020-03-21,33,10,0,0,,,,0.986,0.0,0.0,
2020-03-22,33,0,0,0,,,,0.986,0.0,0.0,
2020-03-23,46,13,0,0,,,,1.374,0.0,0.0,
2020-03-24,49,3,0,0,,,,1.464,0.0,0.0,
2020-03-25,55,6,0,0,,,,1.643,0.0,0.0,
2020-03-26,65,10,0,0,,,,1.942,0.0,0.0,
2020-03-27,83,18,0,0,,,,2.48,0.0,0.0,
2020-03-28,104,21,0,0,,,,3.1069999999999998,0.0,0.0,
2020-03-29,133,29,1,1,,,,3.9739999999999998,0.03,0.03,
2020-03-30,145,12,1,0,,,,4.332,0.03,0.0,
2020-03-31,149,4,2,1,,,,4.452,0.06,0.03,
2020-04-01,173,24,2,0,,,,5.169,0.06,0.0,
2020-04-02,187,14,2,0,,,,5.587000000000001,0.06,0.0,
2020-04-03,190,3,2,0,,,,5.6770000000000005,0.06,0.0,
2020-04-04,227,37,2,0,,,,6.782,0.06,0.0,
2020-04-05,266,39,2,0,,,,7.9479999999999995,0.06,0.0,
2020-04-06,342,76,2,0,,,,10.218,0.06,0.0,
2020-04-07,397,55,2,0,,,,11.862,0.06,0.0,
2020-04-08,504,107,2,0,,,,15.059000000000001,0.06,0.0,
2020-04-09,555,51,3,1,,,,16.582,0.09,0.03,
2020-04-10,582,27,3,0,,,,17.389,0.09,0.0,
2020-04-11,624,42,3,0,,,,18.644000000000002,0.09,0.0,
2020-04-12,796,172,4,1,,,,23.783,0.12,0.03,
2020-04-13,865,69,4,0,,,,25.845,0.12,0.0,
2020-04-14,998,133,4,0,,,,29.818,0.12,0.0,
2020-04-15,1165,167,4,0,,,,34.808,0.12,0.0,
2020-04-16,1302,137,4,0,,,,38.900999999999996,0.12,0.0,
2020-04-17,1380,78,4,0,,,,41.232,0.12,0.0,
2020-04-18,1450,70,4,0,,,,43.323,0.12,0.0,
2020-04-19,1495,45,5,1,,,,44.668,0.149,0.03,
2020-04-20,1565,70,5,0,,,,46.75899999999999,0.149,0.0,
2020-04-21,1657,92,5,0,,,,49.508,0.149,0.0,
2020-04-22,1692,35,6,1,,,,50.553999999999995,0.179,0.03,
2020-04-23,1716,24,7,1,,,,51.271,0.209,0.03,
2020-04-24,1778,62,7,0,,,,53.123000000000005,0.209,0.0,
2020-04-25,1836,58,8,1,,,,54.856,0.239,0.03,
2020-04-26,1865,29,8,0,,,,55.723,0.239,0.0,
2020-04-27,1887,22,8,0,,,,56.38,0.239,0.0,
2020-04-28,1904,17,8,0,,,,56.888000000000005,0.239,0.0,
2020-04-29,1939,35,8,0,,,,57.934,0.239,0.0,
