Date,Countries,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,Active Cases,"Serious,Critical",Total Cases/1M people,Total Death/1M people,Total Tests,Tests/1M people,Continent
2020-03-07,Vatican,1,1,0,0,,,,1236.094,0.0,0.0,,
2020-03-16,Vatican,1,0,0,0,,,,1236.094,0.0,0.0,,
2020-03-17,Vatican,1,0,0,0,,,,1236.094,0.0,0.0,,
2020-03-18,Vatican,1,0,0,0,,,,1236.094,0.0,0.0,,
2020-03-19,Vatican,1,0,0,0,,,,1236.094,0.0,0.0,,
2020-03-20,Vatican,1,0,0,0,,,,1236.094,0.0,0.0,,
2020-03-21,Vatican,1,0,0,0,,,,1236.094,0.0,0.0,,
2020-03-22,Vatican,1,0,0,0,,,,1236.094,0.0,0.0,,
2020-03-23,Vatican,1,0,0,0,,,,1236.094,0.0,0.0,,
2020-03-24,Vatican,1,0,0,0,,,,1236.094,0.0,0.0,,
2020-03-25,Vatican,1,0,0,0,,,,1236.094,0.0,0.0,,
2020-03-26,Vatican,1,0,0,0,,,,1236.094,0.0,0.0,,
2020-03-27,Vatican,5,4,0,0,,,,6180.47,0.0,0.0,,
2020-03-28,Vatican,5,0,0,0,,,,6180.47,0.0,0.0,,
2020-03-29,Vatican,6,1,0,0,,,,7416.564,0.0,0.0,,
2020-03-30,Vatican,6,0,0,0,,,,7416.564,0.0,0.0,,
2020-03-31,Vatican,6,0,0,0,,,,7416.564,0.0,0.0,,
2020-04-01,Vatican,6,0,0,0,,,,7416.564,0.0,0.0,,
2020-04-02,Vatican,6,0,0,0,,,,7416.564,0.0,0.0,,
2020-04-03,Vatican,6,0,0,0,,,,7416.564,0.0,0.0,,
2020-04-04,Vatican,7,1,0,0,,,,8652.658000000001,0.0,0.0,,
2020-04-05,Vatican,7,0,0,0,,,,8652.658000000001,0.0,0.0,,
2020-04-06,Vatican,7,0,0,0,,,,8652.658000000001,0.0,0.0,,
2020-04-07,Vatican,7,0,0,0,,,,8652.658000000001,0.0,0.0,,
2020-04-08,Vatican,7,0,0,0,,,,8652.658000000001,0.0,0.0,,
2020-04-09,Vatican,8,1,0,0,,,,9888.752,0.0,0.0,,
2020-04-10,Vatican,8,0,0,0,,,,9888.752,0.0,0.0,,
2020-04-11,Vatican,8,0,0,0,,,,9888.752,0.0,0.0,,
2020-04-12,Vatican,8,0,0,0,,,,9888.752,0.0,0.0,,
2020-04-13,Vatican,8,0,0,0,,,,9888.752,0.0,0.0,,
2020-04-14,Vatican,8,0,0,0,,,,9888.752,0.0,0.0,,
2020-04-15,Vatican,8,0,0,0,,,,9888.752,0.0,0.0,,
2020-04-16,Vatican,8,0,0,0,,,,9888.752,0.0,0.0,,
2020-04-17,Vatican,8,0,0,0,,,,9888.752,0.0,0.0,,
2020-04-18,Vatican,8,0,0,0,,,,9888.752,0.0,0.0,,
2020-04-19,Vatican,8,0,0,0,,,,9888.752,0.0,0.0,,
2020-04-20,Vatican,8,0,0,0,,,,9888.752,0.0,0.0,,
2020-04-21,Vatican,9,1,0,0,,,,11124.845,0.0,0.0,,
