Date,Countries,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,Active Cases,"Serious,Critical",Total Cases/1M people,Total Death/1M people,Total Tests,Tests/1M people,Continent
2020-03-15,Venezuela,10,10,0,0,,,,0.35200000000000004,0.0,0.0,,
2020-03-16,Venezuela,15,5,0,0,,,,0.528,0.0,0.0,,
2020-03-17,Venezuela,33,18,0,0,,,,1.161,0.0,0.0,,
2020-03-18,Venezuela,33,0,0,0,,,,1.161,0.0,0.0,,
2020-03-19,Venezuela,33,0,0,0,,,,1.161,0.0,0.0,,
2020-03-20,Venezuela,33,0,0,0,,,,1.161,0.0,0.0,,
2020-03-21,Venezuela,36,3,0,0,,,,1.266,0.0,0.0,,
2020-03-22,Venezuela,36,0,0,0,,,,1.266,0.0,0.0,,
2020-03-23,Venezuela,36,0,0,0,,,,1.266,0.0,0.0,,
2020-03-24,Venezuela,84,48,0,0,,,,2.9539999999999997,0.0,0.0,,
2020-03-25,Venezuela,91,7,0,0,,,,3.2,0.0,0.0,,
2020-03-26,Venezuela,106,15,0,0,,,,3.728,0.0,0.0,,
2020-03-27,Venezuela,107,1,1,1,,,,3.763,0.035,0.035,,
2020-03-28,Venezuela,119,12,1,0,,,,4.185,0.035,0.0,,
2020-03-29,Venezuela,119,0,1,0,,,,4.185,0.035,0.0,,
2020-03-30,Venezuela,119,0,1,0,,,,4.185,0.035,0.0,,
2020-03-31,Venezuela,135,16,3,2,,,,4.748,0.106,0.07,,
2020-04-01,Venezuela,135,0,3,0,,,,4.748,0.106,0.0,,
2020-04-02,Venezuela,143,8,3,0,,,,5.029,0.106,0.0,,
2020-04-03,Venezuela,144,1,3,0,,,,5.064,0.106,0.0,,
2020-04-04,Venezuela,144,0,3,0,,,,5.064,0.106,0.0,,
2020-04-05,Venezuela,144,0,5,2,,,,5.064,0.17600000000000002,0.07,,
2020-04-06,Venezuela,148,4,5,0,,,,5.205,0.17600000000000002,0.0,,
2020-04-07,Venezuela,159,11,5,0,,,,5.5920000000000005,0.17600000000000002,0.0,,
2020-04-08,Venezuela,166,7,7,2,,,,5.837999999999999,0.24600000000000002,0.07,,
2020-04-09,Venezuela,167,1,8,1,,,,5.872999999999999,0.281,0.035,,
2020-04-10,Venezuela,171,4,9,1,,,,6.013999999999999,0.317,0.035,,
2020-04-11,Venezuela,175,4,9,0,,,,6.154,0.317,0.0,,
2020-04-12,Venezuela,175,0,9,0,,,,6.154,0.317,0.0,,
2020-04-13,Venezuela,181,6,9,0,,,,6.365,0.317,0.0,,
2020-04-14,Venezuela,189,8,9,0,,,,6.647,0.317,0.0,,
2020-04-15,Venezuela,193,4,9,0,,,,6.787000000000001,0.317,0.0,,
2020-04-16,Venezuela,197,4,9,0,,,,6.928,0.317,0.0,,
2020-04-17,Venezuela,204,7,9,0,,,,7.1739999999999995,0.317,0.0,,
2020-04-18,Venezuela,227,23,9,0,,,,7.983,0.317,0.0,,
2020-04-19,Venezuela,227,0,9,0,,,,7.983,0.317,0.0,,
2020-04-20,Venezuela,256,29,9,0,,,,9.003,0.317,0.0,,
2020-04-21,Venezuela,256,0,9,0,,,,9.003,0.317,0.0,,
