Date,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,Active Cases,"Serious,Critical",Total Cases/1M people,Total Death/1M people,Total Tests,Tests/1M people
2019-12-31,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-01,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-02,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-03,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-04,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-05,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-06,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-07,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-08,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-09,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-10,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-11,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-12,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-13,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-14,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-15,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-16,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-17,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-18,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-19,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-20,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-21,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-22,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-23,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-24,2,2,0,0,,,,0.021,0.0,0.0,
2020-01-25,2,0,0,0,,,,0.021,0.0,0.0,
2020-01-26,2,0,0,0,,,,0.021,0.0,0.0,
2020-01-27,2,0,0,0,,,,0.021,0.0,0.0,
2020-01-28,2,0,0,0,,,,0.021,0.0,0.0,
2020-01-29,2,0,0,0,,,,0.021,0.0,0.0,
2020-01-30,2,0,0,0,,,,0.021,0.0,0.0,
2020-01-31,5,3,0,0,,,,0.051,0.0,0.0,
2020-02-01,5,0,0,0,,,,0.051,0.0,0.0,
2020-02-02,7,2,0,0,,,,0.07200000000000001,0.0,0.0,
2020-02-03,8,1,0,0,,,,0.08199999999999999,0.0,0.0,
2020-02-04,9,1,0,0,,,,0.092,0.0,0.0,
2020-02-05,10,1,0,0,,,,0.10300000000000001,0.0,0.0,
2020-02-06,10,0,0,0,,,,0.10300000000000001,0.0,0.0,
2020-02-07,12,2,0,0,,,,0.12300000000000001,0.0,0.0,
2020-02-08,13,1,0,0,,,,0.134,0.0,0.0,
2020-02-09,14,1,0,0,,,,0.14400000000000002,0.0,0.0,
2020-02-10,14,0,0,0,,,,0.14400000000000002,0.0,0.0,
2020-02-11,15,1,0,0,,,,0.154,0.0,0.0,
2020-02-12,15,0,0,0,,,,0.154,0.0,0.0,
2020-02-13,16,1,0,0,,,,0.16399999999999998,0.0,0.0,
2020-02-14,16,0,0,0,,,,0.16399999999999998,0.0,0.0,
2020-02-15,16,0,0,0,,,,0.16399999999999998,0.0,0.0,
2020-02-16,16,0,0,0,,,,0.16399999999999998,0.0,0.0,
2020-02-17,16,0,0,0,,,,0.16399999999999998,0.0,0.0,
2020-02-18,16,0,0,0,,,,0.16399999999999998,0.0,0.0,
2020-02-19,16,0,0,0,,,,0.16399999999999998,0.0,0.0,
2020-02-20,16,0,0,0,,,,0.16399999999999998,0.0,0.0,
2020-02-21,16,0,0,0,,,,0.16399999999999998,0.0,0.0,
2020-02-22,16,0,0,0,,,,0.16399999999999998,0.0,0.0,
2020-02-23,16,0,0,0,,,,0.16399999999999998,0.0,0.0,
2020-02-24,16,0,0,0,,,,0.16399999999999998,0.0,0.0,
2020-02-25,16,0,0,0,,,,0.16399999999999998,0.0,0.0,
2020-02-26,16,0,0,0,,,,0.16399999999999998,0.0,0.0,
2020-02-27,16,0,0,0,,,,0.16399999999999998,0.0,0.0,
2020-02-28,16,0,0,0,,,,0.16399999999999998,0.0,0.0,
2020-02-29,16,0,0,0,,,,0.16399999999999998,0.0,0.0,
2020-03-01,16,0,0,0,,,,0.16399999999999998,0.0,0.0,
2020-03-02,16,0,0,0,,,,0.16399999999999998,0.0,0.0,1753.0
2020-03-03,0,0,0,0,,,,,,,1785.0
2020-03-05,0,0,0,0,,,,,,,1924.0
2020-03-06,0,0,0,0,,,,,,,2008.0
2020-03-07,17,1,0,0,,,,0.175,0.0,0.0,
2020-03-08,21,4,0,0,,,,0.21600000000000003,0.0,0.0,
2020-03-09,30,9,0,0,,,,0.308,0.0,0.0,2589.0
2020-03-10,34,4,0,0,,,,0.349,0.0,0.0,
2020-03-11,38,4,0,0,,,,0.39,0.0,0.0,4471.0
2020-03-12,39,1,0,0,,,,0.401,0.0,0.0,4588.0
2020-03-13,44,5,0,0,,,,0.452,0.0,0.0,4789.0
2020-03-14,53,9,0,0,,,,0.544,0.0,0.0,5235.0
2020-03-15,53,0,0,0,,,,0.544,0.0,0.0,7515.0
2020-03-16,57,4,0,0,,,,0.586,0.0,0.0,7522.0
2020-03-17,61,4,0,0,,,,0.627,0.0,0.0,9696.0
2020-03-18,68,7,0,0,,,,0.6990000000000001,0.0,0.0,14950.0
2020-03-19,76,8,0,0,,,,0.7809999999999999,0.0,0.0,
2020-03-20,87,11,0,0,,,,0.894,0.0,0.0,15637.0
2020-03-21,88,1,0,0,,,,0.904,0.0,0.0,
2020-03-22,95,7,0,0,,,,0.976,0.0,0.0,17148.0
2020-03-23,121,26,0,0,,,,1.2429999999999999,0.0,0.0,
2020-03-24,132,11,0,0,,,,1.3559999999999999,0.0,0.0,24311.0
2020-03-25,137,5,0,0,,,,1.4069999999999998,0.0,0.0,30548.0
